bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785140276692230236,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140276792291346,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140276892417077,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140276992521879,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277092606563,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277192721885,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277292844241,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277392947299,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277493041842,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
1785140277593147095,8.0,world,692005181,1785140278,5,normal,0.0,6.0,0.0,5.0,0
