batch_id,task_type,attempt_id,trial_id,stage_count,execution_success,all_stages_valid,main_analysis_eligible,failure_reason,mission_wall_time,planning_time,dispatch_time,stage_wall_time,reference_execution_time,stabilization_delay,stable_hold_time,trajectory_finish_spread,stable_arrival_spread
exp10-formal-v3-stable-20260803,task_d_dense,attempt_0001,1,1,True,True,True,,11.942168756002502,0.03627601500193123,0.0005888919986318797,11.942168756002502,10.088156844001787,1.8174586319983064,1.0154116854996573,0.005813602001580875,0.8973536059966136
exp10-formal-v3-stable-20260803,task_a_simple,attempt_0002,1,1,True,True,True,,11.715673999999126,0.06431954499930725,0.0006005649993312545,11.715673999999126,10.095429027001956,1.5556494550000934,1.0201390669999455,0.014153448999422835,0.6194762529994478
exp10-formal-v3-stable-20260803,task_c_grouped,attempt_0003,1,1,True,True,True,,11.843623875000048,0.01656900099987979,0.0005711320009140763,11.843623875000048,10.098882330999913,1.7278976810011955,1.0177121721249023,0.01663458699840703,0.8203025260008872
exp10-formal-v3-stable-20260803,task_b_sequential,attempt_0004,1,2,True,True,True,,22.66850229299962,0.09802608000245527,0.0013752869963354897,22.66850229299962,18.197000390999165,4.372961847002443,2.0379055308744682,0.017035754997777985,1.2841107150015887
exp10-formal-v3-stable-20260803,task_e_mixed,attempt_0005,1,3,True,True,True,,35.756434082999476,0.06767440399926272,0.001565538997965632,35.756434082999476,30.28779218099953,5.4002924790002,3.0527002543767594,0.018159900999307865,0.7775142279970169
exp10-formal-v3-stable-20260803,task_c_grouped,attempt_0006,2,1,True,True,True,,11.840147782000713,0.017418720002751797,0.000650191999739036,11.840147782000713,10.098673410000629,1.723805005000031,1.0201357761252439,0.017411608001566492,0.7990795920013625
exp10-formal-v3-stable-20260803,task_a_simple,attempt_0007,2,1,True,True,True,,11.681954011997732,0.06672276799872634,0.00072481199822505,11.681954011997732,10.099527244998171,1.5154153500006942,1.0151644899997336,0.010635370999807492,0.6018816420000803
exp10-formal-v3-stable-20260803,task_b_sequential,attempt_0008,2,2,True,True,True,,22.838696079001238,0.07250434000161476,0.0013118769966240507,22.838696079001238,18.18854245300099,4.577086227000109,2.035314433875101,0.012388491002639057,1.4353885790005734
exp10-formal-v3-stable-20260803,task_e_mixed,attempt_0009,2,3,True,True,True,,36.51901521599939,0.06938927300143405,0.0018403549984213896,36.51901521599939,30.292794534001587,6.156141480998485,3.047732190624629,0.016748880003433442,0.8077502140004071
exp10-formal-v3-stable-20260803,task_d_dense,attempt_0010,2,1,True,True,True,,12.117828287999146,0.06385112799762283,0.0006294550003076438,12.117828287999146,10.100828730999638,1.9528396329988027,1.015256924374171,0.0115824819986301,1.0325152410005103
exp10-formal-v3-stable-20260803,task_e_mixed,attempt_0011,3,3,True,True,True,,36.324273748999985,0.0715682959962578,0.001978185999178095,36.324273748999985,30.292690627997217,5.959292966999783,3.040207143249063,0.01671553599953768,0.8145452859971556
