experiment_id,batch_id,task_type,trial_id,minimum_inter_agent_distance,collision_count,violation_count,violation_duration,near_miss_duration,iapf_activation_count,iapf_active_duration,hysteresis_switching_count,mean_closing_speed_at_activation,maximum_active_neighbor_count,position_saturation_ratio,acceleration_saturation_ratio,stale_neighbor_ratio,safety_success
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,1,1.6024418681396824,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,1,2.5051284824875184,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,1,2.0798858967153215,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,1,2.1289834029232706,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,1,1.8547735239460401,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,2,2.093459186838783,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,2,2.549012179393366,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,2,1.720552684884547,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,2,1.87095595318593,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,2,1.3214970505855352,0,0,0,3.1000000000000014,3,11.538938170997426,6,0.4319949944814046,2.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,3,1.8613110592260766,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,3,2.484434590637876,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,3,2.1311537743775304,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,3,1.3091080924269427,0,0,0,3.099999999999998,3,11.09975315200063,6,0.46083470185597736,2.0,0.0,0.0,0.0,True
