experiment_id,batch_id,task_type,trial_id,mean_rtf,min_rtf,p5_rtf,mean_cpu,p95_cpu,max_cpu,mean_memory_bytes,max_memory_bytes,control_loop_effective_frequency,realtime_success
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,1,0.996840132574565,0.5835613483598896,0.9999801873311706,8.4277551349854,17.035527082119977,25.269179004037685,11515357826.80292,11596775424.0,50.03292456491647,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,1,0.9970471050179133,0.6108140283123032,0.9998811304607642,9.068219525490694,17.65346686619852,40.64102564102564,11464616053.028572,11534942208.0,50.003252688445286,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,1,0.9963413435340372,0.5154466542237738,0.9998654592157925,6.758923684836213,13.255041217501585,19.10377358490566,11646392305.051094,11697819648.0,50.01783125840355,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,1,0.9976071188713636,0.5499631118125659,0.9998590851953081,10.286043050325382,18.638325194077474,38.5989010989011,11621781987.117949,11698995200.0,50.02130064771808,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,1,0.995589845253111,0.07233673637060103,0.9991782269160148,8.111751124604005,17.178287668792528,24.838012958963283,11679966593.554655,11784548352.0,50.0015347419775,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,2,0.9966636713265193,0.54272294443125,0.9999972107271948,9.28210225026072,17.557886215640288,38.49259757738896,11679685166.545454,11740426240.0,50.01955195849257,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,2,0.996918118481515,0.6025970749618055,0.9999792276326441,9.23013433721939,18.718874869594316,24.748490945674043,11565275828.705883,11603709952.0,50.02184402298708,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,2,0.9968828527776054,0.43904597321912087,0.9999956871418832,8.796318542128049,17.87863728477948,24.78813559322034,11493919877.565218,11537371136.0,50.012210657111936,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,2,0.9977801303112116,0.4179221228090648,0.9999923344186196,6.777883822715833,15.47239263803679,38.55421686746988,11598190366.174906,11664441344.0,50.026928464062465,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,2,0.9970456515544919,0.6082521681838406,0.9999909397069057,8.249067599047068,16.590151376665883,21.18577075098814,11531876456.642336,11595575296.0,50.00926554093593,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,3,0.9982264734370003,0.5171317413228328,1.0000079076678603,7.736300103137512,16.771037181996086,40.46692607003891,11538552863.030304,11595534336.0,50.00332452750462,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,3,0.9967213706259681,0.5625556853535124,0.9997747520931223,7.985120866664904,16.006451612903223,38.46153846153846,11574411819.885714,11671154688.0,50.0275354617997,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,3,0.9965710281222621,0.5642463928318867,0.9998705178337366,9.346973966921153,18.13636842989216,23.529411764705884,11640307200.0,11699765248.0,50.013060642629966,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,3,0.9972107152602518,0.6307475772927554,0.9999451715250791,9.182761244219774,17.772612003381234,20.077220077220076,11530339111.240875,11578929152.0,49.99941956277065,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,3,0.9963745296101756,0.45317535304135087,0.997484680092991,7.833736153674492,16.38314436282338,23.142250530785564,11521951754.722513,11577360384.0,50.00721622023281,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,4,0.9972632435186206,0.6254703747584586,0.9998848907582044,9.58109670798412,18.08361595135072,38.76177658142665,11626917063.11111,11746009088.0,50.01306256571071,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,4,0.9980102429946015,0.4913358933622956,0.9999751665092231,8.009928896722457,17.484395949882103,38.32658569500675,11698947006.309435,11760676864.0,50.00874224184865,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,4,0.9972683097806806,0.5006920362207672,0.9999695032947014,8.762155844696942,17.829457364341085,37.2027972027972,11592575343.589743,11667202048.0,50.01861762589823,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,4,0.9998411258970875,0.9800266925299389,0.9999589404903052,8.606170611782263,18.181818181818183,38.81578947368421,11527042427.524475,11593859072.0,50.018141260422,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,4,0.994298496653876,0.5555401514835052,0.9949410159146793,10.452134443989388,18.881890673754768,26.559356136820927,11670869473.882353,11736154112.0,50.02256947647474,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,5,0.9972163319358406,0.638094051418613,0.9999868932395012,6.898406245295528,16.948232323232315,19.81776765375854,11646414481.19403,11710480384.0,50.005300450720036,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,5,0.9970118058477271,0.5556014240452802,0.9998918452991256,8.850021565977649,18.30708661417323,38.3356070941337,11588611845.22449,11649548288.0,50.031285300685845,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,5,0.996741941751167,0.5632546767119467,0.9998832881604608,8.103553060550121,17.40644184677487,38.3356070941337,11484276263.384615,11541471232.0,50.0043706437612,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,5,0.9972152568997495,0.3377472523219875,0.9998424223951723,6.878752821007339,12.498752932917025,32.98097251585624,11641263233.567347,11735592960.0,50.014609933852995,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,5,0.9972566929221474,0.6327927472822754,0.9998418959762405,8.683482743883832,17.805444560360606,37.84153005464481,11506470450.478872,11568476160.0,50.0169392885931,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,6,0.9968261007553583,0.5691516429628241,0.9997202920384549,8.534883804242968,17.53004862831452,37.79840848806366,11524648181.183098,11589533696.0,50.0150794626369,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,6,0.9966512307467292,0.3629492816723168,0.9999907652675656,7.670900905142476,16.830726031319,43.15514993481095,11643432061.387754,11763089408.0,50.017925835532026,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,6,0.9952518762008111,0.3988355629972861,0.9999071418003299,7.295236773642746,16.318456526311195,19.868995633187772,11690232952.470589,11762417664.0,50.02521382164044,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,6,1.0154541108124406,0.6918602477355789,1.0027442685317347,8.407040717938155,18.165283529911974,22.22222222222222,11592882201.924051,11667386368.0,50.021942003738786,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,6,0.9969212460982448,0.20298518887460457,0.9999925479595577,7.880920114299664,17.4,38.03763440860215,11641173113.624521,11813466112.0,50.00370509700147,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,7,0.9972426239825782,0.62828970360609,0.9999267917416412,9.107303509583884,17.296900387451572,38.482384823848236,11692558751.32867,11754979328.0,50.002410508117904,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,7,0.9974675263059766,0.6538047593955773,0.9999393192181701,8.493670074235416,17.10938515285178,38.63636363636363,11635039967.549295,11706175488.0,50.0098515659183,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,7,0.9961865597506196,0.5108998286258533,0.999876289100279,7.074065139092317,16.82463369963369,37.2060857538036,11637626119.314285,11695415296.0,50.001936345079535,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,7,0.996751130505158,0.16621391269394417,0.9999080199548862,7.441176999996588,16.355908416536348,37.46556473829201,11697878151.245283,11791761408.0,50.00849597873683,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,7,0.9968402754302909,0.49369615711211795,0.997690907332623,7.780905238303466,16.077818801476855,37.66756032171582,11678870034.192894,11736776704.0,50.00741160634491,True
experiments_10,exp10-formal-v3-stable-20260803,task_c_grouped,8,0.9967423778608482,0.5663576671664439,0.9999553095709004,9.8861981042696,17.91907514450867,37.22149410222805,11661517468.141844,11723542528.0,50.022919658896356,True
experiments_10,exp10-formal-v3-stable-20260803,task_e_mixed,8,0.9967954393970416,0.18126540459868992,0.9999890328490049,8.295941366560111,17.729083665338646,38.095238095238095,11709674492.076628,11826921472.0,49.99893309344203,True
experiments_10,exp10-formal-v3-stable-20260803,task_d_dense,8,0.9960215632120977,0.5264231194672475,0.9999503556324427,10.41928645106044,18.853654355823366,20.784313725490197,11676892184.975609,11730882560.0,50.013404858144796,True
experiments_10,exp10-formal-v3-stable-20260803,task_b_sequential,8,0.9970468034929924,0.4669647806414867,0.9999957900871798,7.962773866996003,18.235294117647058,26.518218623481783,11636428030.585636,11699605504.0,50.01348819620959,True
experiments_10,exp10-formal-v3-stable-20260803,task_a_simple,8,0.997099134321308,0.6211787273240782,0.9999676952666345,9.077901985994142,18.291611769872638,30.625,11591136991.762962,11763884032.0,50.00144685477933,True
