task_type,attempt_id,metric,value,q1,q3,lower_bound,upper_bound,is_outlier,reason
task_a_simple,attempt_0002,planning_time,0.06431954499930725,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0007,planning_time,0.06672276799872634,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0012,planning_time,0.06596140900001046,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0020,planning_time,0.06948870100313798,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0021,planning_time,0.09785219200421125,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,True,planning
task_a_simple,attempt_0029,planning_time,0.06699854799808236,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0032,planning_time,0.0667909320036415,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0040,planning_time,0.06526026399660623,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0045,planning_time,0.09587024199572625,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,True,planning
task_a_simple,attempt_0049,planning_time,0.06478129499737406,0.06543555024745729,0.06886616275187407,0.06028963149083211,0.07401208150849925,False,
task_a_simple,attempt_0002,reference_execution_time,10.095429027001956,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,True,other
task_a_simple,attempt_0007,reference_execution_time,10.099527244998171,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0012,reference_execution_time,10.098149342997203,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0020,reference_execution_time,10.098691087005136,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0021,reference_execution_time,10.096230386996467,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,True,other
task_a_simple,attempt_0029,reference_execution_time,10.099871932994574,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0032,reference_execution_time,10.098760694003431,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0040,reference_execution_time,10.100440204005281,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0045,reference_execution_time,10.0991507669969,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0049,reference_execution_time,10.098714505998942,10.098284778999187,10.099433125497853,10.096562259251186,10.101155645245854,False,
task_a_simple,attempt_0002,stabilization_delay,1.5556494550000934,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0007,stabilization_delay,1.5154153500006942,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0012,stabilization_delay,1.5765907860004518,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,True,stabilization
task_a_simple,attempt_0020,stabilization_delay,1.5278611329995329,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0021,stabilization_delay,1.53512827900704,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0029,stabilization_delay,1.4800768160057487,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,True,stabilization
task_a_simple,attempt_0032,stabilization_delay,1.5359232109985896,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0040,stabilization_delay,1.5201941699997406,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0045,stabilization_delay,1.5278390370003763,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0049,stabilization_delay,1.5320791370031657,1.5221053867498995,1.5357244780007022,1.5016767498736954,1.5561531148769063,False,
task_a_simple,attempt_0002,stage_wall_time,11.715673999999126,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0007,stage_wall_time,11.681954011997732,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0012,stage_wall_time,11.740970270002435,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0020,stage_wall_time,11.696328759004246,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0021,stage_wall_time,11.729482847003965,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0029,stage_wall_time,11.6472140879996,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0032,stage_wall_time,11.701737830000638,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0040,stage_wall_time,11.686184270998638,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0045,stage_wall_time,11.723141552996822,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0049,stage_wall_time,11.69583657199837,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0002,mission_wall_time,11.715673999999126,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0007,mission_wall_time,11.681954011997732,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0012,mission_wall_time,11.740970270002435,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0020,mission_wall_time,11.696328759004246,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0021,mission_wall_time,11.729482847003965,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0029,mission_wall_time,11.6472140879996,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0032,mission_wall_time,11.701737830000638,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0040,mission_wall_time,11.686184270998638,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0045,mission_wall_time,11.723141552996822,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0049,mission_wall_time,11.69583657199837,11.68859734624857,11.721274664747398,11.63958136850033,11.770290642495638,False,
task_a_simple,attempt_0002,trajectory_finish_spread,0.014153448999422835,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0007,trajectory_finish_spread,0.010635370999807492,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0012,trajectory_finish_spread,0.01683197099919198,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0020,trajectory_finish_spread,0.016333215004124213,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0021,trajectory_finish_spread,0.008770061998802703,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,True,other
task_a_simple,attempt_0029,trajectory_finish_spread,0.017877181999210734,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0032,trajectory_finish_spread,0.015058559001772664,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0040,trajectory_finish_spread,0.016352099999494385,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0045,trajectory_finish_spread,0.01775237699621357,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0049,trajectory_finish_spread,0.017739953997079283,0.014379726500010293,0.017512958247607457,0.009679878878614545,0.022212805869003205,False,
task_a_simple,attempt_0002,stable_arrival_spread,0.6194762529994478,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0007,stable_arrival_spread,0.6018816420000803,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0012,stable_arrival_spread,0.6735115709998354,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,True,other
task_a_simple,attempt_0020,stable_arrival_spread,0.6080652250020648,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0021,stable_arrival_spread,0.6021893260040088,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0029,stable_arrival_spread,0.5776725850009825,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,True,other
task_a_simple,attempt_0032,stable_arrival_spread,0.6033811310044257,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0040,stable_arrival_spread,0.6164612370048417,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0045,stable_arrival_spread,0.6154960819985718,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0049,stable_arrival_spread,0.6092691060039215,0.602487277254113,0.6162199482532742,0.5818882707553712,0.636818954752016,False,
task_a_simple,attempt_0002,tracking_rmse,0.5693870083907462,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0007,tracking_rmse,0.5708520354513927,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0012,tracking_rmse,0.5709713390981589,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0020,tracking_rmse,0.5926932192081312,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0021,tracking_rmse,0.5922643015239525,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0029,tracking_rmse,0.5934758324446999,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0032,tracking_rmse,0.5703147580886985,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0040,tracking_rmse,0.5696333233425007,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0045,tracking_rmse,0.5892523080275887,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0049,tracking_rmse,0.5671017454835434,0.5698036820290502,0.5915113031498616,0.5372422503478331,0.6240727348310786,False,
task_a_simple,attempt_0002,minimum_inter_agent_distance,2.5051284824875184,2.2997993675010306,2.5341726210164603,1.948239487227886,2.885732501289605,False,
task_a_simple,attempt_0007,minimum_inter_agent_distance,2.549012179393366,2.2997993675010306,2.5341726210164603,1.948239487227886,2.885732501289605,False,
task_a_simple,attempt_0012,minimum_inter_agent_distance,2.484434590637876,2.2997993675010306,2.5341726210164603,1.948239487227886,2.885732501289605,False,
task_a_simple,attempt_0020,minimum_inter_agent_distance,2.298266073391717,2.2997993675010306,2.5341726210164603,1.948239487227886,2.885732501289605,False,
task_a_simple,attempt_0021,minimum_inter_agent_distance,2.3043992498289723,2.2997993675010306,2.5341726210164603,1.948239487227886,2.885732501289605,False,
