timestamp,uav_id,x,y,z
1785406541.0723546,3,5.259422302246094,-3.234220504760742,3.1442339420318604
1785406541.097787,7,-1.9725290536880493,2.058347702026367,3.2314209938049316
1785406541.109116,4,-2.898913621902466,-3.532815933227539,3.201338052749634
1785406541.110924,1,1.0572220087051392,5.522419214248657,3.1112537384033203
1785406541.1141865,6,-5.246992111206055,4.077945709228516,3.1587963104248047
1785406541.1187282,8,-1.3282519578933716,-0.2601909637451172,3.2505600452423096
1785406541.1199136,2,1.8620933294296265,-2.8472509384155273,3.138484477996826
1785406541.1207252,5,-3.738010883331299,5.103672981262207,3.1955623626708984
1785406541.1724532,3,5.2621026039123535,-3.235722541809082,3.139336109161377
1785406541.1977928,7,-1.9723252058029175,2.0612545013427734,3.2356040477752686
1785406541.2091267,4,-2.898420572280884,-3.5339221954345703,3.2039718627929688
1785406541.210912,1,1.0582783222198486,5.522905588150024,3.1161062717437744
1785406541.2141683,6,-5.246443271636963,4.0808305740356445,3.164548635482788
1785406541.218708,8,-1.325690507888794,-0.260101318359375,3.2482988834381104
1785406541.219855,2,1.8633583784103394,-2.84529972076416,3.143584728240967
1785406541.2207422,5,-3.737302541732788,5.103547096252441,3.1992058753967285
1785406541.272362,3,5.2634758949279785,-3.2346343994140625,3.157160997390747
1785406541.2977872,7,-1.97076416015625,2.0632972717285156,3.244724750518799
1785406541.3091433,4,-2.901824712753296,-3.533888816833496,3.2211296558380127
1785406541.3109326,1,1.0595422983169556,5.522230625152588,3.122124671936035
1785406541.314201,6,-5.245042324066162,4.08253288269043,3.1723763942718506
1785406541.3187423,8,-1.3268802165985107,-0.2557201385498047,3.267665386199951
1785406541.3197274,2,1.8634941577911377,-2.84088134765625,3.160987615585327
1785406541.3207302,5,-3.73939847946167,5.105802536010742,3.218912124633789
1785406541.3723702,3,5.264787197113037,-3.234060287475586,3.1717898845672607
1785406541.3977754,7,-1.9684933423995972,2.064393997192383,3.25272274017334
1785406541.4091275,4,-2.9047553539276123,-3.534423828125,3.2375705242156982
1785406541.4109,1,1.0613197088241577,5.522363185882568,3.1329665184020996
1785406541.4141812,6,-5.242877006530762,4.083622932434082,3.1806392669677734
1785406541.418723,8,-1.3276841640472412,-0.25226783752441406,3.2850234508514404
1785406541.4198356,2,1.863691806793213,-2.837738037109375,3.1750802993774414
1785406541.42073,5,-3.7403643131256104,5.106962203979492,3.2325398921966553
1785406541.4723678,3,5.266043663024902,-3.2334775924682617,3.1821165084838867
1785406541.497779,7,-1.9687589406967163,2.0666446685791016,3.2703144550323486
