experiment_id,batch_id,task_type,trial_id,stage_id,mission_id,uav_id,dispatch_time,arrival_time,completion_time,arrival_time_error,final_position_error
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,1,9.91752020199965,19.92529150200062,10.007771300000968,0.009368003346025944,0.3980816900730133
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,2,9.91779535400019,19.918497159000253,10.000701805000062,0.0019741940777748823,0.3932833969593048
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,3,9.918031152999902,19.92349847300102,10.005467320001117,0.007371486164629459,0.39201971888542175
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,4,9.91827203200046,19.92794940100066,10.009677369000201,0.011759325861930847,0.38209861516952515
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,5,9.918450675000713,19.924782904001404,10.00633222900069,0.008620970882475376,0.37558239698410034
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,6,9.918603579000774,19.925413218001268,10.006809639000494,0.008640899322926998,0.37549492716789246
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,7,9.91874212699986,19.93282972900124,10.014087602001382,0.016633732244372368,0.3395812511444092
experiments_10,exp10-formal-20260731,task_a_simple,1,1,1,8,9.91889063400049,19.928576158001306,10.009685524000815,0.011871024034917355,0.35385003685951233
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,1,8.90410613899985,18.92197766099889,10.01787152199904,0.018308285623788834,0.38729941844940186
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,2,8.9043025689989,18.91984843099999,10.01554586200109,0.015906773507595062,0.38073626160621643
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,3,8.904429848998916,18.91868846699981,10.014258618000895,0.015712667256593704,0.3635951578617096
experiments_10,exp10-formal-20260731,task_a_simple,2,1,1,4,8.904565233999165,18.922997231999034,10.018431997999869,0.019689375534653664,0.349743127822876
