experiment_id,batch_id,task_type,trial_id,mean_rtf,min_rtf,p5_rtf,mean_cpu,p95_cpu,max_cpu,mean_memory_bytes,max_memory_bytes,control_loop_effective_frequency,realtime_success
experiments_10,exp10-formal-20260731,task_a_simple,1,0.9901104125514906,0.16895728026626083,0.9999561678736648,7.644127924549837,14.753176439035839,38.62433862433863,11671770217.931034,11701923840.0,49.995667605556065,True
experiments_10,exp10-formal-20260731,task_a_simple,2,0.9863552453323052,0.1176192815003861,0.9936724150585395,13.010082294467583,18.833992094861657,42.27212681638045,11519027246.545454,11553529856.0,50.0516778326876,True
experiments_10,exp10-formal-20260731,task_a_simple,3,0.9999976834518927,0.9999078934840177,0.9999814595399529,5.034413612137855,12.620967741935477,37.971014492753625,11519278908.435013,11675217920.0,nan,False
experiments_10,exp10-formal-20260731,task_a_simple,4,0.9887968291450573,0.10018294628223158,0.9994923602088553,9.281107405815751,18.286713286713287,37.908496732026144,11658437957.818182,11687084032.0,50.01697303760512,True
experiments_10,exp10-formal-20260731,task_a_simple,5,0.9903110349083294,0.1866632797950031,0.9999522640750651,11.652415900484584,19.186252001925002,40.387275242047025,11651187188.622223,11824185344.0,50.01992448566535,True
experiments_10,exp10-formal-20260731,task_b_sequential,1,0.9967779356828701,0.1710468713307942,0.9999863118883442,7.536995519224198,15.40041067761807,22.10866057019903,11555304271.448277,11629817856.0,49.997610550432526,True
experiments_10,exp10-formal-20260731,task_b_sequential,2,0.998903026176382,0.9969737155894715,0.9972792891157007,4.8978141396732155,12.302097138847742,39.32107496463932,11571348542.472149,11649232896.0,nan,False
experiments_10,exp10-formal-20260731,task_b_sequential,3,0.9970550745212406,0.21470516584414323,0.9999917347877146,8.449224334230491,16.946386946386944,23.286583752315426,11580702417.712177,11853348864.0,50.005394930128716,True
experiments_10,exp10-formal-20260731,task_b_sequential,4,0.9958269853009719,0.10258419117909592,0.9999815773659105,9.823777152619183,18.183636363636364,39.59183673469388,11825559598.757992,11864035328.0,49.999405184293394,True
experiments_10,exp10-formal-20260731,task_b_sequential,5,0.9963796557741597,0.0791046594931517,0.9999708975566528,10.165356263672756,19.44990176817289,22.044088176352705,11832024960.992249,11896623104.0,50.01456753920341,True
experiments_10,exp10-formal-20260731,task_c_grouped,1,0.9902312808504582,0.1601670533734519,0.9999834728462919,10.65148950507865,17.56245120999219,21.39223560910308,11566427883.865168,11602534400.0,50.02873387001588,True
experiments_10,exp10-formal-20260731,task_c_grouped,2,0.9856914794084289,0.22592560800182038,0.9902643515099738,10.224417745536137,18.468330019880714,22.516914749661705,11582452940.8,11620524032.0,50.01776614426614,True
experiments_10,exp10-formal-20260731,task_c_grouped,3,0.9956199381201465,0.09626691437544088,1.0000027715401831,8.803377795319022,17.06060606060606,21.25506072874494,11713378986.666666,11813466112.0,50.02932789979212,True
experiments_10,exp10-formal-20260731,task_c_grouped,4,0.9888100983189253,0.09202115235568487,0.9999854122332434,10.46245757858003,19.172122922425693,38.283378746594,11649588259.310345,11692556288.0,50.038043332313,True
experiments_10,exp10-formal-20260731,task_c_grouped,5,0.9651940273185122,0.06508353838832645,0.9473869067140288,7.220037674297398,12.823234289557046,19.26605504587156,11734308441.731958,11761037312.0,49.99835001577651,True
experiments_10,exp10-formal-20260731,task_d_dense,1,0.9891161763168882,0.1250880850663218,0.9994822481227673,10.562889968372938,17.37551445781004,32.45967741935484,11559046878.870588,11737600000.0,50.02579449006228,True
experiments_10,exp10-formal-20260731,task_d_dense,2,0.9826528553703165,0.08635657308942195,0.9838695669990128,8.556192131050642,16.951836734693874,25.272331154684096,11712399064.177778,11753586688.0,50.01881576197076,True
experiments_10,exp10-formal-20260731,task_d_dense,3,0.9892558996229722,0.10853815463372242,0.9999500766911966,6.694789204957544,12.503987240829346,21.086432967621086,11638118590.511627,11659866112.0,50.00056656428175,True
experiments_10,exp10-formal-20260731,task_d_dense,4,0.9839089976952657,0.13432833616707293,0.987644024776189,7.523947860608581,14.700626152972895,19.284324000598893,11755812123.234043,11789029376.0,50.02526114086714,True
experiments_10,exp10-formal-20260731,task_d_dense,5,0.9903741932580051,0.1825031043354084,0.9998615418344481,10.144789264520595,17.952148767474203,39.09574468085106,11791302469.818182,11832877056.0,49.99929278494364,True
experiments_10,exp10-formal-20260731,task_e_mixed,1,1.039988232087553,0.02036247640369702,0.606678606074786,11.583006359789781,23.96694214876033,40.37356321839081,11542653610.666666,11635412992.0,nan,False
experiments_10,exp10-formal-20260731,task_e_mixed,2,0.8586362237112868,0.006922213385007287,0.3042805968258163,10.955509049677778,25.597396737718586,30.85904920767306,11519888497.777779,11530235904.0,nan,False
experiments_10,exp10-formal-20260731,task_e_mixed,3,0.8637127439066754,0.7573593099557118,0.7811845103948657,3.608149761425013,8.790594498669032,37.48148148148148,11488581822.132626,11554484224.0,nan,False
experiments_10,exp10-formal-20260731,task_e_mixed,4,0.8342389972786797,0.0053503079066741545,0.2540106692807711,11.220292311315543,26.692450122160988,37.41851368970013,11702633565.09091,11810828288.0,nan,False
experiments_10,exp10-formal-20260731,task_e_mixed,5,0.9944109177474384,0.07767517834930371,0.9951402639644348,9.065660751534324,18.471757689159162,38.65435356200528,11783097428.550459,11894439936.0,50.00475732922753,True
