bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785207740356549856,2.5730466842651367,3.0,1.044946312904358,world,356512095,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,1.0964607000350952,0.19487358629703522,nan,7.71914005279541,0.004903658293187618,1
1785207740456506749,2.5730466842651367,3.0,1.044946312904358,world,456474548,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,1.4998277425765991,0.19487358629703522,nan,7.71914005279541,0.007611006032675505,1
1785207740556526650,2.5730466842651367,3.0,1.044946312904358,world,556492956,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,4.39309024810791,0.25168412923812866,nan,7.71914005279541,0.01735135354101658,1
1785207740656537353,2.5730466842651367,3.0,1.044946312904358,world,656510372,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,5.43300724029541,0.6662819385528564,nan,7.71914005279541,0.03335157781839371,1
1785207740756523340,2.5730466842651367,3.0,1.044946312904358,world,756495338,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,5.43300724029541,0.9019081592559814,nan,7.71914005279541,0.05200597643852234,1
1785207740856524546,2.5730466842651367,3.0,1.044946312904358,world,856494980,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,5.43300724029541,1.1164393424987793,nan,7.71914005279541,0.07350258529186249,1
1785207740956542523,2.5730466842651367,3.0,1.044946312904358,world,956504361,1785207740,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,1.753882646560669,nan,7.71914005279541,0.10053890943527222,1
1785207741056547074,2.5730466842651367,3.0,1.044946312904358,world,56497100,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.2625043392181396,nan,7.71914005279541,0.13216768205165863,1
1785207741156537247,2.5730466842651367,3.0,1.044946312904358,world,156507471,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.458970546722412,nan,7.71914005279541,0.1688208431005478,1
1785207741256531498,2.5730466842651367,3.0,1.044946312904358,world,256499508,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.5120420455932617,nan,7.71914005279541,0.2140052616596222,1
1785207741356494379,2.5730466842651367,3.0,1.044946312904358,world,356461147,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.6241250038146973,nan,7.71914005279541,0.26877984404563904,1
1785207741456549735,2.5730466842651367,3.0,1.044946312904358,world,456496745,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.7134761810302734,nan,7.71914005279541,0.33344292640686035,1
1785207741556522765,2.5730466842651367,3.0,1.044946312904358,world,556483672,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.7990989685058594,nan,7.71914005279541,0.405465304851532,1
1785207741656500916,2.5730466842651367,3.0,1.044946312904358,world,656466070,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.879033327102661,nan,7.71914005279541,0.48484814167022705,1
1785207741756482793,2.5730466842651367,3.0,1.044946312904358,world,756455021,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,2.96834135055542,nan,7.71914005279541,0.5691817402839661,1
1785207741856488545,2.5730466842651367,3.0,1.044946312904358,world,856453209,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.06253719329834,nan,7.71914005279541,0.6567550897598267,1
1785207741956474541,2.5730466842651367,3.0,1.044946312904358,world,956450826,1785207741,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.1610305309295654,nan,7.71914005279541,0.7437965273857117,1
1785207742056499327,2.5730466842651367,3.0,1.044946312904358,world,56461025,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.249187707901001,nan,7.71914005279541,0.8288792967796326,1
1785207742156479239,2.5730466842651367,3.0,1.044946312904358,world,156453751,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.339292287826538,nan,7.71914005279541,0.9091023206710815,1
1785207742256498345,2.5730466842651367,3.0,1.044946312904358,world,256461295,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.414867401123047,nan,7.71914005279541,0.982451319694519,1
1785207742356491180,2.5730466842651367,3.0,1.044946312904358,world,356448410,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.4730355739593506,nan,7.71914005279541,1.0460132360458374,1
1785207742456539751,2.5730466842651367,3.0,1.044946312904358,world,456490298,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.505044460296631,nan,7.71914005279541,1.0992059707641602,1
1785207742556573254,2.5730466842651367,3.0,1.044946312904358,world,556543147,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.5150938034057617,nan,7.71914005279541,1.1407500505447388,1
1785207742656534691,2.5730466842651367,3.0,1.044946312904358,world,656508161,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.5150938034057617,nan,7.71914005279541,1.1703262329101562,1
1785207742756526585,2.5730466842651367,3.0,1.044946312904358,world,756503742,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.5150938034057617,nan,7.71914005279541,1.187243938446045,1
1785207742856530902,2.5730466842651367,3.0,1.044946312904358,world,856509232,1785207742,4087990760,smooth,3.134838819503784,3.134838819503784,3.6573119163513184,10.449462890625,10.449462890625,15.674193382263184,9.057783126831055,3.5150938034057617,nan,7.71914005279541,1.1930879354476929,1
