uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,6.419664360793568,0,0,0,0.0,0.0,0.0
1,3,3.8716135217337384,0,0,0,0.0,0.0,0.0
1,4,9.873852652686748,0,0,0,0.0,0.0,0.0
1,5,3.513863951854322,0,0,0,0.0,0.0,0.0
1,6,6.453463057585323,0,0,0,0.0,0.0,0.0
1,7,4.263801547314362,0,0,0,0.0,0.0,0.0
1,8,6.193114034704146,0,0,0,0.0,0.0,0.0
2,3,3.4134199161631966,0,0,0,0.0,0.0,0.0
2,4,4.773087791721744,0,0,0,0.0,0.0,0.0
2,5,3.3667533698975016,0,0,0,0.0,0.0,0.0
2,6,6.729597792308721,0,0,0,0.0,0.0,0.0
2,7,2.160271113150229,0,0,0,0.0,0.0,0.0
2,8,2.02002751577034,0,0,0,0.0,0.0,0.0
3,4,8.144758767767645,0,0,0,0.0,0.0,0.0
3,5,3.8948307952320502,0,0,0,0.0,0.0,0.0
3,6,8.856287904863887,0,0,0,0.0,0.0,0.0
3,7,2.383051902010811,0,0,0,0.0,0.0,0.0
3,8,6.100537267670706,0,0,0,0.0,0.0,0.0
4,5,7.76303867579913,0,0,0,0.0,0.0,0.0
4,6,8.000351831039,0,0,0,0.0,0.0,0.0
4,7,5.677464704134082,0,0,0,0.0,0.0,0.0
4,8,3.3572097238342247,0,0,0,0.0,0.0,0.0
5,6,1.8162481105276305,0,0,0,0.0,0.0,0.0
5,7,2.124659866998384,0,0,0,0.0,0.0,0.0
5,8,5.150631419600734,0,0,0,0.0,0.0,0.0
6,7,3.8707454034781175,0,0,0,0.0,0.0,0.0
6,8,5.859994218618485,0,0,0,0.0,0.0,0.0
7,8,2.375777620616686,0,0,0,0.0,0.0,0.0
