bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785206864546836923,2.5776634216308594,3.0,1.0,world,546799030,1785206864,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.5298242568969727,nan,7.732990264892578,1.1920162439346313,1
1785206864646841640,2.5776634216308594,3.0,1.0,world,646822453,1785206864,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.5298242568969727,nan,7.732990264892578,1.198243498802185,1
1785206864746851026,2.5776634216308594,3.0,1.0,world,746816590,1785206864,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.5298242568969727,nan,7.732990264892578,1.1944315433502197,1
1785206864846872555,2.5776634216308594,3.0,1.0,world,846845052,1785206864,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.5298242568969727,nan,7.732990264892578,1.1835423707962036,1
1785206864946858466,2.5776634216308594,3.0,1.0,world,946823960,1785206864,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,8.834380149841309,3.5298242568969727,nan,7.732990264892578,1.168458104133606,1
1785206865046880221,2.5776634216308594,3.0,1.0,world,46829333,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,nan,7.732990264892578,1.1515657901763916,1
1785206865146885227,2.5776634216308594,3.0,1.0,world,146846753,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,nan,7.732990264892578,1.1338497400283813,1
1785206865246883852,2.5776634216308594,3.0,1.0,world,246847241,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.1163580417633057,1
1785206865346917754,2.5776634216308594,3.0,1.0,world,346857237,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0995306968688965,1
1785206865446920235,2.5776634216308594,3.0,1.0,world,446859258,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0834277868270874,1
1785206865546893781,2.5776634216308594,3.0,1.0,world,546867862,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0679632425308228,1
1785206865646911212,2.5776634216308594,3.0,1.0,world,646875864,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.0532779693603516,1
1785206865746905959,2.5776634216308594,3.0,1.0,world,746866643,1785206865,1601740273,normal,3.0,3.0,3.5,10.0,10.0,15.0,12.215137481689453,3.5298242568969727,3.1531906127929688,7.732990264892578,1.039179801940918,1
