bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785125262037006693,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262130932709,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262230849913,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262330929347,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262429566733,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262430867601,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262510422657,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262511514328,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262511665247,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
1785125262529336073,8.0,world,36690498,1785125264,1,normal,0.0,14.0,9.0,5.0,3
