uav_id,source_timestamp_s,arrival_ros_s,arrival_monotonic_s,interarrival_ros_ms,interarrival_monotonic_ms
2,1787386034.777737,1787386034.8247993,16963.973811941,,
6,1787386034.7817743,1787386034.8249664,16963.97396038,,
2,1787386034.789492,1787386034.8255777,16963.974570267,0.7784366607666016,0.7583260012324899
6,1787386034.793673,1787386034.8256898,16963.974679432,0.7233619689941406,0.719052000931697
2,1787386034.797568,1787386034.8261967,16963.975188108,0.6189346313476562,0.6178410003485624
6,1787386034.8015697,1787386034.8262985,16963.975287165,0.6086826324462891,0.6077329999243375
2,1787386034.8092597,1787386034.8267605,16963.975750135,0.5638599395751953,0.5620269985229243
6,1787386034.8133566,1787386034.826853,16963.975841567,0.5545616149902344,0.5544019986700732
2,1787386034.817203,1787386034.827285,16963.976274911,0.5245208740234375,0.5247760018392
6,1787386034.8213687,1787386034.8273742,16963.976362316,0.5211830139160156,0.5207489994063508
2,1787386034.8290343,1787386034.829341,16963.978334052,2.0558834075927734,2.0591409993357956
6,1787386034.8332248,1787386034.833433,16963.982426085,6.058692932128906,6.0637690003204625
2,1787386034.8370461,1787386034.8373904,16963.98638678,8.049488067626953,8.052728000620846
6,1787386034.8411455,1787386034.841341,16963.990333901,7.908105850219727,7.907816001534229
2,1787386034.8489008,1787386034.8491473,16963.99814272,11.75689697265625,11.755939998693066
6,1787386034.8529956,1787386034.8531978,16964.002190429,11.856794357299805,11.856527999043465
2,1787386034.8568842,1787386034.8571367,16964.006130496,7.989406585693359,7.987775999936275
6,1787386034.8609917,1787386034.8612983,16964.010296027,8.100509643554688,8.105598000838654
2,1787386034.8687017,1787386034.8692029,16964.018211888,12.066125869750977,12.08139200025471
6,1787386034.872836,1787386034.8730767,16964.022073998,11.77835464477539,11.77797099808231
2,1787386034.8767607,1787386034.8771088,16964.026105106,7.9059600830078125,7.893218000390334
6,1787386034.8808863,1787386034.8811152,16964.030111187,8.038520812988281,8.037188999878708
2,1787386034.8885546,1787386034.8888164,16964.037813236,11.707544326782227,11.708129997714423
6,1787386034.892679,1787386034.8929098,16964.041906821,11.794567108154297,11.795634000009159
2,1787386034.8965342,1787386034.8968933,16964.045889839,8.076906204223633,8.076603000517935
6,1787386034.900702,1787386034.9009151,16964.049910297,8.005380630493164,8.00347599943052
2,1787386034.9084384,1787386034.9086883,16964.057684732,11.7950439453125,11.794893001933815
6,1787386034.9125404,1787386034.9129033,16964.061899194,11.988162994384766,11.988897000264842
2,1787386034.9163306,1787386034.9166327,16964.065625389,7.944345474243164,7.94065700029023
6,1787386034.920443,1787386034.920743,16964.069735686,7.839679718017578,7.836492000933504
2,1787386034.9281833,1787386034.9284513,16964.077450058,11.818647384643555,11.824668999906862
6,1787386034.9323728,1787386034.932654,16964.081647238,11.91091537475586,11.911551999219228
2,1787386034.9361954,1787386034.9364648,16964.085456389,8.013486862182617,8.006330997886835
6,1787386034.9404683,1787386034.9407182,16964.089710947,8.06427001953125,8.06370899954345
2,1787386034.948131,1787386034.9483705,16964.097363283,11.905670166015625,11.906894000276225
6,1787386034.9522984,1787386034.9526303,16964.101622529,11.912107467651367,11.91158200163045
2,1787386034.9561641,1787386034.9567416,16964.105751051,8.371114730834961,8.387768000829965
6,1787386034.9602175,1787386034.960637,16964.109636224,8.006811141967773,8.013694998226129
2,1787386034.9679368,1787386034.9682732,16964.117274223,11.531591415405273,11.523172001034254
6,1787386034.9721475,1787386034.9723728,16964.121371896,11.735677719116211,11.735672000213526
2,1787386034.9759614,1787386034.9762933,16964.125293237,8.020162582397461,8.019013999728486
6,1787386034.9800541,1787386034.9802678,16964.129264493,7.894992828369141,7.892597001045942
2,1787386034.9878008,1787386034.9880886,16964.137087199,11.795282363891602,11.793961999501335
6,1787386034.9920409,1787386034.9922643,16964.141261977,11.99650764465332,11.997484001767589
2,1787386034.9959056,1787386034.9962444,16964.145241528,8.15582275390625,8.154328999808058
6,1787386034.9998531,1787386035.0000627,16964.149057071,7.798433303833008,7.7950939994479995
2,1787386035.007688,1787386035.008088,16964.157087036,11.843681335449219,11.845508000988048
6,1787386035.0118062,1787386035.0120246,16964.161021332,11.961936950683594,11.96426099704695
2,1787386035.0156698,1787386035.015937,16964.16493045,7.848978042602539,7.843413997761672
6,1787386035.0197487,1787386035.0199263,16964.168918738,7.901668548583984,7.897406001575291
2,1787386035.0275044,1787386035.0277975,16964.176793371,11.860370635986328,11.862921001011273
6,1787386035.031689,1787386035.0319128,16964.180907525,11.986494064331055,11.988786998699652
2,1787386035.0356104,1787386035.0358396,16964.1848361,8.042097091674805,8.042729001317639
6,1787386035.039743,1787386035.0399692,16964.188963479,8.056402206420898,8.055954000155907
2,1787386035.0475173,1787386035.0477738,16964.196774583,11.934280395507812,11.938482999539701
6,1787386035.051589,1787386035.0517988,16964.200793618,11.829614639282227,11.830139002995566
2,1787386035.055465,1787386035.0558603,16964.204855825,8.086442947387695,8.081241998297628
6,1787386035.0595932,1787386035.0598083,16964.208805199,8.00943374633789,8.011580997845158
2,1787386035.06739,1787386035.0677223,16964.216717583,11.862039566040039,11.861758001032285
6,1787386035.0714207,1787386035.07175,16964.220750745,11.941671371459961,11.945546000788454
1,1787386048.3954992,1787386048.4418201,16977.590816093,,
2,1787386048.395356,1787386048.4419394,16977.590927863,13374.21703338623,13374.210279998806
3,1787386048.3953683,1787386048.44205,16977.591038411,,
4,1787386048.3993816,1787386048.4421508,16977.591138699,,
5,1787386048.395598,1787386048.4422457,16977.591232906,,
6,1787386048.3995504,1787386048.442347,16977.591334588,13370.597124099731,13370.583842999622
7,1787386048.3995042,1787386048.4424467,16977.591434265,,
8,1787386048.3956718,1787386048.4425414,16977.591528572,,
1,1787386048.4034338,1787386048.4433823,16977.592376727,1.5621185302734375,1.5606339984515216
2,1787386048.4072342,1787386048.4435217,16977.592510388,1.5823841094970703,1.5825250011403114
3,1787386048.407388,1787386048.4436345,16977.592622178,1.5845298767089844,1.5837669998290949
4,1787386048.4113784,1787386048.443732,16977.592719301,1.5811920166015625,1.580601998284692
5,1787386048.403369,1787386048.443833,16977.592820541,1.5873908996582031,1.5876349971222226
6,1787386048.4114017,1787386048.4439297,16977.592917062,1.5826225280761719,1.5824740003154147
7,1787386048.4115586,1787386048.4440348,16977.593022831,1.5881061553955078,1.588565999554703
8,1787386048.407446,1787386048.4441347,16977.593121998,1.5933513641357422,1.5934260009089485
1,1787386048.4153292,1787386048.4448647,16977.593856759,1.4824867248535156,1.4800319986534305
2,1787386048.415331,1787386048.44505,16977.594040083,1.5282630920410156,1.529695000499487
3,1787386048.415403,1787386048.4451692,16977.594157414,1.5347003936767578,1.5352360023825895
4,1787386048.4194176,1787386048.445276,16977.594264044,1.5439987182617188,1.5447430014319252
5,1787386048.415432,1787386048.4453793,16977.594366988,1.5461444854736328,1.5464470016013365
6,1787386048.4194524,1787386048.4454784,16977.594466114,1.54876708984375,1.5490519981540274
7,1787386048.4195411,1787386048.4455838,16977.594571582,1.5490055084228516,1.548751002701465
8,1787386048.4154754,1787386048.4456813,16977.594668785,1.546621322631836,1.5467869998246897
1,1787386048.423299,1787386048.4464574,16977.595446577,1.5926361083984375,1.589818002685206
2,1787386048.4272566,1787386048.446566,16977.595554189,1.516103744506836,1.5141059993766248
3,1787386048.4274337,1787386048.4466758,16977.595663495,1.5065670013427734,1.5060810001159552
4,1787386048.4313834,1787386048.446782,16977.595769825,1.5060901641845703,1.5057809978316072
5,1787386048.4234233,1787386048.4468791,16977.595866346,1.4998912811279297,1.4993580007285345
6,1787386048.431484,1787386048.4469762,16977.595963449,1.4977455139160156,1.4973350007494446
7,1787386048.4314477,1787386048.4470785,16977.596066162,1.4946460723876953,1.494579999416601
8,1787386048.4275353,1787386048.4471831,16977.596172752,1.5017986297607422,1.5039669997349847
1,1787386048.435286,1787386048.447981,16977.596970031,1.523733139038086,1.5234540005621966
2,1787386048.4353812,1787386048.4481015,16977.597090337,1.5354156494140625,1.5361480000137817
