uav_id,source_timestamp_s,arrival_ros_s,arrival_monotonic_s,interarrival_ros_ms,interarrival_monotonic_ms
3,1787386048.435468,1787386048.4482074,16977.597195555,1.5316009521484375,1.532059999590274
4,1787386048.4393814,1787386048.4483113,16977.597298969,1.5292167663574219,1.5291440031433012
5,1787386048.4354978,1787386048.4484117,16977.597399158,1.5325546264648438,1.5328119989135303
1,1787386048.5032785,1787386048.547728,16977.696730465,99.7469425201416,99.76043399728951
2,1787386048.5072367,1787386048.547851,16977.696841273,99.74956512451172,99.75093599859974
3,1787386048.5073435,1787386048.5479467,16977.696934729,99.73931312561035,99.73917399838683
4,1787386048.4994211,1787386048.548046,16977.697034426,99.73478317260742,99.73545699904207
5,1787386048.503471,1787386048.5481343,16977.697122161,99.72262382507324,99.72300300069037
6,1787386048.499337,1787386048.5482204,16977.697208283,101.24421119689941,101.2448340006813
7,1787386048.499527,1787386048.5483067,16977.697294275,101.22823715209961,101.22811299879686
8,1787386048.5073776,1787386048.5483897,16977.69737709,101.20654106140137,101.20433799966122
1,1787386048.5152617,1787386048.548995,16977.697985083,1.2669563293457031,1.2546180005301721
2,1787386048.5152948,1787386048.5490918,16977.698080533,1.2407302856445312,1.239260000147624
3,1787386048.5154204,1787386048.5491776,16977.698165312,1.2309551239013672,1.2305829986871686
4,1787386048.5113306,1787386048.5492578,16977.698245062,1.2116432189941406,1.2106360009056516
5,1787386048.5154538,1787386048.549336,16977.698323299,1.201629638671875,1.2011379985779058
6,1787386048.5114071,1787386048.5494108,16977.698397889,1.1904239654541016,1.1896059986611363
7,1787386048.5114484,1787386048.5494862,16977.698473,1.1794567108154297,1.1787250004999805
8,1787386048.5154908,1787386048.5495594,16977.698546068,1.1696815490722656,1.1689780003507622
1,1787386048.5232813,1787386048.5500872,16977.699076385,1.0921955108642578,1.0913020014413632
2,1787386048.5272777,1787386048.5501711,16977.699158729,1.0793209075927734,1.078196000889875
3,1787386048.5273983,1787386048.5502489,16977.699235965,1.0712146759033203,1.0706530010793358
4,1787386048.5193374,1787386048.5503237,16977.699310795,1.065969467163086,1.065732998540625
5,1787386048.5233319,1787386048.5503976,16977.699384684,1.0616779327392578,1.0613850026857108
6,1787386048.519405,1787386048.5504704,16977.699457331,1.0595321655273438,1.0594420018605888
7,1787386048.5194602,1787386048.5505426,16977.699529637,1.0564327239990234,1.0566370001470204
8,1787386048.5274441,1787386048.5506148,16977.699601662,1.0554790496826172,1.0555939988989849
1,1787386048.5352938,1787386048.551152,16977.700144282,1.0647773742675781,1.0678969993023202
2,1787386048.5353842,1787386048.5512745,16977.700266371,1.1034011840820312,1.1076420014433097
3,1787386048.5353754,1787386048.5513883,16977.700378723,1.1394023895263672,1.1427579993323889
4,1787386048.531357,1787386048.5514922,16977.700480504,1.1684894561767578,1.169709001260344
5,1787386048.5354779,1787386048.5515742,16977.700561857,1.176595687866211,1.1771729987231083
6,1787386048.5313933,1787386048.55165,16977.700636818,1.1796951293945312,1.1794870006269775
7,1787386048.531498,1787386048.551724,16977.700710847,1.1813640594482422,1.1812099983217195
8,1787386048.53558,1787386048.5518029,16977.700790056,1.188039779663086,1.188393998745596
1,1787386048.54326,1787386048.5523515,16977.701341683,1.199483871459961,1.1974010012636427
2,1787386048.5473137,1787386048.5524406,16977.701428696,1.1661052703857422,1.1623249993135687
3,1787386048.5474496,1787386048.5525181,16977.701505591,1.1298656463623047,1.1268680027569644
4,1787386048.5393565,1787386048.5525935,16977.701580532,1.1012554168701172,1.1000279992003925
5,1787386048.5434775,1787386048.5526679,16977.701654952,1.0936260223388672,1.0930950011243112
6,1787386048.5393949,1787386048.5527406,16977.701727328,1.0905265808105469,1.0905099989031442
7,1787386048.539444,1787386048.5528123,16977.701799243,1.0883808135986328,1.0883960021601524
8,1787386048.5475054,1787386048.552885,16977.70187219,1.0821819305419922,1.0821340001712088
4,1787386048.5513327,1787386048.5533962,16977.702385465,0.8027553558349609,0.8049329990171827
6,1787386048.5513957,1787386048.553476,16977.702463481,0.7355213165283203,0.7361530006164685
7,1787386048.5514963,1787386048.5535512,16977.702538102,0.7388591766357422,0.7388589983747806
1,1787386048.5553179,1787386048.5558858,16977.704876808,3.5343170166015625,3.5351249971427023
2,1787386048.5553687,1787386048.5559819,16977.704970424,3.541231155395508,3.54172800143715
3,1787386048.5554955,1787386048.5560806,16977.70506927,3.562450408935547,3.5636789980344474
5,1787386048.5555205,1787386048.5561664,16977.705154119,3.498554229736328,3.4991669999726582
8,1787386048.5555968,1787386048.5562468,16977.70523439,3.3617019653320312,3.3622000009927433
4,1787386048.5593333,1787386048.5595381,16977.708530035,6.141901016235352,6.14457000119728
6,1787386048.5593708,1787386048.5598147,16977.708804641,6.338596343994141,6.341159998555668
7,1787386048.5594456,1787386048.5599058,16977.708893929,6.354570388793945,6.355827001243597
1,1787386048.5633745,1787386048.563551,16977.712542337,7.665157318115234,7.665529003133997
5,1787386048.5633984,1787386048.563813,16977.712802296,7.6465606689453125,7.648176997463452
2,1787386048.567293,1787386048.5675187,16977.716510296,11.536836624145508,11.539871997229056
3,1787386048.5674334,1787386048.5677872,16977.716777067,11.70659065246582,11.707796998962294
8,1787386048.5674307,1787386048.567877,16977.716865323,11.63029670715332,11.630933000560617
4,1787386048.5714,1787386048.5715933,16977.720584765,12.055158615112305,12.05472999936319
6,1787386048.5714388,1787386048.5719333,16977.720927048,12.11857795715332,12.12240700260736
7,1787386048.5715494,1787386048.57204,16977.72102908,12.134313583374023,12.135150998801691
1,1787386048.5753286,1787386048.5755591,16977.72455099,12.008190155029297,12.00865299688303
2,1787386048.5753505,1787386048.5756617,16977.724650317,8.142948150634766,8.14002100014477
3,1787386048.575408,1787386048.575969,16977.724958627,8.18181037902832,8.18156000241288
5,1787386048.575474,1787386048.5760775,16977.725066489,12.264490127563477,12.264193002920365
8,1787386048.5755553,1787386048.5761662,16977.725154174,8.289098739624023,8.288851000543218
4,1787386048.5795043,1787386048.5797672,16977.728764471,8.173942565917969,8.179706001101295
6,1787386048.57954,1787386048.580174,16977.729166256,8.240699768066406,8.239207996666664
7,1787386048.5796132,1787386048.5803022,16977.729294757,8.262157440185547,8.265676999144489
1,1787386048.5833569,1787386048.5835578,16977.732549726,7.99870491027832,7.998736000445206
5,1787386048.5833879,1787386048.5836601,16977.732648902,7.582664489746094,7.582412999909138
2,1787386048.5872874,1787386048.5875416,16977.736535298,11.879920959472656,11.884981002367567
3,1787386048.5873861,1787386048.5878513,16977.736841594,11.882305145263672,11.882966999110067
8,1787386048.5875878,1787386048.5879445,16977.736932474,11.77835464477539,11.77829999869573
4,1787386048.591429,1787386048.591646,16977.740640965,11.878728866577148,11.876493997988291
6,1787386048.591504,1787386048.5921056,16977.741098986,11.931657791137695,11.932730001717573
7,1787386048.5915627,1787386048.592234,16977.741223721,11.931657791137695,11.92896400243626
1,1787386048.5953028,1787386048.5956476,16977.744647857,12.089729309082031,12.098130999220302
2,1787386048.5953505,1787386048.5958383,16977.744833156,8.296728134155273,8.297857999423286
3,1787386048.5955126,1787386048.5962062,16977.745196078,8.354902267456055,8.354484001756646
5,1787386048.595568,1787386048.5962973,16977.745285055,12.637138366699219,12.636152998311445
8,1787386048.5956628,1787386048.596378,16977.745365727,8.43358039855957,8.433253002294805
4,1787386048.5994074,1787386048.599614,16977.748605236,7.967948913574219,7.964271000673762
6,1787386048.5995018,1787386048.5998797,16977.74887299,7.774114608764648,7.774003999656998
7,1787386048.5995612,1787386048.5999742,16977.748962738,7.740259170532227,7.73901699722046
1,1787386048.6033256,1787386048.6035402,16977.752531947,7.892608642578125,7.884090002335142
5,1787386048.6034663,1787386048.6038194,16977.752808978,7.522106170654297,7.523922999098431
2,1787386048.6072366,1787386048.6075113,16977.756507861,11.6729736328125,11.674704997858498
3,1787386048.6073313,1787386048.6080356,16977.757031024,11.829376220703125,11.834945998998592
8,1787386048.6076481,1787386048.6081495,16977.757137976,11.771440505981445,11.772248999477597
4,1787386048.611413,1787386048.611641,16977.760633136,12.02702522277832,12.027900000248337
6,1787386048.6114855,1787386048.6119967,16977.76098673,12.11690902709961,12.113740001950646
7,1787386048.611573,1787386048.6121016,16977.761090455,12.127399444580078,12.12771700011217
1,1787386048.6154265,1787386048.615731,16977.764730978,12.190818786621094,12.199030999909155
2,1787386048.6155367,1787386048.616151,16977.765142462,8.639812469482422,8.634601002995623
3,1787386048.615488,1787386048.6162586,16977.765247449,8.22305679321289,8.216424997954164
5,1787386048.6157293,1787386048.6163523,16977.765340674,12.532949447631836,12.531696000223747
8,1787386048.6156137,1787386048.616444,16977.765433008,8.29458236694336,8.295031999296043
6,1787386048.6193945,1787386048.6195955,16977.768587267,7.598876953125,7.600536999234464
4,1787386048.6194336,1787386048.6198628,16977.768852356,8.221864700317383,8.219219998863991
7,1787386048.619502,1787386048.619953,16977.768940682,7.851362228393555,7.8502270007447805
1,1787386048.6232646,1787386048.6234987,16977.772491466,7.767677307128906,7.76048799889395
5,1787386048.623462,1787386048.6238298,16977.772821727,7.477521896362305,7.4810530022659805
2,1787386048.6272955,1787386048.6275682,16977.776559784,11.417150497436523,11.417321999033447
3,1787386048.627394,1787386048.6278405,16977.776830492,11.581897735595703,11.583043000428006
8,1787386048.6275477,1787386048.627933,16977.776920762,11.488914489746094,11.487753999972483
4,1787386048.6313636,1787386048.6315703,16977.780562568,11.707544326782227,11.710212002071785
6,1787386048.6315067,1787386048.6319208,16977.780910752,12.325286865234375,12.323484999797074
7,1787386048.6314614,1787386048.6320055,16977.780993147,12.052536010742188,12.052465001033852
1,1787386048.6352928,1787386048.6355464,16977.78453785,12.047767639160156,12.046383999404497
2,1787386048.6353643,1787386048.635862,16977.784852101,8.293867111206055,8.292316997540183
3,1787386048.6354816,1787386048.6359522,16977.784940227,8.111715316772461,8.109735001198715
5,1787386048.635533,1787386048.6360376,16977.785025016,12.207746505737305,12.20328899944434
8,1787386048.635657,1787386048.6361263,16977.785114454,8.193254470825195,8.193691999622388
4,1787386048.6393738,1787386048.639597,16977.788589586,8.026599884033203,8.027018000575481
6,1787386048.6394327,1787386048.6398778,16977.7888681,7.956981658935547,7.957347999763442
7,1787386048.639511,1787386048.639977,16977.788965182,7.971525192260742,7.972035000420874
1,1787386048.6433837,1787386048.6435595,16977.792550652,8.013010025024414,8.012802001758246
5,1787386048.6434283,1787386048.6438174,16977.792806814,7.779836654663086,7.781797998177353
2,1787386048.6473312,1787386048.6475525,16977.796546193,11.690378189086914,11.69409200156224
3,1787386048.6474826,1787386048.6478243,16977.796814227,11.872053146362305,11.873999999806983
8,1787386048.6475215,1787386048.6479146,16977.796902242,11.788368225097656,11.787788000219734
4,1787386048.651364,1787386048.6516168,16977.800613128,12.019872665405273,12.023541999951703
6,1787386048.651533,1787386048.6520026,16977.800993082,12.124776840209961,12.124982000386808
7,1787386048.6515317,1787386048.6521533,16977.801145979,12.176275253295898,12.18079699901864
1,1787386048.655388,1787386048.6556883,16977.804688438,12.128829956054688,12.137785997765604
2,1787386048.6554642,1787386048.6561608,16977.805153382,8.608341217041016,8.607189000031212
3,1787386048.6554275,1787386048.6562772,16977.805266825,8.452892303466797,8.45259799825726
5,1787386048.6555672,1787386048.65637,16977.805358107,12.552499771118164,12.551293002616148
8,1787386048.6556344,1787386048.65646,16977.805447665,8.545398712158203,8.54542299930472
4,1787386048.6594114,1787386048.6596026,16977.808594521,7.985830307006836,7.981392998772208
6,1787386048.6595194,1787386048.6598716,16977.808861312,7.86900520324707,7.868230000894982
7,1787386048.6595175,1787386048.6599622,16977.808950269,7.808923721313477,7.804290002241032
1,1787386048.663316,1787386048.6636117,16977.812607815,7.923364639282227,7.919377003418049
5,1787386048.66345,1787386048.6640043,16977.812997116,7.634401321411133,7.639008999831276
2,1787386048.6672757,1787386048.6675284,16977.816521712,11.367559432983398,11.368330000550486
3,1787386048.667413,1787386048.667809,16977.816798923,11.531829833984375,11.532098000316182
8,1787386048.6674848,1787386048.6679,16977.81688797,11.440038681030273,11.440304999268847
4,1787386048.671415,1787386048.6716516,16977.8206435,12.048959732055664,12.048978998791426
6,1787386048.6715474,1787386048.6719975,16977.820987576,12.125968933105469,12.126263998652576
7,1787386048.6716363,1787386048.6721163,16977.821105939,12.154102325439453,12.155669999629026
2,1787386048.6752808,1787386048.675581,16977.824577965,8.052587509155273,8.056252998358104
1,1787386048.675469,1787386048.676058,16977.825052397,12.446403503417969,12.444581996533088
3,1787386048.6754808,1787386048.6762023,16977.825190417,8.393287658691406,8.391494000534294
5,1787386048.6755412,1787386048.676281,16977.825268523,12.276649475097656,12.271406998479506
8,1787386048.6756408,1787386048.6763587,16977.825345699,8.458614349365234,8.457728999928804
4,1787386048.679405,1787386048.67962,16977.828611768,7.968425750732422,7.968268000695389
6,1787386048.6794484,1787386048.679891,16977.828881104,7.893562316894531,7.893527999840444
7,1787386048.6795442,1787386048.679979,16977.828966645,7.86280632019043,7.860705998609774
1,1787386048.6832983,1787386048.6834953,16977.832487133,7.437229156494141,7.434736002323916
5,1787386048.6834536,1787386048.6837647,16977.832754375,7.483720779418945,7.48585199835361
2,1787386048.6872904,1787386048.687506,16977.836497621,11.924982070922852,11.919656000827672
3,1787386048.6873078,1787386048.687608,16977.836596768,11.405706405639648,11.406351000914583
8,1787386048.6874385,1787386048.687864,16977.83685328,11.505365371704102,11.507581002661027
4,1787386048.6914043,1787386048.6916008,16977.840593901,11.980772018432617,11.982133000856265
6,1787386048.6914642,1787386048.691957,16977.840947406,12.065887451171875,12.066301998856943
7,1787386048.691454,1787386048.6920621,16977.84105066,12.083053588867188,12.084015001164516
2,1787386048.695293,1787386048.695842,16977.844853077,8.336067199707031,8.355456000572303
1,1787386048.6954896,1787386048.6963766,16977.84537029,12.881278991699219,12.883157000032952
3,1787386048.6954744,1787386048.6964877,16977.84547668,8.879661560058594,8.879911998519674
5,1787386048.6955435,1787386048.6965804,16977.845568212,12.815713882446289,12.813837001885986
8,1787386048.695622,1787386048.6966653,16977.84565267,8.80122184753418,8.79938999787555
4,1787386048.6994183,1787386048.6996202,16977.848613957,8.019447326660156,8.02005600053235
6,1787386048.6995065,1787386048.6999035,16977.848894424,7.946491241455078,7.947018002596451
7,1787386048.699542,1787386048.6999977,16977.848986247,7.935523986816406,7.935587000247324
1,1787386048.703256,1787386048.7034776,16977.852471087,7.1010589599609375,7.100797000020975
5,1787386048.7033796,1787386048.7037659,16977.852756293,7.185459136962891,7.188080999185331
2,1787386048.7072778,1787386048.7076008,16977.856607523,11.758804321289062,11.754446000850294
3,1787386048.7073953,1787386048.7081542,16977.857147879,11.666536331176758,11.671199001284549
8,1787386048.7075417,1787386048.7082713,16977.85726054,11.605978012084961,11.60787000117125
4,1787386048.7113457,1787386048.711531,16977.860523243,11.910676956176758,11.909286000445718
6,1787386048.7114286,1787386048.7118797,16977.860870095,11.976242065429688,11.975670997344423
7,1787386048.7114084,1787386048.7119675,16977.860955536,11.969804763793945,11.969289000262506
1,1787386048.7153575,1787386048.7155662,16977.864558418,12.088537216186523,12.087331000657286
2,1787386048.715396,1787386048.715847,16977.864837263,8.246183395385742,8.22974000038812
3,1787386048.7154706,1787386048.7159379,16977.86492619,7.783651351928711,7.778310999128735
5,1787386048.7155144,1787386048.7160416,16977.865054611,12.27569580078125,12.298318000830477
8,1787386048.715632,1787386048.7161946,16977.865184555,7.923364639282227,7.92401500075357
4,1787386048.719341,1787386048.719545,16977.868537278,8.01396369934082,8.014034996449482
6,1787386048.7194855,1787386048.7198138,16977.868804009,7.934093475341797,7.933913999295328
7,1787386048.719454,1787386048.7199018,16977.868889339,7.934331893920898,7.933802997285966
1,1787386048.723341,1787386048.7235336,16977.872526126,7.967472076416016,7.9677079993416555
5,1787386048.723444,1787386048.7238119,16977.872802074,7.770299911499023,7.747463001578581
2,1787386048.727237,1787386048.727543,16977.876542986,11.696100234985352,11.705722998158308
3,1787386048.727454,1787386048.7279553,16977.87694937,12.017488479614258,12.023179999232525
8,1787386048.7274837,1787386048.7281017,16977.87709303,11.907100677490234,11.908475000382168
4,1787386048.7314107,1787386048.731628,16977.880620511,12.083053588867188,12.083233003068017
6,1787386048.731445,1787386048.7319818,16977.880972302,12.167930603027344,12.168293000286212
7,1787386048.7315567,1787386048.7320764,16977.881064405,12.174606323242188,12.175066000054358
1,1787386048.735267,1787386048.7354865,16977.884478533,11.952877044677734,11.952406999625964
2,1787386048.7353103,1787386048.7358177,16977.884808363,8.274555206298828,8.26537700049812
3,1787386048.7355134,1787386048.735912,16977.884900326,7.956743240356445,7.950956001877785
5,1787386048.7355201,1787386048.7359915,16977.884979124,12.17961311340332,12.177049997262657
8,1787386048.735668,1787386048.736082,16977.885069855,7.9803466796875,7.976824999786913
4,1787386048.7393637,1787386048.7395551,16977.888547071,7.927179336547852,7.926559999759775
6,1787386048.7394226,1787386048.7398262,16977.888815996,7.844448089599609,7.843694002076518
7,1787386048.739505,1787386048.7399213,16977.888909562,7.8449249267578125,7.8451570007018745
1,1787386048.7432985,1787386048.7435172,16977.892511303,8.03065299987793,8.032770001591416
5,1787386048.7434447,1787386048.743788,16977.892777864,7.796525955200195,7.798739999998361
2,1787386048.7473097,1787386048.7475119,16977.896503267,11.694192886352539,11.694903998431982
3,1787386048.747516,1787386048.7477686,16977.896758126,11.856555938720703,11.85780000014347
8,1787386048.74756,1787386048.7478557,16977.896843566,11.77358627319336,11.773710997658782
4,1787386048.751428,1787386048.7516112,16977.900603484,12.056112289428711,12.056412997480948
6,1787386048.7514937,1787386048.7519777,16977.900968199,12.151479721069336,12.15220299854991
7,1787386048.7515826,1787386048.7520792,16977.901068057,12.157917022705078,12.158494999312097
1,1787386048.755289,1787386048.7555075,16977.904501932,11.99030876159668,11.990628998319153
2,1787386048.755482,1787386048.756079,16977.905079878,8.567094802856445,8.576611002354184
3,1787386048.7554245,1787386048.7562068,16977.905196257,8.4381103515625,8.438131000730209
5,1787386048.7555516,1787386048.7563012,16977.905289432,12.513160705566406,12.51156800208264
8,1787386048.7556252,1787386048.756458,16977.905462828,8.602380752563477,8.619262000138406
4,1787386048.7594147,1787386048.7596438,16977.908637255,8.032560348510742,8.033771002374124
6,1787386048.7595623,1787386048.759939,16977.908930016,7.961273193359375,7.961817002069438
7,1787386048.7595353,1787386048.7600477,16977.909036426,7.968425750732422,7.96836900190101
1,1787386048.7632608,1787386048.7634776,16977.91247005,7.970094680786133,7.968117999553215
5,1787386048.7633784,1787386048.7637691,16977.912759374,7.467985153198242,7.469942000170704
2,1787386048.7672334,1787386048.7676032,16977.916602147,11.524200439453125,11.522269000124652
3,1787386048.767375,1787386048.767971,16977.916962194,11.764287948608398,11.765936997107929
8,1787386048.7674994,1787386048.7681434,16977.917149356,11.685371398925781,11.686527999700047
4,1787386048.7713423,1787386048.7715945,16977.920591025,11.95073127746582,11.953769997489871
6,1787386048.7714212,1787386048.7720664,16977.921058254,12.127399444580078,12.128237998695113
7,1787386048.7715185,1787386048.7721806,16977.921169974,12.132883071899414,12.133547999837901
1,1787386048.7752547,1787386048.7756002,16977.924593389,12.122631072998047,12.123339001846034
2,1787386048.7752914,1787386048.7757378,16977.924731388,8.134603500366211,8.129240999551257
3,1787386048.7754152,1787386048.776093,16977.925083971,8.121967315673828,8.121777002088493
5,1787386048.775461,1787386048.7761939,16977.925182516,12.424707412719727,12.423141997714993
8,1787386048.7755468,1787386048.776283,16977.925271213,8.139610290527344,8.12185700124246
4,1787386048.779483,1787386048.7797039,16977.928697103,8.109331130981445,8.10607800303842
6,1787386048.7795222,1787386048.7800763,16977.92906816,8.009910583496094,8.009905999642797
7,1787386048.7796164,1787386048.7801926,16977.929182475,8.012056350708008,8.012500999029726
1,1787386048.7832394,1787386048.7834992,16977.932493269,7.899045944213867,7.8998799981491175
5,1787386048.7834108,1787386048.7839084,16977.932901516,7.714509963989258,7.719000001088716
