request_id,attempt_index,request_ros_s,attempt_ros_s,attempt_monotonic_s,uav_id,state_age_ms,snapshot_skew_ms,result,deadline_expired
prewarm,0,1787386048.4407485,1787386048.441263,16977.590272822,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.590274244,2,13373.872995376587,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.590274876,3,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.590275226,4,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.590275797,5,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.590276479,6,13369.842290878296,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.59027693,7,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,0,1787386048.4407485,1787386048.441263,16977.59027739,8,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590339788,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590340659,2,13373.956680297852,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.59034119,3,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590341641,4,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590342022,5,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590343034,6,13369.92597579956,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590343475,7,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,1,1787386048.4407485,1787386048.4413466,16977.590343925,8,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590395272,1,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590395993,2,13374.013662338257,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
prewarm,2,1787386048.4407485,1787386048.4414036,16977.590396464,3,,4.030704498291016,"missing UAV states: [1, 3, 4, 5, 7, 8]",False
