bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785140117695540229,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140117795708657,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140117895803286,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140117995936236,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118096078515,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118196209692,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118296422675,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118396531991,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118496754060,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
1785140118597102057,8.0,world,695255762,1785140119,401,normal,0.0,11.23606798,5.19577393,5.0,1
