trial_id,scenario,method,repeat,uav_id,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,tracking_error_m,actual_speed_mps,actual_acceleration_mps2
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.9076756238937378,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.22129857540130615,2.9459777362644672,-0.4286579191684723,0.02361653558909893,0.24067466549343672,nan
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.807674765586853,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.24541261792182922,2.9593688137829304,-0.4080999195575714,0.05775873363018036,0.34109567387983925,1.0640314879074009
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.7076828479766846,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.279448926448822,2.9852471463382244,-0.3898838460445404,0.10365068912506104,0.4925019521406082,1.7064298971634977
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.6076737642288208,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.32238829135894775,3.0177731290459633,-0.38222673535346985,0.1555248200893402,0.6183075576472176,1.429633323535983
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.5076701641082764,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.3793111741542816,3.0560702979564667,-0.3720325529575348,0.22345422208309174,0.678870101542206,1.5621518919548465
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.4076545238494873,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.42198240756988525,3.0804949402809143,-0.33333122730255127,0.28283002972602844,0.6554992556413938,1.6703838308780237
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.307644009590149,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.46575701236724854,3.097285211086273,-0.2942746877670288,0.3405733108520508,0.5231868376323495,1.8360401376062625
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.2076592445373535,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.5022749900817871,3.1055704429745674,-0.2848551273345947,0.376733660697937,0.4542165687415883,2.5382106937475837
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.107651948928833,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.5365145802497864,3.107821449637413,-0.2907869219779968,0.4029085338115692,0.36599911764534154,1.0752541788437258
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-1.0076581239700317,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.5757558345794678,3.11955389380455,-0.2582947015762329,0.45262646675109863,0.3444661712987362,2.489891923267054
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.9076524972915649,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.6148409247398376,3.133074387907982,-0.21702823042869568,0.5072624087333679,0.3114899734661926,0.8177353065560833
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.8076636791229248,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.647892951965332,3.146093174815178,-0.20796547830104828,0.5430901050567627,0.3698543595672149,2.9422710901643514
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.7076624631881714,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.6789199709892273,3.159744471311569,-0.2243008017539978,0.5674254894256592,0.3642292357413674,0.7172801193615496
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.6076542139053345,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7042666673660278,3.1662405282258987,-0.20616455376148224,0.598132848739624,0.14406821775082704,2.907267571991554
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.5076533555984497,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7211574912071228,3.167583331465721,-0.17306500673294067,0.6262238025665283,0.07474565016378854,0.8910746941358685
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.40764978528022766,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7305771112442017,3.165640190243721,-0.16569776833057404,0.6364291906356812,0.2527173422239609,2.7575587835312994
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.3076552450656891,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.736862063407898,3.162421479821205,-0.18654461205005646,0.6317682862281799,0.3535880472254765,1.0565715674322904
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.2076408714056015,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7422541975975037,3.1621726900339127,-0.18052512407302856,0.6386474370956421,0.10518793339844766,2.533468463027632
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.10765685141086578,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7493343949317932,3.166843667626381,-0.15837179124355316,0.6555274128913879,0.0844877344892807,1.0346485553406735
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,-0.007654878776520491,0.20624972879886627,2.932799220085144,-0.4412117898464203,0.7576300501823425,3.1746964305639267,-0.15336231887340546,0.6673768162727356,0.2505072253712519,2.0641093748113892
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.0923459455370903,0.28161748912287254,2.967946092753975,-0.3993389694565445,0.7681110501289368,3.1852579712867737,-0.172032430768013,0.5792829394340515,0.34568625035694256,0.973373381861978
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.19234460592269897,0.3632309802646225,3.0060055888685784,-0.3539961459299085,0.7738872766494751,3.1869858652353287,-0.16644176840782166,0.48638370633125305,0.16498181406992013,2.3452627271030555
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.2923542261123657,0.4448534253425579,3.044069260546495,-0.30864834777539374,0.7828770875930786,3.1880869567394257,-0.1420804262161255,0.4034178555011749,0.1783305207914189,1.567044241988899
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.3923493027687073,0.5264639897852685,3.0821273918292653,-0.26330715026421425,0.7963166236877441,3.190490558743477,-0.1257227063179016,0.3217025101184845,0.22403629060515934,1.204470641864754
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.49235573410987854,0.6080838264610484,3.1201898471093736,-0.21796080128577275,0.8199584484100342,3.1978284120559692,-0.1230694055557251,0.24479170143604279,0.352780986283644,1.302419047687186
eight_uav_line_to_circle__linear_ladrc__r01,eight_uav_line_to_circle,linear_ladrc,1,1,0.592358410358429,0.6897005968768475,3.158250872475038,-0.1726161558600558,0.8477124571800232,3.2126964330673218,-0.10048460215330124,0.18203029036521912,0.5315276762123887,2.494972616710916
