scenario,method,trials,uav_outcomes,mean_tracking_rmse_m,std_tracking_rmse_m,max_tracking_error_m,mean_arrival_time_s,arrival_time_variance_s2,mean_settling_time_s,mean_overshoot_m,mean_final_position_error_m,arrival_success_rate,settling_success_rate
eight_uav_line_to_circle,linear_ladrc,5,40,0.2936850677548033,0.2177329987979285,1.2251251935958862,12.651434540748596,0.11482675103091822,nan,0.0622452834035526,0.03130090296420273,1.0,0.0
eight_uav_line_to_circle,minimum_jerk_ladrc,5,40,0.3136539879173454,0.2471104246622302,1.553222417831421,10.789570927619934,0.259795889513461,nan,0.04677437611438735,0.028495695534193947,1.0,0.0
eight_uav_line_to_circle,px4_step,5,40,4.352626883996002,1.556344622206945,16.988142013549805,7.941943916114601,4.228921991092236,8.202259498483995,0.7917590179206526,0.4660620435056563,0.925,0.85
five_uav_circle,linear_ladrc,5,25,0.5006250138137743,0.1902131377076144,1.4706876277923584,8.996620979309082,0.053765217394006325,nan,0.049168403299779444,0.050185192517822726,1.0,0.0
five_uav_circle,minimum_jerk_ladrc,5,25,0.638327861440346,0.27887265480834883,2.1090917587280273,7.50394121170044,0.023159189415959555,nan,0.05916275134335244,0.048499056322588996,1.0,0.0
five_uav_circle,px4_step,5,25,5.1484390010605265,1.2570273677978805,15.04806900024414,7.984706421693166,3.6952430485375105,8.67070250077681,0.7276637778152147,0.3299656014749291,0.96,0.88
single_uav,linear_ladrc,5,5,0.3366392748736759,0.015321111934235732,0.5612661242485046,8.427355194091797,0.0017310813679068816,nan,0.05505396787914592,0.03552755660669522,1.0,0.0
single_uav,minimum_jerk_ladrc,5,5,0.3535007810270777,0.016345310128245513,0.6767995953559875,7.408306312561035,0.012868989503986086,nan,0.05561645685137009,0.03402107644366854,1.0,0.0
single_uav,px4_step,5,5,3.4181995321924847,0.01513016445476915,8.091980934143066,5.626712894439697,0.002360160798380093,7.066845989227295,0.4791848645999369,0.1744855472072879,1.0,1.0
