bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785207481621271742,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207481617884,False,2147411071,1
1785207482125104658,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207482121884,False,2147411071,1
1785207482629125927,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207482625895,False,2147411071,1
1785207483133168441,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207483129895,False,2147411071,1
1785207483639892461,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207483633918,False,2147411071,1
1785207484141921602,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207484137918,False,2147411071,1
1785207484645558462,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207484641931,False,2147411071,1
1785207485149468363,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207485145931,False,2147411071,1
1785207485653423438,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207485649942,False,2147411071,1
1785207486157455823,22312000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,24424000,14,False,False,False,False,True,True,False,True,True,2,2,26296000,1785207486153942,False,2147411071,1
