uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,2.3123884497591254,0,0,0,0.0,0.0,0.0
1,3,2.7195508604636576,0,0,0,0.0,0.0,0.0
1,4,4.651141111141988,0,0,0,0.0,0.0,0.0
1,5,4.045859096057366,0,0,0,0.0,0.0,0.0
1,6,2.359253849659443,0,0,0,0.0,0.0,0.0
2,3,0.6680467616646995,1,29,1,1.4499986171722412,0.9999990463256836,0.0777530529287668
2,4,4.007738898638249,0,0,0,0.0,0.0,0.0
2,5,4.654800495464205,0,0,0,0.0,0.0,0.0
2,6,4.0371493023822485,0,0,0,0.0,0.0,0.0
3,4,2.241882498623325,0,0,0,0.0,0.0,0.0
3,5,4.050074484641502,0,0,0,0.0,0.0,0.0
3,6,4.091917560596231,0,0,0,0.0,0.0,0.0
4,5,2.3504878602061607,0,0,0,0.0,0.0,0.0
4,6,4.031443773406243,0,0,0,0.0,0.0,0.0
5,6,2.3145904094825864,0,0,0,0.0,0.0,0.0
