experiment_id,batch_id,task_type,trial_id,mission_id,uav_id,controller_tracking_rmse,avoidance_deviation,peak_velocity,peak_acceleration,semantic_gain_multiplier,sample_count
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,1,0.7060142463917564,0.0,1.581960916519165,0.8656671643257141,0.8847800493240356,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,2,0.5918922054370112,0.0,1.2271043062210083,0.8292309641838074,0.8604461550712585,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,8,0.7363499448423485,0.0114313691544481,1.6631152629852295,0.7245093584060669,0.8933876156806946,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,6,0.4637092565599305,0.0,0.8314579725265503,0.6506291031837463,0.8324623107910156,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,3,0.4703660670599857,0.0,0.8516362905502319,1.0235722064971924,0.8335590362548828,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,5,0.4447128044994018,0.0,0.7604328989982605,0.6779877543449402,0.8285565376281738,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,7,0.5302451842029138,0.011192195501640644,1.1645588874816895,0.6795346140861511,0.850295901298523,2028
experiments_10,exp10-pilot-v2b-20260731,task_d_dense,1,1,4,0.44683328791587684,0.0,0.7591675519943237,0.7488174438476562,0.8285718560218811,2028
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,4,0.616650557985072,0.0,1.005000114440918,1.0488477945327759,0.8423236012458801,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,1,0.8148709560981134,0.0,1.295029640197754,0.9519039392471313,0.8646029233932495,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,2,0.7182214281749532,0.0,1.1321414709091187,0.9806510806083679,0.8531135320663452,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,3,0.5364031693831816,0.0,0.8636376857757568,0.7889222502708435,0.8334196209907532,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,7,0.7056805770640135,0.0,1.1596872806549072,0.9351351857185364,0.8543093204498291,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,8,0.8044048116042607,0.0,1.3308508396148682,1.0934269428253174,0.8668309450149536,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,5,0.61438332623231,0.0,1.002625823020935,0.9668546319007874,0.842577338218689,816
experiments_10,exp10-pilot-v2b-20260731,task_a_simple,1,1,6,0.5577530118240015,0.0,0.9256324172019958,0.8894012570381165,0.8361809849739075,816
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,1,1,0.46048835898475526,0.0,0.8634873628616333,2.6178293228149414,0.8390295505523682,2049
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,1,3,0.3566149770189015,0.0,0.45933401584625244,2.58335018157959,0.8163822889328003,2049
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,1,4,0.5677033900355675,0.0,1.2057504653930664,2.7103283405303955,0.8614485859870911,2049
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,2,8,0.6613149293204178,0.0,1.4751607179641724,2.505980968475342,0.8831809759140015,2049
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,1,5,0.4564297665851199,0.0,0.8298356533050537,3.4440455436706543,0.8389362096786499,2024
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,2,6,0.44809626162766797,0.0,0.7965126633644104,2.339700937271118,0.8380705118179321,2049
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,1,2,0.5663470273634672,0.0,1.2197070121765137,2.5166943073272705,0.8616775870323181,2048
experiments_10,exp10-pilot-v2b-20260731,task_c_grouped,1,2,7,0.37274898398786266,0.0,0.4829390347003937,2.6389148235321045,0.8195839524269104,2048
experiments_10,exp10-pilot-v2b-20260731,task_b_sequential,1,1,5,0.3636867925287482,0.0,0.5280075669288635,4.808637619018555,0.6591860055923462,2002
experiments_10,exp10-pilot-v2b-20260731,task_b_sequential,1,1,1,1.0777448232858777,0.0,2.607177495956421,7.031354904174805,0.8542704582214355,2005
experiments_10,exp10-pilot-v2b-20260731,task_b_sequential,1,1,4,0.3580368132192358,0.0,0.5390095114707947,2.9770901203155518,0.6586330533027649,2029
experiments_10,exp10-pilot-v2b-20260731,task_b_sequential,1,1,8,1.063496799723538,0.0,2.5950820446014404,10.190973281860352,0.8546159863471985,2040
experiments_10,exp10-pilot-v2b-20260731,task_b_sequential,1,1,2,0.7998615897159002,0.0,1.8937792778015137,6.020543575286865,0.7800121307373047,2003
