task_type,attempt_id,metric,value,q1,q3,lower_bound,upper_bound,is_outlier,reason
task_a_simple,attempt_0002,planning_time,0.03557445100159384,0.03557445100159384,0.03557445100159384,0.03557445100159384,0.03557445100159384,False,
task_a_simple,attempt_0002,reference_execution_time,10.090935842999897,10.090935842999897,10.090935842999897,10.090935842999897,10.090935842999897,False,
task_a_simple,attempt_0002,stabilization_delay,1.7163130049993924,1.7163130049993924,1.7163130049993924,1.7163130049993924,1.7163130049993924,False,
task_a_simple,attempt_0002,stage_wall_time,11.843116811000073,11.843116811000073,11.843116811000073,11.843116811000073,11.843116811000073,False,
task_a_simple,attempt_0002,mission_wall_time,11.843116811000073,11.843116811000073,11.843116811000073,11.843116811000073,11.843116811000073,False,
task_a_simple,attempt_0002,trajectory_finish_spread,0.004796781999175437,0.004796781999175437,0.004796781999175437,0.004796781999175437,0.004796781999175437,False,
task_a_simple,attempt_0002,stable_arrival_spread,0.800400821997755,0.800400821997755,0.800400821997755,0.800400821997755,0.800400821997755,False,
task_a_simple,attempt_0002,tracking_rmse,0.6783666447152724,0.6783666447152724,0.6783666447152724,0.6783666447152724,0.6783666447152724,False,
task_a_simple,attempt_0002,minimum_inter_agent_distance,2.511761379122373,2.511761379122373,2.511761379122373,2.511761379122373,2.511761379122373,False,
task_a_simple,attempt_0002,mean_rtf,0.9656584400316673,0.9656584400316673,0.9656584400316673,0.9656584400316673,0.9656584400316673,False,
task_a_simple,attempt_0002,iapf_active_duration,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,planning_time,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,reference_execution_time,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,stabilization_delay,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,stage_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,mission_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_b_sequential,attempt_0004,tracking_rmse,0.7435335065029096,0.7435335065029096,0.7435335065029096,0.7435335065029096,0.7435335065029096,False,
task_b_sequential,attempt_0004,minimum_inter_agent_distance,2.059896222598638,2.059896222598638,2.059896222598638,2.059896222598638,2.059896222598638,False,
task_b_sequential,attempt_0004,mean_rtf,1.123886154851262,1.123886154851262,1.123886154851262,1.123886154851262,1.123886154851262,False,
task_b_sequential,attempt_0004,iapf_active_duration,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,planning_time,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,reference_execution_time,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,stabilization_delay,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,stage_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,mission_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_c_grouped,attempt_0003,tracking_rmse,0.49594070933072076,0.49594070933072076,0.49594070933072076,0.49594070933072076,0.49594070933072076,False,
task_c_grouped,attempt_0003,minimum_inter_agent_distance,2.0775140395896017,2.0775140395896017,2.0775140395896017,2.0775140395896017,2.0775140395896017,False,
task_c_grouped,attempt_0003,mean_rtf,1.0006432528462719,1.0006432528462719,1.0006432528462719,1.0006432528462719,1.0006432528462719,False,
task_c_grouped,attempt_0003,iapf_active_duration,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,planning_time,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,reference_execution_time,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,stabilization_delay,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,stage_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,mission_wall_time,0.0,0.0,0.0,0.0,0.0,False,
task_d_dense,attempt_0001,tracking_rmse,0.5596721889799866,0.5596721889799866,0.5596721889799866,0.5596721889799866,0.5596721889799866,False,
task_d_dense,attempt_0001,minimum_inter_agent_distance,1.2845499802462075,1.2845499802462075,1.2845499802462075,1.2845499802462075,1.2845499802462075,False,
task_d_dense,attempt_0001,mean_rtf,0.9851903535596105,0.9851903535596105,0.9851903535596105,0.9851903535596105,0.9851903535596105,False,
task_d_dense,attempt_0001,iapf_active_duration,7.060830770999019,7.060830770999019,7.060830770999019,7.060830770999019,7.060830770999019,False,
task_e_mixed,attempt_0006,planning_time,0.06987859999935608,0.06987859999935608,0.06987859999935608,0.06987859999935608,0.06987859999935608,False,
task_e_mixed,attempt_0006,reference_execution_time,30.289856620998762,30.289856620998762,30.289856620998762,30.289856620998762,30.289856620998762,False,
task_e_mixed,attempt_0006,stabilization_delay,15.37253167700328,15.37253167700328,15.37253167700328,15.37253167700328,15.37253167700328,False,
task_e_mixed,attempt_0006,stage_wall_time,45.73294781700315,45.73294781700315,45.73294781700315,45.73294781700315,45.73294781700315,False,
task_e_mixed,attempt_0006,mission_wall_time,45.73294781700315,45.73294781700315,45.73294781700315,45.73294781700315,45.73294781700315,False,
task_e_mixed,attempt_0006,trajectory_finish_spread,0.018497402998036705,0.018497402998036705,0.018497402998036705,0.018497402998036705,0.018497402998036705,False,
