experiment_id,batch_id,phase,scenario,method,trial,seed,minimum_inter_agent_distance,mean_min_distance,closest_pair,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,risk_integral,iapf_activation_time,iapf_activation_ratio,mean_repulsion_norm,max_repulsion_norm,position_saturation_ratio,acceleration_saturation_ratio,peak_acceleration_setpoint,integrated_squared_acceleration,mean_trajectory_deviation,max_trajectory_deviation,actual_path_length,nominal_path_length,path_length_ratio,recovery_time,stall_event_count,safe_completion_ratio,final_formation_error,mission_success,failure_reason
dense_feasible-M1-t07-cd7258405c,exp08-formal-20260728,main,dense_feasible,M1,7,48,1.732697043015981,3.056735193970641,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314063013371768,0.4297935915943709,0.3625680366194079,1.0725039728899912,31.107801648188133,29.43769375860821,1.056733652550195,0.0,5,1.0,0.043676489834627,True,none
dense_feasible-M1-t08-917d625846,exp08-formal-20260728,main,dense_feasible,M1,8,49,1.72085882213852,3.067214144712315,3-4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335581834293357,0.4422863787026527,0.3688918941429994,1.0409480051733029,31.424385729957287,29.500115807943093,1.0652292328118953,0.0,4,1.0,0.0865025916211923,True,none
dense_feasible-M1-t09-b74396058b,exp08-formal-20260728,main,dense_feasible,M1,9,50,1.7253663583895305,3.057345637879187,6-7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317234399665391,0.4365960124602118,0.3783720138856735,1.0679650919515644,31.530809219760187,29.744307318039333,1.0600619769900432,0.0,6,1.0,0.0756394182581238,True,none
dense_feasible-M1-t10-9a0dc27bfa,exp08-formal-20260728,main,dense_feasible,M1,10,51,1.7167482074566345,3.072924916372316,3-4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324372594779417,0.4328145837942576,0.384751731224253,1.0604945837856885,32.13027892918629,30.16888253334785,1.065013889515807,0.0,2,1.0,0.1112624991326884,True,none
dense_feasible-M2-t01-073858c331,exp08-formal-20260728,main,dense_feasible,M2,1,42,1.721706269490271,3.067471933811696,7-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3280691999152983,0.4354105484807018,0.4319992110028538,1.0682173306458898,32.74730508615201,30.376088954801663,1.078061930055532,0.0,0,1.0,0.14858171165688,True,none
dense_feasible-M2-t01-75dbf169c6,exp08-formal-20260728,pilot,dense_feasible,M2,1,9001,1.719607472050967,3.062743120899986,4-5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305211974873196,0.4365774227005387,0.3683917206672129,1.0444905659985269,31.50339121962317,29.235860290613047,1.0775599180756166,0.0,8,1.0,0.0854638293367246,True,none
dense_feasible-M2-t02-fcdeb700d9,exp08-formal-20260728,main,dense_feasible,M2,2,43,1.723933263581055,3.0445130160708125,7-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3337232014387696,0.4435126758924059,0.3669571382783022,1.052128476404863,31.40491068456043,29.68946389583483,1.0577796485225948,0.0,6,1.0,0.053703033073752,True,none
dense_feasible-M2-t02-b146e8611a,exp08-formal-20260728,pilot,dense_feasible,M2,2,9002,1.7106366128576975,3.037059276289117,1-2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281774989824427,0.4346739816336714,0.3705725005286618,1.004730385713508,31.45131734994113,29.35665628605434,1.0713521677494942,0.0,7,1.0,0.0863821937958418,True,none
dense_feasible-M2-t03-1b965587fd,exp08-formal-20260728,main,dense_feasible,M2,3,44,1.7193436302530825,3.036774103019134,3-4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3318765329093118,0.4294924296361049,0.4632383303048003,1.046610964893666,33.80664162551128,30.83194426870706,1.096481017573173,0.0,0,1.0,0.2470292569109825,True,none
dense_feasible-M2-t03-b61ffc8894,exp08-formal-20260728,pilot,dense_feasible,M2,3,9003,1.7320275167404868,3.074861249078494,3-4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309713718463579,0.4420038588802313,0.4029165313516466,1.035058787340409,32.10110455861713,29.98895083046547,1.0704310644307684,0.0,6,1.0,0.1674004282731763,True,none
dense_feasible-M2-t04-a3baa8552d,exp08-formal-20260728,main,dense_feasible,M2,4,45,1.7294480823296023,3.0752619350054324,7-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292004242729719,0.4401007095919746,0.428382002118908,1.0624828777945334,32.49573655119378,30.316885428161005,1.0718692270746542,0.0,0,1.0,0.1836231253208482,True,none
dense_feasible-M2-t05-c31b80a32e,exp08-formal-20260728,main,dense_feasible,M2,5,46,1.7213462281488066,3.081024725979676,7-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328119307555175,0.4386006017337771,0.3726048064432495,1.0299235256418935,31.685455528756428,29.76876883107124,1.064385823564347,0.0,6,1.0,0.057184720425395,True,none
dense_feasible-M2-t06-49042eff67,exp08-formal-20260728,main,dense_feasible,M2,6,47,1.7304021064189872,3.0665441201123333,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3314182708882416,0.4402423359764764,0.3685458392805198,1.034828388328217,31.30018524825369,29.29076204021846,1.068602626496236,0.0,8,1.0,0.0857412474866625,True,none
dense_feasible-M2-t07-889c4b9f49,exp08-formal-20260728,main,dense_feasible,M2,7,48,1.7324767256199438,3.072642263719868,7-8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3279445195171025,0.4333456669532708,0.4160663020989184,1.045470049031121,32.643497570030895,29.76977399583455,1.0965315885366964,0.0,1,1.0,0.1464901731014017,True,none
dense_feasible-M2-t08-534859b6d8,exp08-formal-20260728,main,dense_feasible,M2,8,49,1.7373405706187377,3.0688155544008,2-3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3307895457302421,0.4382431054491419,0.3578686635838339,1.0438229818838236,31.271455735448374,29.233283014757923,1.0697209656425355,0.0,8,1.0,0.0423944761916802,True,none
