method,success_rate,min_distance,violation_events,risk_integral,deviation,recovery_time,activation_ratio
M0,0.25,0.12881540586982204,2.0,1.837642004071482,0.7583085100070652,0.0,0.0
M1,0.25,0.1630764587723259,1.0,0.8307315699451824,0.7792111388517065,0.0,0.5382645160366084
M2,0.25,0.1606216989842964,1.0,0.7897879461241998,0.7349801340674977,0.0,0.3649336317922883
M3,0.25,0.39301405572152126,1.0,0.47768281648491706,0.6691068766793948,0.0,0.15012436350886985
M4,0.625,2.3373533591007893,0.0,0.0,0.3511593437756328,0.0,0.0
M5,0.65,2.3440665902223503,0.0,0.0,0.35299105703133693,0.0,0.0
