phase,scenario,method,trial_count,mission_success_rate,mission_success_ci_low,mission_success_ci_high,minimum_inter_agent_distance_n_valid,minimum_inter_agent_distance_mean,minimum_inter_agent_distance_std,minimum_inter_agent_distance_median,minimum_inter_agent_distance_q1,minimum_inter_agent_distance_q3,minimum_inter_agent_distance_ci_low,minimum_inter_agent_distance_ci_high,violation_event_count_n_valid,violation_event_count_mean,violation_event_count_std,violation_event_count_median,violation_event_count_q1,violation_event_count_q3,violation_event_count_ci_low,violation_event_count_ci_high,risk_exposure_time_n_valid,risk_exposure_time_mean,risk_exposure_time_std,risk_exposure_time_median,risk_exposure_time_q1,risk_exposure_time_q3,risk_exposure_time_ci_low,risk_exposure_time_ci_high,risk_integral_n_valid,risk_integral_mean,risk_integral_std,risk_integral_median,risk_integral_q1,risk_integral_q3,risk_integral_ci_low,risk_integral_ci_high,mean_trajectory_deviation_n_valid,mean_trajectory_deviation_mean,mean_trajectory_deviation_std,mean_trajectory_deviation_median,mean_trajectory_deviation_q1,mean_trajectory_deviation_q3,mean_trajectory_deviation_ci_low,mean_trajectory_deviation_ci_high,recovery_time_n_valid,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_q1,recovery_time_q3,recovery_time_ci_low,recovery_time_ci_high,iapf_activation_ratio_n_valid,iapf_activation_ratio_mean,iapf_activation_ratio_std,iapf_activation_ratio_median,iapf_activation_ratio_q1,iapf_activation_ratio_q3,iapf_activation_ratio_ci_low,iapf_activation_ratio_ci_high,path_length_ratio_n_valid,path_length_ratio_mean,path_length_ratio_std,path_length_ratio_median,path_length_ratio_q1,path_length_ratio_q3,path_length_ratio_ci_low,path_length_ratio_ci_high,integrated_squared_acceleration_n_valid,integrated_squared_acceleration_mean,integrated_squared_acceleration_std,integrated_squared_acceleration_median,integrated_squared_acceleration_q1,integrated_squared_acceleration_q3,integrated_squared_acceleration_ci_low,integrated_squared_acceleration_ci_high
ablation,vertical,M3_escape_fixed_positive_z,10,0.0,0.0,0.2775327998628892,10,0.20176738887187265,0.04720899360825395,0.22438740274818902,0.18703200655960633,0.22888511321956415,0.17173021372864222,0.22574933328341962,10,1.2,0.42163702135578396,1.0,1.0,1.0,1.0,1.5,10,3.7399964332580566,1.1918228623260116,3.4999966621398926,3.062497079372406,3.862496316432953,3.194996953010559,4.515120694041251,10,1.5636852263216885,0.8047166413060839,1.3877877037298147,0.9795719426426203,1.7229388755078672,1.166075233004344,2.0780664814992016,10,0.6240731994798491,0.07472263952014349,0.6143044330154543,0.5823881189661214,0.629474325583205,0.5896677086167913,0.6729979407874223,1,14.581700563430786,nan,14.581700563430786,14.581700563430786,14.581700563430786,14.581700563430786,14.581700563430786,10,0.20527713759722793,0.05573448027658885,0.19503838059976564,0.16923578537608713,0.21449008246727364,0.1793381979159562,0.2415635014700739,10,2.1083602279518603,0.11954096938028687,2.0924769918878967,2.0082669760611336,2.1485736956338615,2.0423306170861375,2.1832656910592205,10,21.80058721174141,5.0303591147074735,21.052659235260148,18.44242387973925,22.760891421534673,19.42472788848437,25.056729170850275
calibration,dense_calibration,cal_iapf_accel_gain_high,3,1.0,0.4385029682449546,1.0,3,1.9579176642994804,0.007176234697786253,1.95951047880896,1.9547946624907993,1.9618370733629016,1.9500788461726384,1.964163667916843,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3890679385395704,0.0398638151296303,0.3806257260926718,0.36736356916199026,0.4065512016937013,0.3541014122313087,0.43247667729473066,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0760784428348111,0.007520632545457232,1.072586693948142,1.0717625533491657,1.0786484578771218,1.0709384127501895,1.0847102218061015,3,0.4241289957230287,0.0056360950988770964,0.4217325383867051,0.4209098474130244,0.42614991536487123,0.42008715643934363,0.4305672923430373
calibration,dense_calibration,cal_iapf_accel_gain_low,3,1.0,0.4385029682449546,1.0,3,1.9786502303098958,0.01282467484478594,1.9825166147122424,1.9734269033775513,1.9858067494434137,1.96433719204286,1.9890968841745853,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3500600779329659,0.01369012760201772,0.350747296773491,0.3433932901077422,0.3570704751784521,0.3360392834419936,0.3633936535834132,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0604276010726184,0.008758688843539426,1.0618058487384774,1.0564336737564526,1.0651106522217137,1.0510614987744278,1.0684154557049503,3,0.4249262651475055,0.006128643606718711,0.4265323557957925,0.42234342744761155,0.42831214817154295,0.4181544990994306,0.4300919405472933
calibration,dense_calibration,cal_iapf_position_gain_high,3,1.0,0.4385029682449546,1.0,3,1.9713316528149587,0.008758242283679012,1.969640520165007,1.9665914091526566,1.975226330152285,1.9635422981403063,1.980812140139563,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3515531661135493,0.03157653051493186,0.3354604946527651,0.3333627232518881,0.3616972732448185,0.3312649518510111,0.38793405183687185,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0597672827757734,0.006646395118225921,1.0621487688506457,1.0572035024651245,1.0635218061238585,1.0522582360796036,1.0648948433970713,3,0.42358092649142765,0.0088364617629209,0.4233454512448872,0.4191050035131628,0.42793911184642225,0.4148645557814385,0.4325327724479573
calibration,dense_calibration,cal_iapf_position_gain_low,3,1.0,0.4385029682449546,1.0,3,1.9718056281219705,0.007537291899162852,1.969951106661852,1.9676599014861784,1.9750240940277037,1.9653686963105048,1.980097081393555,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3571755545717026,0.021632713857850348,0.3456401245696986,0.3446977575798186,0.3638856365625847,0.3437553905899385,0.3821311485554708,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.1895741476257602,0.23753807282034847,1.0627239941342084,1.0525571518940042,1.2631660666117401,1.0423903096538,1.4636081390892717,3,0.4221702576251307,0.0021393036975044678,0.421285182288264,0.420950352026844,0.42294762555498405,0.420615521765424,0.4246100688217041
calibration,dense_calibration,cal_iapf_repulsion_gain_high,3,1.0,0.4385029682449546,1.0,3,1.9591846379245326,0.005728756984240306,1.9584291301033177,1.9561501256037286,1.9618413963347292,1.9538711211041395,1.9652536625661405,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3663443272152633,0.05430805303842582,0.3413827867502005,0.3351938249373263,0.3850140592606688,0.3290048631244521,0.428645331771137,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.077523410112563,0.02544165834525808,1.0760077239391483,1.0644406013597307,1.089848375778688,1.052873478780313,1.1036890276182278,3,0.419385523486198,0.0054946111196314176,0.4206237325870442,0.4170005962187653,0.4223895553040538,0.4133774598504864,0.4241553780210634
calibration,dense_calibration,cal_iapf_repulsion_gain_low,3,1.0,0.4385029682449546,1.0,3,1.9542878609128784,0.014237558572168024,1.95471021059554,1.9472770185816408,1.961509878085447,1.9398438265677413,1.9683095455753536,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.38174779593756064,0.04665496850855424,0.3842064726326806,0.3590592879233699,0.4056656422993114,0.3339121032140591,0.42712481196594226,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.088306197144452,0.034096483208991474,1.0797910054976665,1.0695326643247216,1.1028221341407898,1.0592743231517767,1.1258532627839133,3,0.4190021073181491,0.0017189191013725316,0.4191856081669764,0.4181922038708996,0.41990376118981215,0.4171987995748228,0.4206219142126479
calibration,dense_calibration,cal_nominal,3,1.0,0.4385029682449546,1.0,3,1.9597096047264442,0.0055719709285017615,1.962045078337095,1.957697513177156,1.9628894330810578,1.9533499480172167,1.9637337878250207,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.40631475519720855,0.04022097510566213,0.3928172003244677,0.3836979079056413,0.42218282505240545,0.37457861548681476,0.4515484497803432,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.075773529704695,0.020975728110470927,1.0669870507736867,1.0638034828509095,1.0833503370929765,1.0606199149281323,1.0997136234122662,3,0.4280814113337499,0.0033990179810581924,0.4273414808701865,0.42622739453476277,0.4295654629009553,0.4251133081993392,0.4317894449317241
calibration,head_on_calibration,cal_iapf_accel_gain_high,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.5479963994528539,0.2314870060170061,0.6515839202793406,0.46719457640882217,0.6805919829101292,0.2828052325383037,0.7096000455409177,3,1.6666666666666667,0.5773502691896257,2.0,1.5,2.0,1.0,2.0,3,1.5333318710327148,0.4010399313886851,1.4999985694885254,1.3249987363815308,1.7249983549118042,1.149998903274536,1.949998140335083,3,0.1191598925223013,0.1247049583220806,0.060350638420402,0.0475422244031504,0.16137293359050256,0.0347338103858988,0.2623952287606031,3,0.7479810021926991,0.006092763513829533,0.750662762139631,0.7458350664087949,0.7514678179500691,0.7410073706779589,0.7522728737605072,0,nan,nan,nan,nan,nan,nan,nan,3,0.11065266437546588,0.004649234378670853,0.1080300770032898,0.1079686618612998,0.1120253732035439,0.1079072467193098,0.116020669403798,3,1.5990042760130088,0.011593265783592937,1.596382191668028,1.5926644054302317,1.6040331044232952,1.5889466191924353,1.6116840171785622,3,19.050486815950173,0.6238125080599266,18.77071613804108,18.693125322694456,19.26796297025134,18.615534507347835,19.7652098024616
calibration,head_on_calibration,cal_iapf_accel_gain_low,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.5807277851254405,0.19596969351235788,0.6899150975679248,0.5222010749780202,0.693848151494103,0.3544870523881156,0.6977812054202811,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.5,1.0,2.0,3,1.4833319187164307,1.1536163985361012,0.9999990463256836,0.824999213218689,1.8999981880187988,0.6499993801116943,2.799997329711914,3,0.0880324926247442,0.08932909743659781,0.0451313586887639,0.0366891491824852,0.11792526909901305,0.028246939676206496,0.1907191795092622,3,0.76127179946559,0.1654880062854121,0.701259384509121,0.6677111328145544,0.8248262586383911,0.634162881119988,0.9483931327676612,0,nan,nan,nan,nan,nan,nan,nan,3,0.09901775227917642,0.058625035670697545,0.0790232788010013,0.0660143995771199,0.1220238682421454,0.0530055203532385,0.1650244576832895,3,1.6113806509630695,0.12009355173006626,1.5858573217904062,1.5459788882339556,1.6640207491058514,1.5061004546775052,1.7421841764212969,3,14.664729163153098,5.34725256109353,12.63467652250127,11.63222715849705,16.682204847483234,10.629777794492831,20.729733172465195
