phase,scenario,method,trial_count,mission_success_rate,mission_success_ci_low,mission_success_ci_high,minimum_inter_agent_distance_n_valid,minimum_inter_agent_distance_mean,minimum_inter_agent_distance_std,minimum_inter_agent_distance_median,minimum_inter_agent_distance_q1,minimum_inter_agent_distance_q3,minimum_inter_agent_distance_ci_low,minimum_inter_agent_distance_ci_high,violation_event_count_n_valid,violation_event_count_mean,violation_event_count_std,violation_event_count_median,violation_event_count_q1,violation_event_count_q3,violation_event_count_ci_low,violation_event_count_ci_high,risk_exposure_time_n_valid,risk_exposure_time_mean,risk_exposure_time_std,risk_exposure_time_median,risk_exposure_time_q1,risk_exposure_time_q3,risk_exposure_time_ci_low,risk_exposure_time_ci_high,risk_integral_n_valid,risk_integral_mean,risk_integral_std,risk_integral_median,risk_integral_q1,risk_integral_q3,risk_integral_ci_low,risk_integral_ci_high,mean_trajectory_deviation_n_valid,mean_trajectory_deviation_mean,mean_trajectory_deviation_std,mean_trajectory_deviation_median,mean_trajectory_deviation_q1,mean_trajectory_deviation_q3,mean_trajectory_deviation_ci_low,mean_trajectory_deviation_ci_high,recovery_time_n_valid,recovery_time_mean,recovery_time_std,recovery_time_median,recovery_time_q1,recovery_time_q3,recovery_time_ci_low,recovery_time_ci_high,iapf_activation_ratio_n_valid,iapf_activation_ratio_mean,iapf_activation_ratio_std,iapf_activation_ratio_median,iapf_activation_ratio_q1,iapf_activation_ratio_q3,iapf_activation_ratio_ci_low,iapf_activation_ratio_ci_high,path_length_ratio_n_valid,path_length_ratio_mean,path_length_ratio_std,path_length_ratio_median,path_length_ratio_q1,path_length_ratio_q3,path_length_ratio_ci_low,path_length_ratio_ci_high,integrated_squared_acceleration_n_valid,integrated_squared_acceleration_mean,integrated_squared_acceleration_std,integrated_squared_acceleration_median,integrated_squared_acceleration_q1,integrated_squared_acceleration_q3,integrated_squared_acceleration_ci_low,integrated_squared_acceleration_ci_high
calibration,head_on_calibration,cal_iapf_position_gain_high,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.6449773493513805,0.10914504885359236,0.684810792529111,0.6031606816747732,0.706710738616853,0.5215105708204355,0.7286106847045949,3,1.6666666666666667,0.5773502691896257,2.0,1.5,2.0,1.0,2.0,3,1.4833319187164307,0.07637618874451828,1.4999985694885254,1.4499986171722412,1.5249985456466675,1.399998664855957,1.5499985218048096,3,0.06949769695115722,0.03427907711954168,0.0676483648888872,0.05191454250114855,0.08615618537003089,0.0361807201134099,0.1046640058511746,3,0.8036295402038656,0.10217602425973535,0.7647068478885909,0.7456710018635514,0.8421267323865425,0.7266351558385119,0.919546616884494,1,3.700180768966675,nan,3.700180768966675,3.700180768966675,3.700180768966675,3.700180768966675,3.700180768966675,3,0.13144106035590616,0.05466144449231471,0.1040175136345364,0.0999689426079224,0.14920140474320503,0.0959203715813084,0.1943852958518737,3,1.522576254569949,0.1296121244888179,1.5604963704885717,1.469364873809028,1.5947476932901814,1.3782333771294841,1.628999016091791,3,17.83844598977033,1.378677135300287,17.964507882778534,17.18278755076505,18.557135375279714,16.40106721875156,19.149762867780893
calibration,head_on_calibration,cal_iapf_position_gain_low,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.5740700767139492,0.09462552184512894,0.54241589588573,0.5208727071003422,0.6114403559134465,0.49932951831495426,0.6804648159411628,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.5,1.0,2.0,3,1.8999981880187988,0.32787161353206495,1.8499982357025144,1.7249983549118042,2.0499980449676514,1.5999984741210938,2.249997854232788,3,0.1336448068555741,0.06433793463768697,0.1568200248869454,0.10887494099587891,0.17000228173095489,0.06092985710481239,0.1831845385749644,3,0.7761440944971794,0.058231349013784316,0.7867915095342011,0.7500576247281958,0.8075542717846739,0.7133237399221904,0.8283170340351468,0,nan,nan,nan,nan,nan,nan,nan,3,0.11669539464434557,0.013431204450877737,0.1110302222323543,0.1090275693459958,0.1215306337366997,0.1070249164596373,0.1320310452410451,3,1.56734909670935,0.0199574529391393,1.5626700685317727,1.5564084652247758,1.5759502141051356,1.550146861917779,1.5892303596784985,3,18.872453026177002,1.1627547875097222,18.40878949017986,18.210927210560644,19.302147073794792,18.01306493094143,20.19550465740972
calibration,head_on_calibration,cal_iapf_repulsion_gain_high,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.42957285537635714,0.16118240513851165,0.4312740788430839,0.3494103254592301,0.5105859970268476,0.2675465720753763,0.5898979152106113,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.5,1.0,2.0,3,1.9166648387908936,0.2886748592927512,1.7499983310699463,1.7499983310699463,1.9999980926513672,1.7499983310699463,2.249997854232788,3,0.2170336958709614,0.15156290706555575,0.1476360242812361,0.13011545021711723,0.26925310572994293,0.1125948761529984,0.3908701871786498,3,0.7632775577771289,0.023310387477168112,0.7514269114435335,0.7498501243323521,0.770779668055108,0.7482733372211708,0.7901324246666824,0,nan,nan,nan,nan,nan,nan,nan,3,0.11998403624810527,0.013541347044806647,0.118906563561748,0.11296008871793431,0.1264692474350976,0.1070136138741206,0.1340319313084472,3,1.5238039471582112,0.019616228763393716,1.5250126920264604,1.514311994403669,1.533900272346878,1.5036112967808777,1.5427878526672956,3,19.945670797874268,1.13288008500918,19.892741403211847,19.366462268968736,20.49841462944859,18.840183134725624,21.10408785568533
calibration,head_on_calibration,cal_iapf_repulsion_gain_low,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.6174404217989639,0.21858638752216533,0.6785393376611831,0.5266724698875054,0.738757831641532,0.3748056021138275,0.7989763256218807,3,1.6666666666666667,1.1547005383792517,1.0,1.0,2.0,1.0,3.0,3,1.6333317756652832,0.25657982727851936,1.699998378753662,1.5249985456466675,1.7749983072280884,1.3499987125396729,1.8499982357025144,3,0.13678947954451,0.1456840841965017,0.0943282066545828,0.05569077211471435,0.19665755052934206,0.0170533375748459,0.2989868944041013,3,0.8056434004353642,0.07118208254826393,0.7742451091312385,0.7649019617710521,0.8306856934476133,0.7555588144108657,0.8871262777639882,1,4.420062303543091,nan,4.420062303543091,4.420062303543091,4.420062303543091,4.420062303543091,4.420062303543091,3,0.13038756266658622,0.04224917105857542,0.1080192340809406,0.10602225582148354,0.14356870521886608,0.1040252775620265,0.1791181763567916,3,1.4968418370469394,0.12050235140645783,1.5453711788460762,1.452506274685462,1.5654420703079852,1.3596413705248473,1.5855129617698942,3,16.64630381411807,2.1097852553281125,17.450447269858213,15.851572536530721,17.84310681957549,14.252697803203231,18.235766369292765
calibration,head_on_calibration,cal_nominal,3,0.0,5.551115123125783e-17,0.5614970317550454,3,0.585053073016834,0.13588269030113698,0.6482733288779412,0.5386759350266541,0.6630403389375674,0.429078541175367,0.6778073489971937,3,1.6666666666666667,0.5773502691896257,2.0,1.5,2.0,1.0,2.0,3,1.7166650295257568,0.6048410002322576,1.4999985694885254,1.374998688697815,1.949998140335083,1.2499988079071045,2.3999977111816406,3,0.13539993206209963,0.1454267408400316,0.0546956492240397,0.051458567108674955,0.17898915559649434,0.0482214849933102,0.303282661968949,3,0.8145515883868955,0.0741993488523445,0.7827970353893727,0.7721554413656317,0.8410704589093977,0.7615138473418909,0.8993438824294225,0,nan,nan,nan,nan,nan,nan,nan,3,0.11935797707465907,0.017043795260540114,0.1100264145856005,0.10952204685137595,0.1245281260534129,0.10901767911715139,0.1390298375212253,3,1.607550914471675,0.06648797145558949,1.6173116720702403,1.5770168864560166,1.642965321286616,1.5367221008417928,1.6686189705029915,3,19.098350341832493,1.6845930679661805,18.40007452407398,18.137625873771363,19.70993690101437,17.875177223468743,21.01979927795476
main,dense_feasible,M0,10,1.0,0.7224672001371107,0.9999999999999999,10,1.7178086206187753,0.0151114113269566,1.7187526678183769,1.7107096656296843,1.729443437108487,1.7084683941103045,1.726258688774996,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4077510953402356,0.031231160565427876,0.4093607503270348,0.381687512815695,0.42140555889159,0.38977342086319255,0.4266433795568954,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.1620904389875402,0.15542731500423673,1.0943502413983395,1.0720812627636822,1.1823219997547811,1.0844671740986895,1.261560237173837,10,0.4358745413518886,0.004359485722821815,0.43683008118370553,0.43301372977525865,0.43953062029109474,0.43316252949874806,0.43829260973051815
main,dense_feasible,M1,10,1.0,0.7224672001371107,0.9999999999999999,10,1.7216166929708578,0.009453760388126564,1.7231125902640252,1.7126695335823632,1.7303097566615764,1.7160904245563204,1.727013102068444,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.40403451538134466,0.041764721802162535,0.3893496417684071,0.3712619240786679,0.4411353756203883,0.3808051822584153,0.42971882812125584,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.094170279866148,0.06460418814288414,1.07442616096017,1.065067725339829,1.087044099408104,1.0676247522157065,1.1364189594926906,10,0.434658072161396,0.004711785032249131,0.435785203465221,0.43098393742547614,0.43711745812678016,0.4318814452346303,0.43740440518553997
main,dense_feasible,M2,10,1.0,0.7224672001371107,0.9999999999999999,10,1.7283318199590003,0.0069328163326695036,1.7284103070711305,1.722263018012967,1.7319580708197047,1.7243341905002492,1.7325637951405983,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3980935759609307,0.036178022849379314,0.39022551331612254,0.36770689455182415,0.4253030771139106,0.37749170668853615,0.41957201940901495,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0741719497670401,0.012843356559743602,1.0697072595207127,1.0685954942283635,1.0765137543103127,1.0673132746259684,1.0821265127410653,10,0.4367824361593032,0.004109577517370115,0.43682682696492187,0.43420062346210986,0.43972568262742523,0.4343576895783529,0.43914750280479997
main,dense_feasible,M3,10,1.0,0.7224672001371107,0.9999999999999999,10,1.7377471058136744,0.008603310632171643,1.737601208832544,1.7323450197993528,1.7443266569292972,1.7326899728530232,1.7427312339918963,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3946885838359195,0.01981026222854432,0.38939971240600696,0.37806733172645396,0.40676875367264714,0.38354109847742257,0.40677525694468625,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0514093314058377,0.010414557536633338,1.0505712873608553,1.0419592238040636,1.0560277462666667,1.0456443806072278,1.0577970032468216,10,0.435233644108333,0.005910829276400243,0.43404568833227697,0.4322531491007838,0.438705747833844,0.43181356630956763,0.4386472962888861
main,dense_feasible,M4,10,0.8,0.49016247153664183,0.9433178485456247,10,1.730440982538774,0.009157433039913503,1.729148585861703,1.7233973934897437,1.7369225838739175,1.7252004423339211,1.7359326914344402,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.40537335049430856,0.06211442294947237,0.3804923633547654,0.369855271593972,0.4150018536331588,0.3753336346582301,0.4466632104501901,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.1941026666264327,0.2631102736967369,1.0749652006121706,1.0676041518908588,1.080968687090171,1.0694130150034922,1.3578817383597024,10,0.4339674338201654,0.004679751169877338,0.4346942577103483,0.43069306261859736,0.43650668154294925,0.431277849913055,0.43673319742398026
main,dense_feasible,M5,10,0.9,0.5958499732047615,0.9821237869049271,10,1.7253098457589426,0.017734572999541245,1.725628139808923,1.7209181513287861,1.7337709933702814,1.713963434363734,1.7350494318290712,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.39993816454068754,0.029479823492890023,0.39540891457478067,0.3778835331114565,0.40833604992359973,0.38435217326418936,0.41856108443740997,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0747420677870578,0.06287231262199836,1.0549852266059876,1.0434299202563961,1.0709133497321042,1.048648641691269,1.1162800297552138,10,0.4352433452008387,0.003636383531179169,0.43439954435245154,0.433297148812814,0.4359971188697001,0.4332389698349597,0.43747255122307444
main,grouped_reconfiguration,M0,10,0.0,0.0,0.2775327998628892,10,0.11536225283817003,0.027427231897289538,0.1204785006626898,0.11171006232951511,0.1287593922073253,0.09779689128863835,0.1291214305337666,10,33.9,6.93541635375988,31.0,30.0,36.25,30.2,38.3,10,76.7999267578125,18.344236828549324,72.59993076324463,64.17493879795074,81.88742190599442,67.53493559360504,88.69041541814804,10,4.291381224888776,1.438792392434961,4.256299740119084,3.466072449990699,5.168301104384025,3.4857373098037,5.144213573449798,10,0.9855807803808352,0.06755793558129959,0.9835597102055551,0.9516528700160534,1.0179472883649239,0.9475615474221861,1.0279272700680637,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.3863045195170418,0.11051475139685799,1.3729461623471435,1.289929984904986,1.4552056657405612,1.3229263708043,1.4527831205522639,10,2.45225326184381,0.0059883322334039705,2.4510852489352635,2.4473240329069594,2.4556053574209833,2.4489836386762334,2.455985842316494
main,grouped_reconfiguration,M1,10,0.0,0.0,0.2775327998628892,10,0.11945045723798242,0.04754014813438381,0.12959189389805903,0.0784775345229527,0.15014522960381038,0.09116406007386968,0.14697886107705427,10,18.6,2.5473297566057065,18.5,16.25,21.0,17.1,20.1,10,13.33498728275299,2.1227647759738097,12.649987936019897,12.162488400936127,14.774985909461975,12.114988446235657,14.575111100077628,10,1.101391545531355,0.21877851526696174,1.087668631198126,0.938843069000384,1.2166391356350639,0.9735841503348823,1.2314749537834784,10,0.6752478885879883,0.051322616526449524,0.6724136105096632,0.6333825693906233,0.6961184879198163,0.6471661841640847,0.7068254668533674,0,nan,nan,nan,nan,nan,nan,nan,10,0.9751043185919688,0.018652003910606993,0.9796327253879422,0.9597259859640941,0.9905086876921013,0.9640055134341846,0.9856314948890653,10,1.3067274774637667,0.1401327860322302,1.268228445444338,1.23973271840274,1.297875949047462,1.248375137607052,1.3987333428838318,10,2.454274459036619,0.00525156972566369,2.4557336114672026,2.4522630368949896,2.457718242943816,2.450946516416188,2.4571242472471586
main,grouped_reconfiguration,M2,10,0.0,0.0,0.2775327998628892,10,0.1420661255131634,0.03485210683388702,0.1390965360348391,0.12582364080347883,0.15400138528033486,0.12362743172703075,0.16375748357292103,10,19.1,2.923088169119167,18.0,18.0,19.0,17.8,21.0,10,13.659986972808838,4.24242712292787,12.699987888336182,10.712489783763884,16.199984550476074,11.264989256858826,16.21010954082012,10,1.1215530384899484,0.23629737715287502,1.0964895552590637,0.9706658105508822,1.2563967357591248,0.9872683915415,1.2634454735298626,10,0.6838742456006057,0.04514307892945543,0.6710303456861932,0.6518223943077823,0.7252829533804279,0.6576775647984425,0.7108536440029534,0,nan,nan,nan,nan,nan,nan,nan,10,0.9734729480907962,0.015320502417703007,0.979014339775433,0.9593667500697751,0.9825588600339817,0.9645278693281093,0.9824321966876424,10,1.2732370191684814,0.048860077807164996,1.28148011772966,1.2344387368858196,1.3039648278482758,1.243635454619826,1.301672694612879,10,2.454849656189298,0.0054871185515632465,2.4529991139360634,2.450692038722841,2.4603034540543547,2.451765036116019,2.4581150100357525
