bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785138578756672656,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138578856816997,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138578956907024,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579056954210,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579156979665,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579257184730,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579357331905,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579457436830,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579557496229,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
1785138579657583982,12.0,world,756269272,1785138580,5,normal,0.0,5.75735931,17.74264069,5.0,6
