uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,2.298862954315624,0,0,0,0.0,0.0,0.0
1,3,2.704615093602386,0,0,0,0.0,0.0,0.0
1,4,4.667719356573553,0,0,0,0.0,0.0,0.0
1,5,4.0611753534768145,0,0,0,0.0,0.0,0.0
1,6,2.3951046358119377,0,0,0,0.0,0.0,0.0
2,3,0.6706893406154159,1,29,1,1.4499986171722412,1.0499989986419678,0.0765296014956181
2,4,4.013380830532593,0,0,0,0.0,0.0,0.0
2,5,4.641926399116226,0,0,0,0.0,0.0,0.0
2,6,4.041146123525862,0,0,0,0.0,0.0,0.0
3,4,2.2206405265362528,0,0,0,0.0,0.0,0.0
3,5,4.03401952459294,0,0,0,0.0,0.0,0.0
3,6,4.0845638426979916,0,0,0,0.0,0.0,0.0
4,5,2.3308881729058983,0,0,0,0.0,0.0,0.0
4,6,4.019035651773845,0,0,0,0.0,0.0,0.0
5,6,2.300756627398145,0,0,0,0.0,0.0,0.0
