experiment_id,batch_id,task_type,trial_id,mission_id,uav_id,controller_tracking_rmse,avoidance_deviation,peak_velocity,peak_acceleration,semantic_gain_multiplier,sample_count
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,3,0.5614991070612356,0.0,0.9007396697998047,0.8229559659957886,0.8349284529685974,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,1,0.8347870392332248,0.0,1.300263524055481,0.7188722491264343,0.8639574646949768,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,2,0.726628331379434,0.0,1.1409039497375488,0.5611687302589417,0.8519222736358643,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,5,0.6564566226605217,0.0,1.064968228340149,0.5659552812576294,0.8454088568687439,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,7,0.7298808383510367,0.0,1.161810278892517,1.3840577602386475,0.8543261289596558,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,4,0.6237057819022462,0.0,0.9898867011070251,0.5025096535682678,0.8407217860221863,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,6,0.578249246825722,0.0,0.9572108387947083,0.8061755895614624,0.837927520275116,772
experiments_10,exp10-pilot-final-20260731,task_a_simple,1,1,8,0.8284268424534188,0.0,1.3340773582458496,1.443766713142395,0.8666262626647949,771
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,5,0.4398722935679817,0.0,0.6990867853164673,1.5941694974899292,0.663635790348053,1827
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,8,1.132868001508039,0.0,2.595412492752075,2.9970591068267822,0.8548393845558167,1827
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,6,0.606211678004006,0.0,1.2326558828353882,2.314429759979248,0.7131101489067078,1827
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,3,0.6169607873682132,0.0,1.2342710494995117,2.362058162689209,0.7135893106460571,1821
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,4,0.43992812545123056,0.0,0.696937620639801,1.4598156213760376,0.663675844669342,1826
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,1,1.1452185508106163,0.0,2.639235258102417,4.958075046539307,0.8566693067550659,1826
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,2,0.8716516276910297,0.0,1.924960732460022,2.9314520359039307,0.7826336026191711,1828
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,1,7,0.8585042256506543,0.0,1.8878893852233887,3.057255506515503,0.7809935808181763,1827
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,2,5,0.6143705117287742,0.0,0.932293713092804,2.6502163410186768,1.0420161485671997,812
experiments_10,exp10-pilot-final-20260731,task_b_sequential,1,2,8,1.0392071502791407,0.0,1.7010459899902344,3.1460909843444824,1.1024550199508667,811
