timestamp,uav_id,x,y,z
1785406170.2197838,2,3.0604617595672607,2.0833892822265625,3.140106439590454
1785406170.2200737,1,0.35227081179618835,-3.2718453407287598,3.131098985671997
1785406170.2203825,4,-2.8252267837524414,1.9736871719360352,3.1796584129333496
1785406170.220617,3,4.643101215362549,4.458138465881348,3.1319313049316406
1785406170.319714,2,3.0619466304779053,2.085824966430664,3.1700363159179688
1785406170.319916,1,0.35369494557380676,-3.2722678184509277,3.1322829723358154
1785406170.3202872,4,-2.8242177963256836,1.9724044799804688,3.183577299118042
1785406170.3205416,3,4.645184516906738,4.458725452423096,3.161893606185913
1785406170.4197245,2,3.06331205368042,2.087707042694092,3.2031664848327637
1785406170.4199271,1,0.35557737946510315,-3.2723073959350586,3.158754587173462
1785406170.420295,4,-2.822922468185425,1.971578598022461,3.2071568965911865
1785406170.4205437,3,4.647149562835693,4.459289073944092,3.1947078704833984
1785406170.5197308,2,3.0642659664154053,2.088982105255127,3.224294900894165
1785406170.5199351,1,0.3586747646331787,-3.271475315093994,3.2093610763549805
1785406170.5203145,4,-2.8211100101470947,1.971588134765625,3.2529489994049072
1785406170.5205765,3,4.648462772369385,4.4597039222717285,3.2156009674072266
1785406170.619735,2,3.066141366958618,2.0907201766967773,3.252187728881836
1785406170.619944,1,0.360665500164032,-3.2710561752319336,3.238842248916626
1785406170.620386,4,-2.8197758197784424,1.971480369567871,3.2845346927642822
1785406170.620667,3,4.6499481201171875,4.460550785064697,3.2395522594451904
1785406170.7197833,2,3.06972074508667,2.0932672023773193,3.2941296100616455
1785406170.7200165,1,0.36194297671318054,-3.2708659172058105,3.2550926208496094
1785406170.720456,3,4.652434825897217,4.462699890136719,3.283107280731201
1785406170.7204854,4,-2.8190102577209473,1.9712743759155273,3.29960036277771
1785406170.8197405,2,3.072507858276367,2.095163583755493,3.3193519115448
1785406170.8199513,1,0.3635215163230896,-3.270932674407959,3.276787757873535
1785406170.8203318,4,-2.818521022796631,1.971083641052246,3.317330837249756
1785406170.8205965,3,4.653973579406738,4.464189529418945,3.310154438018799
1785406170.9197452,2,3.074212074279785,2.0962092876434326,3.328125476837158
1785406170.9199471,1,0.36639201641082764,-3.2711477279663086,3.3182880878448486
1785406170.9203272,4,-2.818129062652588,1.9709663391113281,3.356382131576538
1785406170.920585,3,4.65457010269165,4.464813709259033,3.3202860355377197
1785406171.0197396,2,3.0759243965148926,2.097083330154419,3.3437461853027344
1785406171.0199423,1,0.3678189218044281,-3.2716736793518066,3.3381943702697754
1785406171.0203226,4,-2.8181581497192383,1.970438003540039,3.3787546157836914
1785406171.020577,3,4.655055522918701,4.46557092666626,3.3328044414520264
1785406171.119725,2,3.0779078006744385,2.098038673400879,3.376969337463379
1785406171.1199222,1,0.36818239092826843,-3.2725839614868164,3.344431161880493
1785406171.1203072,4,-2.8186192512512207,1.9694032669067383,3.3851263523101807
1785406171.1205647,3,4.656588554382324,4.467634201049805,3.36787486076355
1785406171.2197456,2,3.078886032104492,2.098315954208374,3.3934102058410645
1785406171.2199485,1,0.3682236075401306,-3.2726545333862305,3.3575809001922607
1785406171.22033,4,-2.8191094398498535,1.9682483673095703,3.3944029808044434
1785406171.2206192,3,4.656466960906982,4.468194484710693,3.3859658241271973
1785406171.3197954,2,3.078824996948242,2.0979971885681152,3.3947718143463135
1785406171.3200827,1,0.3683827519416809,-3.271300792694092,3.3908462524414062
