timestamp,scenario,fresh,planner_wait_ms
1787298714.505148172,hover,true,0.000000
1787298714.525150776,hover,true,0.000000
1787298714.545165062,hover,true,0.000000
1787298714.565149069,hover,true,0.000000
1787298714.585159063,hover,true,0.000000
1787298714.605156898,hover,true,0.000000
1787298714.625178814,hover,true,0.000000
1787298714.645151377,hover,true,0.000000
1787298714.665143490,hover,true,0.000000
1787298714.685142994,hover,true,0.000000
1787298714.705138683,hover,true,0.000000
1787298714.725141287,hover,true,0.000000
1787298714.745153904,hover,true,0.000000
1787298714.765137911,hover,true,0.000000
1787298714.785137177,hover,true,0.000000
1787298714.805135727,hover,true,0.000000
1787298714.825143337,hover,true,0.000000
1787298714.845134735,hover,true,0.000000
1787298714.865133047,hover,true,0.000000
1787298714.885138750,hover,true,0.000000
1787298714.905135870,hover,true,0.000000
1787298714.925155163,hover,true,0.000000
1787298714.945141315,hover,true,0.000000
1787298714.965144157,hover,true,0.000000
1787298714.985154390,hover,true,0.000000
1787298715.005149841,hover,true,0.000000
1787298715.025146961,hover,true,0.000000
1787298715.045134068,hover,true,0.000000
1787298715.065125942,hover,true,0.000000
1787298715.085134029,hover,true,0.000000
1787298715.105135202,hover,true,0.000000
1787298715.125128508,hover,true,0.000000
1787298715.145160913,hover,true,0.000000
1787298715.165137768,hover,true,0.000000
1787298715.185137033,hover,true,0.000000
1787298715.205125570,hover,true,0.000000
1787298715.225136757,hover,true,0.000000
1787298715.245143652,hover,true,0.000000
1787298715.265139103,hover,true,0.000000
1787298715.285131216,hover,true,0.000000
1787298715.305135250,hover,true,0.000000
1787298715.325137854,hover,true,0.000000
1787298715.345130444,hover,true,0.000000
1787298715.365136623,hover,true,0.000000
1787298715.385144949,hover,true,0.000000
1787298715.405145168,hover,true,0.000000
1787298715.425141096,hover,true,0.000000
1787298715.445158482,hover,true,0.000000
1787298715.465140820,hover,true,0.000000
1787298715.485144615,hover,true,0.000000
1787298715.505133629,hover,true,0.000000
1787298715.525155306,hover,true,0.000000
1787298715.545157909,hover,true,0.000000
1787298715.565156698,hover,true,0.000000
1787298715.585129738,hover,true,0.000000
1787298715.605132818,hover,true,0.000000
1787298715.625144720,hover,true,0.000000
1787298715.645143032,hover,true,0.000000
1787298715.665132523,hover,true,0.000000
1787298715.685128689,hover,true,0.000000
1787298715.705128431,hover,true,0.000000
1787298715.725138664,hover,true,0.000000
1787298715.745137691,hover,true,0.000000
1787298715.765130043,hover,true,0.000000
1787298715.785146713,hover,true,0.000000
1787298715.805137396,hover,true,0.000000
1787298715.825139046,hover,true,0.000000
1787298715.845126390,hover,true,0.000000
1787298715.865137577,hover,true,0.000000
1787298715.885135651,hover,true,0.000000
1787298715.905132294,hover,true,0.000000
1787298715.925185442,hover,true,0.000000
1787298715.945132256,hover,true,0.000000
1787298715.965137243,hover,true,0.000000
1787298715.985125065,hover,true,0.000000
