timestamp,scenario,uav_count,uav_id,state_age_ms,snapshot_skew_ms,planner_wait_ms
1787298714.505148172,hover,1,1,5.853653,0.000000,0.000000
1787298714.525150776,hover,1,1,5.835056,0.000000,0.000000
1787298714.545165062,hover,1,1,5.862474,0.000000,0.000000
1787298714.565149069,hover,1,1,5.823612,0.000000,0.000000
1787298714.585159063,hover,1,1,5.870581,0.000000,0.000000
1787298714.605156898,hover,1,1,5.867481,0.000000,0.000000
1787298714.625178814,hover,1,1,5.851269,0.000000,0.000000
1787298714.645151377,hover,1,1,5.827665,0.000000,0.000000
1787298714.665143490,hover,1,1,5.818367,0.000000,0.000000
1787298714.685142994,hover,1,1,5.862236,0.000000,0.000000
1787298714.705138683,hover,1,1,5.844831,0.000000,0.000000
1787298714.725141287,hover,1,1,5.817890,0.000000,0.000000
1787298714.745153904,hover,1,1,5.800247,0.000000,0.000000
1787298714.765137911,hover,1,1,5.744219,0.000000,0.000000
1787298714.785137177,hover,1,1,5.796194,0.000000,0.000000
1787298714.805135727,hover,1,1,5.805731,0.000000,0.000000
1787298714.825143337,hover,1,1,5.835772,0.000000,0.000000
1787298714.845134735,hover,1,1,5.808115,0.000000,0.000000
1787298714.865133047,hover,1,1,5.817175,0.000000,0.000000
1787298714.885138750,hover,1,1,5.831957,0.000000,0.000000
1787298714.905135870,hover,1,1,5.810022,0.000000,0.000000
1787298714.925155163,hover,1,1,5.833149,0.000000,0.000000
1787298714.945141315,hover,1,1,5.784035,0.000000,0.000000
1787298714.965144157,hover,1,1,5.848408,0.000000,0.000000
1787298714.985154390,hover,1,1,5.853891,0.000000,0.000000
1787298715.005149841,hover,1,1,5.848408,0.000000,0.000000
1787298715.025146961,hover,1,1,5.802631,0.000000,0.000000
1787298715.045134068,hover,1,1,5.720854,0.000000,0.000000
1787298715.065125942,hover,1,1,5.759239,0.000000,0.000000
1787298715.085134029,hover,1,1,5.786180,0.000000,0.000000
1787298715.105135202,hover,1,1,5.784512,0.000000,0.000000
1787298715.125128508,hover,1,1,5.774975,0.000000,0.000000
1787298715.145160913,hover,1,1,5.749464,0.000000,0.000000
1787298715.165137768,hover,1,1,5.758524,0.000000,0.000000
1787298715.185137033,hover,1,1,5.766869,0.000000,0.000000
1787298715.205125570,hover,1,1,5.756378,0.000000,0.000000
1787298715.225136757,hover,1,1,5.778551,0.000000,0.000000
1787298715.245143652,hover,1,1,5.787611,0.000000,0.000000
1787298715.265139103,hover,1,1,5.734921,0.000000,0.000000
1787298715.285131216,hover,1,1,5.762339,0.000000,0.000000
1787298715.305135250,hover,1,1,5.776405,0.000000,0.000000
1787298715.325137854,hover,1,1,5.830050,0.000000,0.000000
1787298715.345130444,hover,1,1,5.773067,0.000000,0.000000
1787298715.365136623,hover,1,1,5.802870,0.000000,0.000000
1787298715.385144949,hover,1,1,5.768061,0.000000,0.000000
1787298715.405145168,hover,1,1,5.783558,0.000000,0.000000
1787298715.425141096,hover,1,1,5.780458,0.000000,0.000000
1787298715.445158482,hover,1,1,5.771160,0.000000,0.000000
1787298715.465140820,hover,1,1,5.798578,0.000000,0.000000
1787298715.485144615,hover,1,1,5.810261,0.000000,0.000000
1787298715.505133629,hover,1,1,5.744457,0.000000,0.000000
1787298715.525155306,hover,1,1,5.837440,0.000000,0.000000
1787298715.545157909,hover,1,1,5.768538,0.000000,0.000000
1787298715.565156698,hover,1,1,5.795717,0.000000,0.000000
1787298715.585129738,hover,1,1,5.767584,0.000000,0.000000
1787298715.605132818,hover,1,1,5.789518,0.000000,0.000000
1787298715.625144720,hover,1,1,5.794764,0.000000,0.000000
1787298715.645143032,hover,1,1,5.781412,0.000000,0.000000
1787298715.665132523,hover,1,1,5.748272,0.000000,0.000000
1787298715.685128689,hover,1,1,5.783558,0.000000,0.000000
1787298715.705128431,hover,1,1,5.747557,0.000000,0.000000
1787298715.725138664,hover,1,1,5.797148,0.000000,0.000000
1787298715.745137691,hover,1,1,5.761623,0.000000,0.000000
1787298715.765130043,hover,1,1,5.766392,0.000000,0.000000
1787298715.785146713,hover,1,1,5.742311,0.000000,0.000000
1787298715.805137396,hover,1,1,5.776167,0.000000,0.000000
1787298715.825139046,hover,1,1,5.767822,0.000000,0.000000
