[INFO] [1788059076.320214997] [uav7.ladrc_position_controller]: 已创建 7 个邻居 Odom 订阅
[INFO] [1788059076.331625893] [uav7.ladrc_position_controller]: LADRC 集群执行节点已初始化 (命名空间: /uav7), ENU偏移=[0.0, 21.0, 0.0]
[INFO] [1788059076.331670708] [uav7.ladrc_position_controller]: 等待 swarm_command 和 vehicle_odometry 消息...
[INFO] [1788059076.331685035] [uav7.ladrc_position_controller]: 控制模式: ladrc_acceleration
[WARN] [1788059076.351918289] [uav7.ladrc_position_controller]: 等待新鲜 VehicleOdometry（startup=WAIT_ESTIMATOR_READY armed=0 offboard=0）
[INFO] [1788059076.374666203] [uav7.ladrc_position_controller]: 已接收到 vehicle_odometry 消息
[INFO] [1788059088.131763801] [uav7.ladrc_position_controller]: 请求 ARM（第 1 次）
[INFO] [1788059088.231773450] [uav7.ladrc_position_controller]: 请求 OFFBOARD（第 1 次）
[INFO] [1788059110.671969901] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.01,-0.01,1.50] Cmd[-0.0,0.1,0.2]
[INFO] [1788059111.691934681] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.00,0.01,1.50] Cmd[-0.1,-0.0,-0.2]
[INFO] [1788059112.691950058] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,0.00,1.49] Cmd[-0.1,0.0,0.2]
[INFO] [1788059113.691956767] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.02,1.51] Cmd[-0.0,0.2,-0.4]
[INFO] [1788059114.691960560] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.01,-0.01,1.49] Cmd[-0.0,0.0,0.5]
[INFO] [1788059115.691980863] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,0.01,1.51] Cmd[-0.2,0.0,-0.4]
[INFO] [1788059116.691986136] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.02,1.49] Cmd[-0.0,0.2,0.3]
[INFO] [1788059117.691996538] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.00,-0.00,1.51] Cmd[0.0,0.1,-0.4]
[INFO] [1788059118.711970094] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.01,1.49] Cmd[-0.1,0.1,0.5]
[INFO] [1788059119.711988358] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.01,1.51] Cmd[-0.1,0.1,-0.5]
[INFO] [1788059120.731979105] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,-0.01,1.48] Cmd[-0.0,0.1,0.8]
[INFO] [1788059121.732062439] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.01,1.51] Cmd[-0.0,0.1,-0.6]
[INFO] [1788059122.752002777] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.00,-0.01,1.49] Cmd[-0.0,0.1,1.0]
[INFO] [1788059123.752003865] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,0.01,1.51] Cmd[-0.1,-0.0,-0.5]
[INFO] [1788059124.752005332] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,-0.00,1.48] Cmd[-0.1,0.1,1.0]
[INFO] [1788059125.772048380] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,-0.01,1.51] Cmd[-0.1,0.1,-0.6]
[INFO] [1788059126.792016706] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.00,-0.01,1.49] Cmd[0.1,0.1,0.6]
[INFO] [1788059127.792288177] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.00,1.51] Cmd[-0.1,0.0,-0.4]
[INFO] [1788059128.812077935] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,0.00,1.50] Cmd[-0.0,0.1,0.3]
[INFO] [1788059129.832039545] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.00,-0.01,1.51] Cmd[-0.1,0.1,-0.2]
[INFO] [1788059130.832062396] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[0.01,-0.00,1.50] Cmd[-0.0,0.0,-0.0]
[INFO] [1788059131.852109805] [uav7.ladrc_position_controller]: UAV7 mode=ladrc_acceleration Ref[0.0,-0.0,1.5] Safe[0.0,-0.0,1.5] Pos[-0.00,-0.00,1.50] Cmd[0.0,0.1,0.1]
