[INFO] [1788059076.322977203] [uav5.ladrc_position_controller]: 已创建 7 个邻居 Odom 订阅
[INFO] [1788059076.336189679] [uav5.ladrc_position_controller]: LADRC 集群执行节点已初始化 (命名空间: /uav5), ENU偏移=[0.0, 15.0, 0.0]
[INFO] [1788059076.336224685] [uav5.ladrc_position_controller]: 等待 swarm_command 和 vehicle_odometry 消息...
[INFO] [1788059076.336237118] [uav5.ladrc_position_controller]: 控制模式: ladrc_acceleration
[WARN] [1788059076.356387176] [uav5.ladrc_position_controller]: 等待新鲜 VehicleOdometry（startup=WAIT_ESTIMATOR_READY armed=0 offboard=0）
[INFO] [1788059076.374635215] [uav5.ladrc_position_controller]: 已接收到 vehicle_odometry 消息
[INFO] [1788059087.936369802] [uav5.ladrc_position_controller]: 请求 ARM（第 1 次）
[INFO] [1788059088.036355978] [uav5.ladrc_position_controller]: 请求 OFFBOARD（第 1 次）
[INFO] [1788059088.156457592] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,0.00,-0.18] Cmd[0.0,0.1,4.7]
[INFO] [1788059089.176412307] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.00,-0.00,-0.20] Cmd[-0.1,-0.0,8.0]
[INFO] [1788059090.196381307] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,-0.05,0.97] Cmd[-0.2,0.5,3.1]
[INFO] [1788059091.196393855] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[-0.04,-0.04,1.38] Cmd[0.5,0.1,3.7]
[INFO] [1788059092.196411942] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[-0.04,0.03,1.50] Cmd[0.0,-0.1,4.0]
[INFO] [1788059092.236409119] [uav5.ladrc_position_controller]: 自动起飞稳定保持完成，进入 READY
[INFO] [1788059093.216417323] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.05,-0.01,1.86] Cmd[-0.1,0.3,-0.2]
[INFO] [1788059094.216421719] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,-0.00,1.70] Cmd[0.1,0.1,-0.1]
[INFO] [1788059095.216472261] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,0.02,1.56] Cmd[-0.0,0.1,0.5]
[INFO] [1788059096.236405181] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.04,0.02,1.51] Cmd[-0.2,0.1,0.1]
[INFO] [1788059097.236764942] [uav5.ladrc_position_controller]: UAV5 mode=ladrc_acceleration Ref[0.0,0.0,1.5] Safe[0.0,0.0,1.5] Pos[0.01,-0.00,1.51] Cmd[0.1,0.1,-0.2]
