experiment_id,batch_id,task_type,trial_id,stage_id,mission_id,uav_id,dispatch_time,arrival_time,completion_time,arrival_time_error,final_position_error
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,1,1,14.555776790999516,24.571227730999453,10.015450939999937,0.016704000532627106,0.3343542218208313
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,1,2,14.555995577999056,24.561618751000424,10.005623173001368,0.006774114910513163,0.33541208505630493
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,1,3,14.556127493000531,24.558571682000547,10.002444189000016,0.0038235050160437822,0.3390766382217407
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,1,4,14.556247616999826,24.560987005999777,10.004739388999951,0.006196000147610903,0.36991792917251587
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,2,5,14.556364964999375,24.559160566999708,10.002795602000333,0.004042493179440498,0.37725359201431274
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,2,6,14.556480319999537,24.56350351800029,10.007023198000752,0.008037625811994076,0.3506109416484833
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,2,7,14.556600874000651,24.562874146999093,10.006273272998442,0.007211458869278431,0.3867928385734558
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,2,8,14.55672497500018,24.562981867999042,10.006256892998863,0.007380323018878698,0.39017412066459656
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,3,1,48.9886055070001,48.98842241700004,-0.00018309000006411225,2.2828421592712402,0.3658079206943512
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,3,2,48.988814295998964,48.988698570999986,-0.00011572499897738453,1.9529995918273926,0.36614859104156494
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,3,3,48.989003598000636,48.98888978600007,-0.00011381200056348462,1.9499887228012085,0.361398845911026
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,3,4,48.98918193999998,48.98906334899948,-0.00011859100050060079,0.9723129272460938,0.34404006600379944
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,4,5,48.98935217699909,48.98924072899899,-0.00011144800009788014,2.5301637649536133,0.36062201857566833
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,4,6,48.989526089999345,48.98940952399971,-0.00011656599963316694,2.654167890548706,0.379939466714859
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,4,7,48.98968154999966,48.989583606999076,-9.79430005827453e-05,2.5133590698242188,0.3521555960178375
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,4,8,48.989836197999466,48.98973247399954,-0.00010372399992775172,2.5735230445861816,0.34974247217178345
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,1,62.83722181799931,62.8371017949994,-0.00012002299990854226,0.4539892375469208,0.289661705493927
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,2,62.83740752399899,62.83730193699921,-0.00010558699977991637,0.544171929359436,0.30761057138442993
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,3,62.837559896999664,62.83746224499919,-9.765200047695544e-05,0.401096910238266,0.31453320384025574
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,4,62.83770774199911,62.8376120339999,-9.570799920766149e-05,0.7234751582145691,0.3103628158569336
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,5,62.83786587599934,62.83775743499973,-0.00010844099961104803,0.06132464483380318,0.2933865189552307
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,6,62.83803232599894,62.83793878200049,-9.354399844596628e-05,0.005352645181119442,0.3032113313674927
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,7,62.83817326799908,62.838081126999896,-9.214099918608554e-05,0.004487927071750164,0.30083349347114563
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,5,8,62.838318168000114,62.83640695199938,-0.001911216000735294,0.0047045801766216755,0.3068754971027374
