experiment_id,batch_id,task_type,trial_id,mission_id,uav_id,controller_tracking_rmse,avoidance_deviation,peak_velocity,peak_acceleration,semantic_gain_multiplier,sample_count
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,3,0.45079290287137974,0.0,0.728161096572876,1.113095760345459,0.8277190327644348,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,5,0.5619216008603584,0.0,1.0506840944290161,0.9995073080062866,0.8496377468109131,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,2,0.7012241910186156,0.0,1.4597307443618774,1.1614514589309692,0.8774716854095459,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,4,0.557894759178254,0.0,1.0518304109573364,1.0775679349899292,0.8496490716934204,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,7,0.7009110590353682,0.0,1.439618706703186,0.9444147348403931,0.8774168491363525,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,8,0.576923314939516,0.0,1.1012423038482666,0.9406476020812988,0.8530383706092834,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,2,6,0.45364275953126404,0.0,0.7240607142448425,0.9086015224456787,0.8277397751808167,1722
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,1,1,0.5769095880991053,0.0,1.1051220893859863,1.265793800354004,0.8533062934875488,1721
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,1,1.7546855988963006,0.0,2.5918750762939453,2.6812078952789307,0.9573913216590881,693
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,3,1.759968612213503,0.0,2.608407497406006,2.876751661300659,0.9575378894805908,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,4,5,1.7903873709830556,0.0,2.6453490257263184,3.050126314163208,0.9589232802391052,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,4,1.756902886096261,0.0,2.607377529144287,3.114697217941284,0.9579381942749023,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,3,2,1.7556464102457932,0.0,2.595871686935425,2.8466339111328125,0.9572297930717468,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,4,7,1.7991027047789019,0.0,2.645644426345825,3.167834520339966,0.9589262008666992,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,4,6,1.7862325244522632,0.0,2.6608853340148926,2.759347677230835,0.9586579203605652,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,4,8,1.7873410809475443,0.0,2.655775308609009,3.1738734245300293,0.9590492248535156,692
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,3,0.7905042726434673,0.0,1.2826042175292969,2.9722018241882324,0.8318772315979004,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,5,0.7127770161077699,0.0,1.0809210538864136,2.8978159427642822,0.8417134284973145,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,4,0.8797819204706615,0.0,1.3918770551681519,2.658985137939453,0.8452062010765076,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,2,0.8342572421206413,0.0,1.326055884361267,3.085118532180786,0.8393751382827759,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,7,0.6649902710233625,0.0,0.9803856015205383,2.795947790145874,0.8357641696929932,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,8,0.4350713657663031,0.0,0.5637081265449524,2.7901501655578613,0.7998046278953552,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,6,0.6078934487402706,0.0,0.8905133605003357,3.039531707763672,0.8283772468566895,844
experiments_10,exp10-pilot-e-altitude3-20260731,task_e_mixed,1,5,1,0.6099035324990534,0.0,0.9458484649658203,3.0593833923339844,0.8045966625213623,844
