uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,6.373381827490236,0,0,0,0.0,0.0,0.0
1,3,3.885095065987564,0,0,0,0.0,0.0,0.0
1,4,9.84730802645017,0,0,0,0.0,0.0,0.0
1,5,3.4873882961002813,0,0,0,0.0,0.0,0.0
1,6,6.438726969868596,0,0,0,0.0,0.0,0.0
1,7,4.240865684055812,0,0,0,0.0,0.0,0.0
1,8,6.164333780186895,0,0,0,0.0,0.0,0.0
2,3,3.4200862827565888,0,0,0,0.0,0.0,0.0
2,4,4.783114928125703,0,0,0,0.0,0.0,0.0
2,5,3.345702075042256,0,0,0,0.0,0.0,0.0
2,6,6.712488201262484,0,0,0,0.0,0.0,0.0
2,7,2.170603475487485,0,0,0,0.0,0.0,0.0
2,8,2.000972839213265,0,0,0,0.0,0.0,0.0
3,4,8.15042172989755,0,0,0,0.0,0.0,0.0
3,5,3.9305021606473045,0,0,0,0.0,0.0,0.0
3,6,8.876640158737912,0,0,0,0.0,0.0,0.0
3,7,2.4221468305506964,0,0,0,0.0,0.0,0.0
3,8,6.095820724159602,0,0,0,0.0,0.0,0.0
4,5,7.814348943670983,0,0,0,0.0,0.0,0.0
4,6,7.975912915740245,0,0,0,0.0,0.0,0.0
4,7,5.695966014342039,0,0,0,0.0,0.0,0.0
4,8,3.3677873982671587,0,0,0,0.0,0.0,0.0
5,6,1.802470061162311,0,0,0,0.0,0.0,0.0
5,7,2.1221156341297114,0,0,0,0.0,0.0,0.0
5,8,5.160747462631445,0,0,0,0.0,0.0,0.0
6,7,3.8518665401424386,0,0,0,0.0,0.0,0.0
6,8,5.8328655541133,0,0,0,0.0,0.0,0.0
7,8,2.3807770938366626,0,0,0,0.0,0.0,0.0
