bag_time_ns,x,y,z
1785125625102081796,0.0015207789838314056,2.997192501090467,-0.2499517798423767
1785125625202064802,0.0007423885399475694,2.997440628008917,-0.25408095121383667
1785125625302086721,-0.0007076555048115551,2.996907128021121,-0.26158463954925537
1785125625402109711,-0.0014180620200932026,2.9966297154314816,-0.2658607065677643
1785125625502092818,-0.0009124524658545852,2.9971335446462035,-0.2647676467895508
1785125625602086664,-0.0013033580034971237,2.997026991797611,-0.26811373233795166
1785125625702078196,-0.0025116638280451298,2.9961969216819853,-0.2752661108970642
1785125625802077282,-0.0030174115672707558,2.9957405417226255,-0.2799801528453827
1785125625902113477,-0.0021722426172345877,2.996277522062883,-0.28032156825065613
1785125626002119316,-0.0024614755529910326,2.9961779685691,-0.28495660424232483
1785125626102091854,-0.003750177100300789,2.9954955587163568,-0.2932809889316559
1785125626202063019,-0.004905784036964178,2.9951677308417857,-0.29905980825424194
1785125626302060894,-0.005432156380265951,2.995714199729264,-0.3010721802711487
1785125626402089987,-0.006736318580806255,2.9956932510249317,-0.306858092546463
1785125626502086509,-0.008872680366039276,2.995285708922893,-0.31620728969573975
1785125626602092329,-0.009987706318497658,2.995613232254982,-0.3216133415699005
1785125626702050731,-0.009474866092205048,2.9975203019566834,-0.3215771019458771
1785125626802043236,-0.010067038238048553,2.998676270712167,-0.32603558897972107
1785125626902050859,-0.011638530530035496,2.9993789486470632,-0.3344342112541199
1785125627002086444,-0.012631576508283615,2.9995842833304778,-0.3395262062549591
1785125627102050047,-0.012380670756101608,2.99928688473301,-0.3388591706752777
1785125627202002829,-0.013138780370354652,2.998755987151526,-0.34280672669410706
1785125627302035079,-0.014765700325369835,2.997983378591016,-0.35074955224990845
1785125627402039547,-0.015031740069389343,2.997742066392675,-0.3558705747127533
1785125627502043034,-0.012908818200230598,2.9984843576094136,-0.3563166558742523
1785125627602049486,-0.012382742948830128,2.998921304009855,-0.3614686131477356
1785125627702034859,-0.013013433665037155,2.9990888168103993,-0.37052831053733826
1785125627802034198,-0.013037113472819328,2.999320355069358,-0.3762268126010895
1785125627902030171,-0.011358843185007572,2.999819438002305,-0.3759732246398926
1785125628002078961,-0.0110774552449584,3.0000332794734277,-0.3806930482387543
1785125628102030152,-0.011791443452239037,3.0001366563665215,-0.3899674415588379
1785125628202033700,-0.011912688612937927,3.000014097942767,-0.3953310549259186
1785125628302049661,-0.010526109486818314,2.999365211057011,-0.3941158354282379
1785125628402013325,-0.010515714064240456,2.9987916339887306,-0.3983500301837921
1785125628502014758,-0.011439171619713306,2.9983850884018466,-0.40666303038597107
1785125628602034547,-0.011707231402397156,2.999453214055393,-0.4111640453338623
1785125628702014410,-0.010532133281230927,3.002870063530281,-0.40929868817329407
1785125628802011106,-0.010487419553101063,3.005550696514547,-0.4131045937538147
1785125628901999966,-0.011397730559110641,3.0080647002905607,-0.42162832617759705
1785125629002001390,-0.012044542469084263,3.009658199734986,-0.42650195956230164
1785125629102074058,-0.011838498525321484,3.010451575741172,-0.4244327247142792
1785125629201992729,-0.012590020895004272,3.0113262040540576,-0.4282643496990204
1785125629301989856,-0.014188013039529324,3.0124224396422505,-0.43682971596717834
1785125629401988917,-0.014974798075854778,3.0133011750876904,-0.4416828453540802
1785125629502007945,-0.014116736128926277,3.014112896285951,-0.4401295483112335
1785125629601998540,-0.01439910102635622,3.0151724806055427,-0.44401711225509644
1785125629701998973,-0.015510749071836472,3.0164910033345222,-0.4528643786907196
1785125629801988967,-0.016128478571772575,3.01669654995203,-0.4575091004371643
1785125629901985713,-0.015702281147241592,3.015260947868228,-0.45496654510498047
1785125630001973062,-0.016269024461507797,3.0147108007222414,-0.45872315764427185
1785125630102016286,-0.01767764985561371,3.0146580887958407,-0.467332661151886
1785125630201995050,-0.018562130630016327,3.0152403824031353,-0.47161245346069336
1785125630301985416,-0.018328679725527763,3.0165476370602846,-0.46876218914985657
1785125630401980230,-0.019124483689665794,3.01789309643209,-0.4716876745223999
1785125630501992807,-0.020867489278316498,3.019475230947137,-0.47965386509895325
1785125630601963616,-0.02148778736591339,3.0204939506947994,-0.48325178027153015
1785125630701969090,-0.01988147757947445,3.02064180187881,-0.4789031147956848
1785125630801976367,-0.019225213676691055,3.0207976810634136,-0.4810621738433838
1785125630901960060,-0.018900124356150627,3.0206880755722523,-0.48822304606437683
1785125631001995710,-0.017348624765872955,3.018912196159363,-0.4910719394683838
1785125631101974956,-0.013070421293377876,3.01426905579865,-0.48616698384284973
1785125631201974601,-0.008442020043730736,3.0089693209156394,-0.4881693422794342
1785125631301970137,-0.0016662873094901443,3.0016219546087086,-0.49501103162765503
1785125631401972316,0.007276142947375774,2.9935434758663177,-0.4981543719768524
1785125631501952253,0.02041703090071678,2.984312565997243,-0.4930040240287781
1785125631601944363,0.036022577434778214,2.975213060155511,-0.49208521842956543
1785125631701949598,0.0582042932510376,2.9653933830559254,-0.4925653040409088
1785125631801951717,0.08603215217590332,2.9562745802104473,-0.4869634211063385
1785125631901940871,0.12824077904224396,2.947407305240631,-0.47194570302963257
1785125632001954972,0.18041299283504486,2.9467830136418343,-0.45446228981018066
1785125632101934470,0.25218072533607483,2.9599963389337063,-0.4211663007736206
1785125632201930990,0.32793134450912476,2.978877153247595,-0.3788065016269684
1785125632301940453,0.4160495698451996,2.9996954877278768,-0.32050517201423645
1785125632401941210,0.5067428350448608,3.027292113751173,-0.26565805077552795
1785125632501925868,0.6121330857276917,3.0636983513832092,-0.20482975244522095
1785125632601948255,0.7138683795928955,3.100297048687935,-0.1407279521226883
1785125632701946518,0.8278770446777344,3.1409715712070465,-0.059712525457143784
1785125632801927959,0.9373324513435364,3.181791052222252,0.013212110847234726
1785125632901936872,1.0608171224594116,3.228146016597748,0.09177321940660477
1785125633001956524,1.1797595024108887,3.272250771522522,0.17095054686069489
1785125633101922418,1.3143699169158936,3.320741355419159,0.2673053741455078
1785125633201912286,1.444793462753296,3.3648491501808167,0.3536663055419922
1785125633301922212,1.593224048614502,3.4115468561649323,0.4464593231678009
1785125633401916368,1.7364927530288696,3.454835593700409,0.5387347340583801
1785125633501930221,1.8983503580093384,3.502653658390045,0.6492083072662354
1785125633601965203,2.055662155151367,3.544974684715271,0.7479346394538879
1785125633701908445,2.2348084449768066,3.589015245437622,0.8530850410461426
1785125633801902851,2.4073173999786377,3.6298022270202637,0.9564069509506226
1785125633901872151,2.6012864112854004,3.6754406690597534,1.0780651569366455
1785125634001989817,2.7883965969085693,3.715571939945221,1.1864265203475952
1785125634101911500,2.99951171875,3.7573240399360657,1.301148533821106
1785125634201938689,3.201915979385376,3.7952741980552673,1.4121577739715576
1785125634301908040,3.4287333488464355,3.836512327194214,1.5417183637619019
1785125634401903600,3.64485502243042,3.873675763607025,1.6567749977111816
1785125634501903648,3.8859682083129883,3.9136931896209717,1.7782278060913086
1785125634601901372,4.114928722381592,3.9485631585121155,1.8947343826293945
1785125634701907121,4.369437217712402,3.982349693775177,2.02990460395813
1785125634801897471,4.608607769012451,4.013974070549011,2.148571729660034
1785125634901897530,4.871585369110107,4.048571825027466,2.271791934967041
1785125635001900203,5.119170188903809,4.080089211463928,2.388333797454834
1785125635101879734,5.392979145050049,4.113190531730652,2.522243022918701
1785125635201877299,5.646344184875488,4.144787669181824,2.6388797760009766
1785125635301885554,5.920926094055176,4.1802157163619995,2.7591209411621094
1785125635401884772,6.176659107208252,4.213111758232117,2.8730289936065674
1785125635501882878,6.4572248458862305,4.248271822929382,3.004230260848999
1785125635601876495,6.713162899017334,4.282137036323547,3.1167614459991455
1785125635701873139,6.9868011474609375,4.320172190666199,3.230724573135376
1785125635801862158,7.24047327041626,4.354820966720581,3.3383140563964844
1785125635901880391,7.518800735473633,4.390773773193359,3.46211314201355
1785125636001923370,7.768507957458496,4.425604820251465,3.5664265155792236
1785125636101868479,8.031055450439453,4.46478545665741,3.669813394546509
1785125636201885501,8.271036148071289,4.501379609107971,3.7666125297546387
1785125636301878348,8.53128719329834,4.54058563709259,3.8785367012023926
1785125636401855115,8.76077651977539,4.577595472335815,3.970520257949829
1785125636501882777,8.998112678527832,4.618197917938232,4.059515476226807
1785125636601877468,9.211846351623535,4.656543970108032,4.14231014251709
1785125636701871918,9.440648078918457,4.699055790901184,4.237632751464844
1785125636801888379,9.638836860656738,4.737666487693787,4.313692092895508
1785125636901862802,9.840043067932129,4.778650879859924,4.385162353515625
1785125637001871499,10.017854690551758,4.817407727241516,4.453019618988037
1785125637101860030,10.20455265045166,4.8614290952682495,4.534282207489014
1785125637201860452,10.362953186035156,4.899857044219971,4.596409797668457
1785125637301856236,10.520166397094727,4.9391714334487915,4.65244722366333
1785125637401856498,10.657181739807129,4.975339770317078,4.704862594604492
1785125637501857972,10.80003547668457,5.01608681678772,4.768650054931641
1785125637601857353,10.917679786682129,5.050537824630737,4.814402103424072
1785125637701836546,11.030749320983887,5.084455966949463,4.852699279785156
1785125637801842890,11.125617980957031,5.114488363265991,4.88953971862793
1785125637901827322,11.220681190490723,5.147205114364624,4.937707901000977
1785125638001842593,11.2955322265625,5.1737260818481445,4.968990802764893
1785125638101825393,11.363790512084961,5.198532819747925,4.991944789886475
1785125638201848028,11.41742992401123,5.21885871887207,5.015973091125488
1785125638301848552,11.467179298400879,5.238953351974487,5.0519561767578125
1785125638401854396,11.503105163574219,5.253889560699463,5.072713375091553
1785125638501840743,11.53044319152832,5.265672206878662,5.083830833435059
1785125638601824967,11.550435066223145,5.2758708000183105,5.099006652832031
1785125638701834397,11.56064510345459,5.284370183944702,5.125855445861816
1785125638801832186,11.564457893371582,5.289451360702515,5.138861179351807
1785125638901837759,11.563411712646484,5.292438745498657,5.143118381500244
1785125639001836520,11.556751251220703,5.2924888134002686,5.15210485458374
1785125639101822057,11.54319953918457,5.289320468902588,5.174321174621582
1785125639201814827,11.52880859375,5.2851831912994385,5.183134078979492
1785125639301827274,11.511750221252441,5.279697895050049,5.182860374450684
1785125639401824062,11.492003440856934,5.273388147354126,5.18746280670166
1785125639501803999,11.464942932128906,5.26509690284729,5.205071926116943
1785125639601826966,11.441329002380371,5.257474184036255,5.21035623550415
1785125639701810449,11.417258262634277,5.249483585357666,5.207110404968262
1785125639801823958,11.392129898071289,5.240718841552734,5.209597110748291
1785125639901788556,11.359042167663574,5.228609800338745,5.225164890289307
1785125640001829677,11.332525253295898,5.218629837036133,5.228792667388916
1785125640101814013,11.307821273803711,5.209130764007568,5.223650932312012
1785125640201824597,11.284226417541504,5.200036525726318,5.224391937255859
1785125640301782334,11.254859924316406,5.188831329345703,5.238486289978027
1785125640401798389,11.232884407043457,5.180227279663086,5.240688800811768
