bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785207799751830516,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207799852545693,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207799972552718,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800072633351,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800192605789,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800312605478,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800432550565,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800532636528,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800652581805,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
1785207800752669851,3.0,world,751675615,1785207799,4283982763,smooth,1.0,6.0,3.0,5.0,1
