bag_time_ns,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,is_finished,is_hover_stable,max_acceleration,max_jerk,max_velocity,motion_style,path_length,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,trajectory_duration,uav_id
1785207799832433603,nan,0.08040240406990051,7.85432243347168,world,832353483,1785207799,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207799932424329,nan,0.18041035532951355,7.839272499084473,world,932361731,1785207799,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800032389356,nan,0.28038498759269714,7.835170745849609,world,32334232,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800132396461,nan,0.3803871273994446,7.802612781524658,world,132336378,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800232391904,nan,0.4803884029388428,7.707381248474121,world,232337642,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800332423394,nan,0.5803853273391724,7.5929274559021,world,332334607,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800432390744,nan,0.6803856492042542,7.460203170776367,world,432335040,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800532387780,nan,0.7803915739059448,7.299661159515381,world,532341053,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800632383143,nan,0.8803901672363281,7.087130069732666,world,632339581,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800732392693,nan,0.9803985357284546,6.869328022003174,world,732347778,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800832421358,nan,1.0804060697555542,6.620582103729248,world,832361285,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207800932388758,nan,1.1803838014602661,6.378899097442627,world,932333614,1785207800,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801032393027,nan,1.280393123626709,6.103014945983887,world,32344215,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801132387276,nan,1.3803948163986206,5.838304042816162,world,132346860,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801232398366,nan,1.4803880453109741,5.5402350425720215,world,232338033,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801332400921,nan,1.5804075002670288,5.249067306518555,world,332358962,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801432494106,nan,1.6804969310760498,4.913779258728027,world,432446647,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801532403926,nan,1.780402421951294,4.594430923461914,world,532354804,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801632386533,nan,1.8803973197937012,4.238857269287109,world,632348902,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801732393626,nan,1.980400562286377,3.8953604698181152,world,732351878,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801832394527,nan,2.0803935527801514,3.5051772594451904,world,832343111,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207801932400729,nan,2.18039608001709,3.144097089767456,world,932345615,1785207801,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207802032400267,nan,2.2803962230682373,2.7567946910858154,world,32345484,1785207802,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207802132444769,nan,2.380420684814453,2.3912105560302734,world,132372042,1785207802,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
1785207802232446740,nan,2.4804091453552246,1.9818427562713623,world,232362262,1785207802,183.846435546875,False,False,5.053140163421631,17.50459098815918,4.923166275024414,smooth,7.877066135406494,3.0,1.0,0.22707851231098175,2.9662999510765076,-0.3591429591178894,6.0,3.0,5.0,3.0,1
