bag_time_ns,armed_time,arming_state,avoidance_system_required,avoidance_system_valid,calibration_enabled,can_set_nav_states_mask,component_id,executor_in_charge,failsafe,failsafe_and_user_took_over,failsafe_defer_state,failure_detector_status,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,hil_state,in_transition_mode,in_transition_to_fw,is_vtol,is_vtol_tailsitter,latest_arming_reason,latest_disarming_reason,nav_state,nav_state_timestamp,nav_state_user_intention,open_drone_id_system_healthy,open_drone_id_system_present,parachute_system_healthy,parachute_system_present,power_input_valid,pre_flight_checks_pass,rc_calibration_in_progress,safety_button_available,safety_off,system_id,system_type,takeoff_time,timestamp,usb_connected,valid_nav_states_mask,vehicle_type
1785139703975746656,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139703973085,False,2147411071,1
1785139704479900343,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139704477085,False,2147411071,1
1785139704987040612,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139704981116,False,2147411071,1
1785139705488785688,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139705485116,False,2147411071,1
1785139705992243911,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139705989130,False,2147411071,1
1785139706496113931,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139706493130,False,2147411071,1
1785139707000123816,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139706997143,False,2147411071,1
1785139707504327796,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139707501143,False,2147411071,1
1785139708008293837,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139708005156,False,2147411071,1
1785139708512340871,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139708509156,False,2147411071,1
1785139709016405227,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139709013169,False,2147411071,1
1785139709520542882,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139709517169,False,2147411071,1
1785139710024499734,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139710021183,False,2147411071,1
1785139710528559892,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139710525183,False,2147411071,1
1785139711032482510,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139711029197,False,2147411071,1
1785139711536535934,24100000,2,False,False,False,8307839,1,0,False,False,0,0,True,0,False,0,False,False,False,False,4,0,14,26212000,14,False,False,False,False,True,True,False,True,True,4,2,28072000,1785139711533197,False,2147411071,1
