bag_time_ns,actual_pos_x,actual_pos_y,actual_pos_z,actual_velocity_x,actual_velocity_y,actual_velocity_z,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,integrated_squared_jerk_valid,is_finished,is_hover_stable,ladrc_accel_feedforward_enabled,ladrc_acceleration_command_x,ladrc_acceleration_command_y,ladrc_acceleration_command_z,max_acceleration,max_acceleration_valid,max_jerk,max_jerk_valid,max_velocity,max_velocity_valid,mission_id,motion_style,path_length,reference_acceleration_x,reference_acceleration_y,reference_acceleration_z,reference_jerk_x,reference_jerk_y,reference_jerk_z,reference_pos_x,reference_pos_y,reference_pos_z,reference_velocity_x,reference_velocity_y,reference_velocity_z,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,tracking_error,trajectory_duration,trajectory_profile,uav_id
1785141782120919748,-0.00732952868565917,0.007771605160087347,-0.3103807866573334,-0.03177495673298836,0.004925886634737253,-0.16277848184108734,nan,-1.9135688543319702,8.017992973327637,world,120839296,1785141782,nan,False,False,False,False,0.05453188198442612,-0.02340545400873172,0.4454458767049654,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.005010500550270081,8.0,step,0
1785141782220892395,-0.00925393681973219,0.008405241183936596,-0.31846553087234497,-0.03219662979245186,0.00632223766297102,-0.16477341949939728,nan,-1.8135706186294556,8.024791717529297,world,220837381,1785141782,nan,False,False,False,False,0.1391012318300758,-0.04697691122695202,0.9062692651821219,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.013342589139938354,8.0,step,0
1785141782320896943,-0.008007201366126537,0.008421696722507477,-0.3167966604232788,-0.030675789341330528,0.0069972556084394455,-0.16372773051261902,nan,-1.7135604619979858,8.022751808166504,world,320850496,1785141782,nan,False,False,False,False,0.009963188755258937,-0.026027203717396127,0.16863496177071993,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.011460097506642342,8.0,step,0
1785141782420889439,-0.007900267839431763,0.008619003929197788,-0.3202384412288666,-0.030216174200177193,0.007452556863427162,-0.164707750082016,nan,-1.613569974899292,8.024953842163086,world,420837941,1785141782,nan,False,False,False,False,0.004990561696302359,-0.026561556650386932,0.6335718164401793,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.01485125906765461,8.0,step,0
1785141782520903785,-0.008623131550848484,0.008963926695287228,-0.32700833678245544,-0.0299239382147789,0.008572379127144814,-0.16606979072093964,nan,-1.5135539770126343,8.029984474182129,world,520858660,1785141782,nan,False,False,False,False,0.0683434231638826,-0.0423971225332829,1.1109834995354906,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.02166329324245453,8.0,step,0
1785141782620912972,-0.009785507805645466,0.009483582340180874,-0.33598560094833374,-0.030597619712352753,0.009634940885007381,-0.16846367716789246,nan,-1.4135594367980957,8.036812782287598,world,620850985,1785141782,nan,False,False,False,False,0.1277768410631571,-0.06194175457055659,1.549816956341842,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.030728593468666077,8.0,step,0
1785141782720888415,-0.007344766054302454,0.009273032657802105,-0.33448880910873413,-0.029598617926239967,0.00948978029191494,-0.16807742416858673,nan,-1.3135610818862915,8.0339937210083,world,720847077,1785141782,nan,False,False,False,False,-0.03846555629604678,-0.03648437856318984,0.8395789153351596,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.02902047708630562,8.0,step,0
1785141782820910837,-0.006292871665209532,0.00925307534635067,-0.33838289976119995,-0.02965378388762474,0.009392797015607357,-0.16940215229988098,nan,-1.2135552167892456,8.03579330444336,world,820855402,1785141782,nan,False,False,False,False,-0.05107130787724422,-0.03510301146278625,1.3861138131753623,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.032876402139663696,8.0,step,0
1785141782920898924,-0.006369296927005053,0.009514648467302322,-0.34536054730415344,-0.027985401451587677,0.011434858664870262,-0.17167282104492188,nan,-1.1135501861572266,8.040487289428711,world,920858307,1785141782,nan,False,False,False,False,0.01536852033443477,-0.05326636324064689,1.899035616148896,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.03985772654414177,8.0,step,0
1785141783020907820,-0.006990358233451843,0.010326696559786797,-0.35397014021873474,-0.02774115465581417,0.013575569726526737,-0.17390380799770355,nan,-1.013547420501709,8.04667854309082,world,20864168,1785141783,nan,False,False,False,False,0.06779103592388908,-0.08009339054201405,2.368521854853941,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.0485086515545845,8.0,step,0
1785141783120905595,-0.005212098825722933,0.013137495145201683,-0.35148656368255615,-0.02721966803073883,0.016260042786598206,-0.1732410490512848,nan,-0.9135488271713257,8.043703079223633,world,120861873,1785141783,nan,False,False,False,False,-0.046125149132426976,-0.21041422987342845,1.6252831558122631,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.04630163684487343,8.0,step,0
1785141783220922627,-0.004535387735813856,0.01606161892414093,-0.35447806119918823,-0.025424594059586525,0.018977200612425804,-0.173480823636055,nan,-0.8135442733764648,8.045193672180176,world,220864688,1785141783,nan,False,False,False,False,-0.0498505793526342,-0.27704447920557584,2.2004916689553373,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.049720294773578644,8.0,step,0
1785141783320935681,-0.004798512440174818,0.018815428018569946,-0.36100852489471436,-0.025337940081954002,0.01981014385819435,-0.1748153418302536,nan,-0.7135428786277771,8.04974365234375,world,320871370,1785141783,nan,False,False,False,False,0.0019116049631927694,-0.3296010678866741,2.7873700192091992,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.05664787068963051,8.0,step,0
1785141783420940049,-0.005716575775295496,0.021328354254364967,-0.3698571026325226,-0.025015510618686676,0.021568091586232185,-0.17719928920269012,nan,-0.6135414838790894,8.056329727172852,world,420870367,1785141783,nan,False,False,False,False,0.05309406074139322,-0.37128031821071694,3.346246788350422,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.06581370532512665,8.0,step,0
1785141783520923908,-0.005137844942510128,0.020843859761953354,-0.3671671748161316,-0.023700907826423645,0.022549118846654892,-0.17677032947540283,nan,-0.5135512351989746,8.054104804992676,world,520860168,1785141783,nan,False,False,False,False,-0.0052156962391502444,-0.26860761632663405,2.6100080193906945,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.06308811902999878,8.0,step,0
1785141783620928406,-0.005498340819031,0.021021289750933647,-0.3701220750808716,-0.024354392662644386,0.023344453424215317,-0.17749424278736115,nan,-0.41353917121887207,8.056343078613281,world,620873362,1785141783,nan,False,False,False,False,0.005771093210402556,-0.2690968242857877,3.254832497942719,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.06600920110940933,8.0,step,0
1785141783720990272,-0.006604642607271671,0.02174006588757038,-0.37625283002853394,-0.024707728996872902,0.024058425799012184,-0.1779448390007019,nan,-0.3135353624820709,8.061257362365723,world,720881276,1785141783,nan,False,False,False,False,0.06468130475876745,-0.33206413632053455,3.844564570146505,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.07215730100870132,8.0,step,0
1785141783820943193,-0.008198522962629795,0.022608689963817596,-0.38441914319992065,-0.02695474401116371,0.02472803369164467,-0.17991137504577637,nan,-0.21354272961616516,8.06789493560791,world,820876877,1785141783,nan,False,False,False,False,0.12033241616510262,-0.38795089664194504,4.431719626110892,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.08036236464977264,8.0,step,0
1785141783920923525,-0.007046943064779043,0.02044573985040188,-0.3797537684440613,-0.026103554293513298,0.023479854688048363,-0.1773868203163147,nan,-0.11354121565818787,8.063918113708496,world,920869142,1785141783,nan,False,False,False,False,0.009073056572243356,-0.25934181914740306,3.580369050746607,nan,False,nan,False,nan,False,402,normal,8.013836860656738,0.0,0.0,0.0,0.0,0.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,0.0,0.0,0.0,8.0,0.0,-0.006036158185452223,0.007243718020617962,-0.30556896328926086,6.0,0.0,5.0,0.07535715401172638,8.0,step,0
