batch_id,task_type,attempt_id,trial_id,stage_id,stage_start_time,assignment_complete_time,first_command_dispatch_time,last_command_dispatch_time,reference_start_time,all_references_finished_time,all_uavs_stable_time,stage_end_time,planning_time,dispatch_time,reference_execution_time,trajectory_finish_spread,stabilization_delay,stable_hold_time,stable_arrival_spread,stage_wall_time,slowest_uav_id,valid,invalid_reason
exp10-formal-v2-gated-20260803,task_d_dense,attempt_0001,1,1,13.258641930000522,13.330154416000369,13.330411196000568,13.33080041300127,13.412587454000459,23.43154115499965,25.0531606880013,25.05320402899997,0.07151248599984683,0.0006459970009018434,10.101129958999081,0.019275568998637027,1.621619533001649,1.0125558531253773,0.709278231001008,11.79456209899945,1,True,
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0002,1,1,13.423652385999958,13.492607657999542,13.49290666699926,13.49348043899954,13.573797996999929,23.593025078998835,24.79307630799849,24.793117574999997,0.06895527199958451,0.0008727809999982128,10.100118411999574,0.018696064998948714,1.200051228999655,1.0125732566252736,0.29575482299878786,11.369465189000039,1,True,
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0003,1,1,16.83914844100036,16.856645674999527,16.856897835999916,16.857538893998935,16.938481872999546,26.95720088300004,28.151736412999526,28.15178105599989,0.017497233999165474,0.0008932189994084183,10.100303047000125,0.01913871000033396,1.1945355299994844,1.017468412250082,0.27369336700030544,11.31263261499953,8,True,
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0004,1,1,20.535941494001236,20.570693437000955,20.570898840000154,20.571214751000298,20.656109855000977,30.671073127001364,nan,60.57158374200117,0.034751942999719176,0.000521313999342965,10.10017428700121,0.014565036000931286,nan,nan,nan,40.03564224799993,8,False,missing_required_timestamp
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0005,1,1,38.24800775600124,38.26377848300035,38.26400730000023,38.26436448700042,38.351929259000826,48.36422602899984,nan,78.26736700200127,0.015770726999107865,0.0005860040000698064,10.100218728999607,0.011845203998746001,nan,nan,nan,40.01935924600002,,False,missing_required_timestamp
exp10-formal-v2-gated-20260803,task_c_grouped,attempt_0006,2,1,16.09084113300014,16.1070056640001,16.10724477000076,16.107649276000302,16.19216517700079,26.202387915000145,27.371726948000287,27.371760541000185,0.016164530999958515,0.000643612000203575,10.095143144999383,0.010682030999305425,1.169339033000142,1.0175162361249477,0.2516320529994118,11.280919408000045,8,True,
exp10-formal-v2-gated-20260803,task_a_simple,attempt_0007,2,1,13.064415873001053,13.09892709900123,13.099156287000369,13.099535665000076,13.180984604001424,23.18861640200157,24.386628157000814,24.386662712000543,0.034511226000176976,0.0006085659988457337,10.089460115001202,0.007324179001443554,1.1980117549992428,1.0151685028756674,0.2856199199995899,11.32224683899949,1,True,
exp10-formal-v2-gated-20260803,task_b_sequential,attempt_0008,2,1,25.80231354499847,25.836309515998437,25.836522884999795,25.836971582999468,25.91930863699963,35.93724453899995,nan,65.83723794699836,0.03399597099996754,0.000662067001030664,10.100721654000154,0.018118057001629495,nan,nan,nan,40.03492440199989,6,False,missing_required_timestamp
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0009,2,1,64.71159656500095,64.72788467800092,64.72810321799989,64.72863865100044,64.8169446360007,74.82777156200063,92.83868913100014,92.83872475799944,0.016288112999973237,0.0007539729995187372,10.099668344000747,0.010258850001264364,18.010917568999503,1.012610723750413,17.08151797100072,28.127128192998498,8,False,conflicting_stable_confirmed
exp10-formal-v2-gated-20260803,task_e_mixed,attempt_0009,2,2,92.83873792300074,92.85543695100023,92.85558606999984,92.85591089899935,92.93686752199937,102.94756635700105,108.24676755200016,108.24680425100087,0.01669902799949341,0.0004739479991258122,10.091980287001206,0.01036479499998677,5.299201194999114,1.0101489711250906,3.0887189309996756,15.408066328000132,7,True,
