batch_id,task_type,attempt_id,trial_id,stage_count,execution_success,all_stages_valid,main_analysis_eligible,failure_reason,mission_wall_time,planning_time,dispatch_time,stage_wall_time,reference_execution_time,stabilization_delay,stable_hold_time,trajectory_finish_spread,stable_arrival_spread
exp10-paper-v1-20260804,task_d_dense,attempt_0001,1,1,True,True,True,,12.066443310999603,0.03668026900049881,0.000878320999618154,12.066443310999603,10.093883780002216,1.9355556279988377,1.01990812574968,0.008783617002336541,1.001436892998754
exp10-paper-v1-20260804,task_a_simple,attempt_0002,1,1,True,True,True,,11.747751761999098,0.06912270699831424,0.0007355380002991296,11.747751761999098,10.098285799002042,1.580067336999491,1.0175556903755023,0.016865748999407515,0.6542510520012002
exp10-paper-v1-20260804,task_c_grouped,attempt_0003,1,1,True,True,True,,11.826031299002352,0.01635344399983296,0.0006463509998866357,11.826031299002352,10.099631795001187,1.7097718499971961,1.015259490374774,0.018168647002312355,0.8066599699996004
exp10-paper-v1-20260804,task_b_sequential,attempt_0004,1,2,True,True,True,,22.777684811000654,0.0668999849985994,0.0010483149999345187,22.777684811000654,18.194933914001012,4.515436558998772,2.0201887964999514,0.013819626001350116,1.4015201830006845
exp10-paper-v1-20260804,task_e_mixed,attempt_0005,1,3,True,True,True,,35.724242343003425,0.0636145580028824,0.0015168219979386777,35.724242343003425,30.293168633004825,5.366883592992963,3.0182250498751273,0.01675289200284169,0.743150844999036
exp10-paper-v1-20260804,task_c_grouped,attempt_0006,2,1,True,True,True,,11.808827716999076,0.017892728999868268,0.0005739979969803244,11.808827716999076,10.098831454997708,1.691865456999949,1.0052388303752195,0.01770790799855604,0.7894648279980174
exp10-paper-v1-20260804,task_a_simple,attempt_0007,2,1,True,True,True,,11.728093838999484,0.12894323699947563,0.000718711999070365,11.728093838999484,10.098911362001672,1.49990847799927,1.0051349397504055,0.017536931001814082,0.5922193990008964
exp10-paper-v1-20260804,task_b_sequential,attempt_0008,2,2,True,True,True,,22.670578796998598,0.09947643900159164,0.0014051739999558777,22.670578796998598,18.194111157001316,4.37649881499965,2.0104901627510117,0.011541518000740325,1.3193599820006057
exp10-paper-v1-20260804,task_e_mixed,attempt_0009,2,3,True,True,True,,36.33273359699888,0.06804411499979324,0.001844112000981113,36.33273359699888,30.297189854001772,5.96681360599905,3.0003020037511305,0.01805307399990852,0.7362305450005806
exp10-paper-v1-20260804,task_d_dense,attempt_0010,2,1,True,True,True,,12.034692613000516,0.06475096299982397,0.0005741620007029269,12.034692613000516,10.096900003998599,1.8727965640027833,1.0001446871251574,0.015325647997087799,0.9626378360007948
exp10-paper-v1-20260804,task_e_mixed,attempt_0011,3,3,True,True,True,,36.15988398400441,0.06617860900223604,0.0018119740016118158,36.15988398400441,30.293881487999897,5.799090954998974,3.017815253124354,0.01610706800056505,0.8065894070023205
exp10-paper-v1-20260804,task_a_simple,attempt_0012,3,1,True,True,True,,11.684819460999279,0.06490207200113218,0.0005883989979338367,11.684819460999279,10.099629239000933,1.5200125000010303,1.00264599712591,0.017306606001511682,0.6171623469999759
