task_type,metric,count,mean,std,median,iqr,min,max,p90,p95,coefficient_of_variation,attempt_count,execution_entry_count,execution_success_count,main_analysis_count
task_a_simple,planning_time,10,0.09076449920030427,0.02912426739674347,0.08160427099937806,0.05572700500033534,0.06294398500176612,0.12937618399882922,0.128986531699411,0.1291813578491201,0.32087729953172967,10,10,10,10
task_a_simple,reference_execution_time,10,10.097441638101008,0.0032560759367601688,10.098102054000265,0.002591625000604836,10.09032528300304,10.10102256600294,10.100623951500893,10.100823258751916,0.00032246543762866727,10,10,10,10
task_a_simple,stabilization_delay,10,1.5292703254996014,0.04180539082954018,1.5181506990011258,0.05538507150049554,1.4592929919999733,1.594525831998908,1.5815131864994327,1.5880195092491705,0.02733682209905084,10,10,10,10
task_a_simple,stage_wall_time,10,11.717756061900218,0.052061711575839734,11.714937310998721,0.06404531599855545,11.650359029001265,11.817966462000186,11.77968893820107,11.798827700100627,0.004442976223503761,10,10,10,10
task_a_simple,mission_wall_time,10,11.717756061900218,0.052061711575839734,11.714937310998721,0.06404531599855545,11.650359029001265,11.817966462000186,11.77968893820107,11.798827700100627,0.004442976223503761,10,10,10,10
task_a_simple,trajectory_finish_spread,10,0.01483085510080855,0.002945881385520078,0.0152257544996246,0.003965315500863653,0.009872186001302907,0.018657094002264785,0.01764894730185915,0.018153020652061966,0.19863193089651818,10,10,10,10
task_a_simple,stable_arrival_spread,10,0.6120673199999146,0.03303330302312685,0.6097331769997254,0.036094942999625346,0.5535932950006099,0.6652451189984276,0.6553504587009229,0.6602977888496753,0.05397004862656522,10,10,10,10
task_a_simple,tracking_rmse,10,0.5813054212438589,0.014101812113912326,0.5724363915998371,0.019508549624203453,0.5696745405756213,0.6105802731971985,0.5957596864488194,0.6031699798230089,0.02425886908767807,10,10,10,10
task_a_simple,minimum_inter_agent_distance,10,2.4017806651020233,0.12089481733891494,2.4653160914938033,0.23196986002216402,2.242093697249261,2.5268294435122356,2.5067899947672037,2.5168097191397196,0.05033549445023097,10,10,10,10
task_a_simple,mean_rtf,10,0.9976133181652829,0.004926196080480018,0.9971248822850789,0.0027218038639947872,0.9935838612544592,1.0108693091243917,0.9993803290644829,1.0051248190944373,0.0049379814711574,10,10,10,10
task_b_sequential,planning_time,10,0.0889845146008156,0.020580718513181235,0.0971687520013802,0.032926788501754345,0.06641841000237036,0.12586895899949013,0.10380454729966003,0.11483675314957506,0.23128427013965638,10,10,10,10
task_b_sequential,reference_execution_time,10,18.195050967100904,0.0027681592853325064,18.19430116950207,0.0032150487477338174,18.192405878999125,18.20158378099586,18.197401103903758,18.19949244244981,0.00015213803414663196,10,10,10,10
task_b_sequential,stabilization_delay,10,4.515501940799004,0.24365403341340308,4.4673609735000355,0.13134881625046546,4.335937512998498,5.174030996000511,4.612344896600189,4.893187946300349,0.05395945713408093,10,10,10,10
task_b_sequential,stage_wall_time,10,22.80001615440051,0.23377855952500443,22.745502935500554,0.11941574049978954,22.64609687600023,23.44259648100342,22.873220223600583,23.157908352302,0.010253438328370836,10,10,10,10
task_b_sequential,mission_wall_time,10,22.80001615440051,0.23377855952500443,22.745502935500554,0.11941574049978954,22.64609687600023,23.44259648100342,22.873220223600583,23.157908352302,0.010253438328370836,10,10,10,10
task_b_sequential,trajectory_finish_spread,10,0.023847671200928743,0.026508438865351536,0.01656561650088406,0.003961389749747468,0.011541518000740325,0.09898689700276009,0.026276352402055607,0.06263162470240777,1.111573479942946,10,10,10,10
task_b_sequential,stable_arrival_spread,10,1.4001021039999615,0.20375076609783066,1.3504492270003539,0.11777570300091611,1.2657044059997133,1.9544787259983423,1.479485248998753,1.7169819874985472,0.1455256481050444,10,10,10,10
task_b_sequential,tracking_rmse,10,0.9900557542282401,0.007173899270856162,0.9881510995142179,0.008337859320166952,0.9770987981467218,1.0008171669003398,0.9996073685252068,1.0002122677127734,0.007245954826501967,10,10,10,10
task_b_sequential,minimum_inter_agent_distance,10,1.9160881175239992,0.19157002387603628,1.9263460040193499,0.35194549987150237,1.6944879123974674,2.1266183555685116,2.103806803822594,2.1152125796955525,0.09997975673665063,10,10,10,10
task_b_sequential,mean_rtf,10,0.9970467493606627,0.0006931494116117551,0.9972747649713753,0.0008524268472367424,0.9958098360620944,0.9978595746367765,0.9976785036037614,0.9977690391202689,0.000695202518895151,10,10,10,10
task_c_grouped,planning_time,10,0.017081303699524143,0.0008852310596299382,0.017133236999143264,0.0014975554977354477,0.015986562000762206,0.018526040999859106,0.018023607898066986,0.018274824448963046,0.051824560654266646,10,10,10,10
task_c_grouped,reference_execution_time,10,10.099236821800151,0.0014971273509971075,10.099692958499872,0.0011283947533229366,10.09562471100071,10.100948813000286,10.100514880700938,10.100731846850612,0.00014824163225536185,10,10,10,10
task_c_grouped,stabilization_delay,10,1.716443709199666,0.024909555337135975,1.7180249969987926,0.01696218075176148,1.6729887900000904,1.7600394930013863,1.748139909001111,1.7540897010012486,0.014512305415917581,10,10,10,10
task_c_grouped,stage_wall_time,10,11.833014464600273,0.024146017792490614,11.835870224500468,0.017049596750439378,11.790230995000456,11.876478525999119,11.860450233401206,11.868464379700162,0.0020405635322027203,10,10,10,10
task_c_grouped,mission_wall_time,10,11.833014464600273,0.024146017792490614,11.835870224500468,0.017049596750439378,11.790230995000456,11.876478525999119,11.860450233401206,11.868464379700162,0.0020405635322027203,10,10,10,10
task_c_grouped,trajectory_finish_spread,10,0.01784536230043159,0.0011935076116829934,0.017938277500434197,0.001675941000939929,0.016074028997536516,0.019367576998774894,0.019286156700763966,0.01932686684976943,0.06688054809927442,10,10,10,10
task_c_grouped,stable_arrival_spread,10,0.8010412781000923,0.020966327732445438,0.8020814000010432,0.030900439752258535,0.7695187470017117,0.8369190980010899,0.822773008699005,0.8298460533500475,0.02617384185515798,10,10,10,10
task_c_grouped,tracking_rmse,10,0.5841061586308036,0.0016511316666018134,0.5839041970730174,0.002322591898255011,0.5816467690581412,0.5867725192256125,0.586238050182387,0.5865052847039998,0.0028267664057372924,10,10,10,10
task_c_grouped,minimum_inter_agent_distance,10,2.1160425310216127,0.017982138310705897,2.1125991325083286,0.01441346534762733,2.092625796833514,2.15322192492812,2.136901092431783,2.1450615086799516,0.008498004197497971,10,10,10,10
task_c_grouped,mean_rtf,10,0.9965003873803351,0.0008002124065705907,0.9964399899779623,0.0005873240724130202,0.9951781542757687,0.9978589380638735,0.9977040016726797,0.9977814698682765,0.0008030226748573987,10,10,10,10
