experiment_id,batch_id,task_type,trial_id,minimum_inter_agent_distance,collision_count,violation_count,violation_duration,near_miss_duration,iapf_activation_count,iapf_active_duration,hysteresis_switching_count,mean_closing_speed_at_activation,maximum_active_neighbor_count,position_saturation_ratio,acceleration_saturation_ratio,stale_neighbor_ratio,safety_success
experiments_10,exp10-paper-v1-20260804,task_d_dense,1,1.3340877970313576,0,0,0,2.3000000000000007,3,9.41967535799995,6,0.2841414089004199,2.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_a_simple,1,2.499028593422147,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,1,2.107139143915233,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,1,1.734489796877357,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_e_mixed,1,1.8749488541154706,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,2,2.0958609475594137,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_a_simple,2,2.2700982022321745,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,2,2.081257543677641,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_e_mixed,2,1.8626731201549738,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_d_dense,2,1.3342582126911475,0,0,0,2.1999999999999957,2,7.260948024999379,4,0.42219237983226776,1.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_e_mixed,3,1.8821729182375417,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_a_simple,3,2.5045633893510892,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,3,2.15322192492812,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_d_dense,3,1.3049747203183168,0,0,0,2.6999999999999993,7,20.899692160000996,14,0.29194570066673414,2.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,3,1.7337863503045652,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_d_dense,4,1.3076338582164102,0,0,0,3.1000000000000014,7,22.879309249008656,14,0.26779146239693674,1.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_e_mixed,4,1.8573489910552694,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,4,2.083402491965507,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,4,2.113686059806892,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_a_simple,4,2.242093697249261,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_a_simple,5,2.455966332305595,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,5,1.6944879123974674,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,5,2.092625796833514,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_e_mixed,5,1.8623025784207836,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_d_dense,5,1.110171619917209,0,0,0,5.099999999999994,5,15.999092128000484,12,0.562102296948433,1.0,0.0,0.0005966587112171838,0.0,True
experiments_10,exp10-paper-v1-20260804,task_c_grouped,6,2.1350876665988565,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_b_sequential,6,2.090495242819631,0,0,0,0,0,0.0,0,nan,0.0,0.0,0.0,0.0,True
experiments_10,exp10-paper-v1-20260804,task_d_dense,6,1.3278701678337963,0,0,0,2.099999999999998,2,8.779967666996527,4,0.4202744662761688,1.0,0.0,0.0,0.0,True
