bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785125208043694076,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208142479170,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208242389266,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208342379028,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208442314721,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208542489185,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208593257863,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208593840680,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208594103476,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
1785125208594951695,8.0,world,43381197,1785125210,3,normal,0.0,14.0,9.0,5.0,3
