bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785140648858654331,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140648958709451,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649058759582,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649158877440,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649258998014,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649359125531,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649459257036,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649559376828,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649659477134,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
1785140649759625921,12.0,world,858390703,1785140650,4,normal,0.0,10.0,7.5,5.0,1
