bag_time_ns,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,is_finished,is_hover_stable,max_acceleration,max_jerk,max_velocity,motion_style,path_length,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,trajectory_duration,uav_id
1785206795270445930,nan,0.08682426065206528,7.789731979370117,world,270370494,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795370476096,nan,0.1868111789226532,7.7968316078186035,world,370357667,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795470408162,nan,0.28681880235671997,7.79688835144043,world,470364848,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795570414121,nan,0.38682639598846436,7.739027976989746,world,570372690,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795670439166,nan,0.48682767152786255,7.624739646911621,world,670373680,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795770465004,nan,0.5868399143218994,7.513449668884277,world,770385851,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795870461384,nan,0.6868621706962585,7.357865333557129,world,870408482,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206795970451252,nan,0.7868399620056152,7.167160511016846,world,970384082,1785206795,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796070448746,nan,0.8868495225906372,6.931437015533447,world,70395533,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796170500210,nan,0.9868907332420349,6.6991777420043945,world,170437348,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796270492139,nan,1.0868699550628662,6.4375715255737305,world,270425971,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796370467146,nan,1.186862587928772,6.185092449188232,world,370406639,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796470496257,nan,1.2868820428848267,5.9030537605285645,world,470428155,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796570542281,nan,1.3869112730026245,5.635403633117676,world,570457607,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796670500455,nan,1.486901879310608,5.335464954376221,world,670449145,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796770501341,nan,1.5869008302688599,5.041573524475098,world,770446655,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796870481578,nan,1.686894416809082,4.710596561431885,world,870438294,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206796970508354,nan,1.7869057655334473,4.397294044494629,world,970451845,1785206796,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797070522147,nan,1.8869162797927856,4.0485520362854,world,70462723,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797170528452,nan,1.9869418144226074,3.712287187576294,world,170488364,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797270544064,nan,2.086946964263916,3.338759660720825,world,270493336,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797370559897,nan,2.1869547367095947,2.9918198585510254,world,370501174,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797470548949,nan,2.286959409713745,2.615410566329956,world,470505575,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797570481711,nan,2.386897325515747,2.2596137523651123,world,570442114,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797670493787,nan,2.486901044845581,1.8774985074996948,world,670446696,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797770576599,nan,2.5869622230529785,1.541342854499817,world,770508357,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797870537937,nan,2.686955690383911,1.2044132947921753,world,870500033,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206797970566765,nan,2.786972999572754,0.9065333604812622,world,970517369,1785206797,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798070572550,nan,2.886967420578003,0.6340411901473999,world,70511822,1785206798,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798170577699,nan,2.9869720935821533,0.45747822523117065,world,170516531,1785206798,179.80421447753906,False,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798270585785,nan,3.0869839191436768,0.3423289954662323,world,270530298,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798370574523,nan,3.1869900226593018,0.24350592494010925,world,370535628,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798470580815,nan,3.286994695663452,0.15668985247612,world,470539184,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798570598158,nan,3.3870108127593994,0.13830812275409698,world,570555496,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798670596615,nan,3.487006187438965,0.14512783288955688,world,670552260,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798770642133,nan,3.5870203971862793,0.11017753183841705,world,770564613,1785206798,179.80421447753906,True,False,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798870621293,0.6670224070549011,3.687021017074585,0.09772494435310364,world,870567288,1785206798,179.80421447753906,True,True,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206798970629699,0.6670224070549011,3.787031412124634,0.08975183218717575,world,970578199,1785206798,179.80421447753906,True,True,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206799070639529,0.6670224070549011,3.8870394229888916,0.10026649385690689,world,70583581,1785206799,179.80421447753906,True,True,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
1785206799170629647,0.6670224070549011,3.987039089202881,0.13890589773654938,world,170585582,1785206799,179.80421447753906,True,True,4.997280120849609,17.311086654663086,4.868742942810059,normal,7.7899885177612305,3.0,1.0,0.19826945662498474,3.1317003071308136,-0.19677788019180298,6.0,3.0,5.0,3.0,1
