bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785142328137779224,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328237899067,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328338018791,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328438206604,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328538303383,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328638423307,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328738549159,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328838675221,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142328938808895,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
1785142329038957876,8.0,world,137499794,1785142330,2,normal,0.0,11.23606798,5.19577393,5.0,1
