timestamp,experiment_id,scenario,method,trial,seed,phase,family,mission_id,uav_id,avoidance_mode,has_nearest_neighbor,nearest_neighbor_id,nearest_neighbor_distance,nearest_neighbor_closing_speed,iapf_active,hysteresis_active,active_neighbor_count,raw_repulsion_x,raw_repulsion_y,raw_repulsion_z,position_offset_x,position_offset_y,position_offset_z,acceleration_offset_x,acceleration_offset_y,acceleration_offset_z,position_saturated,acceleration_saturated,valid_neighbor_count,stale_neighbor_count,nominal_ref_x,nominal_ref_y,nominal_ref_z,modulated_ref_x,modulated_ref_y,modulated_ref_z,nominal_acceleration_x,nominal_acceleration_y,nominal_acceleration_z,modulated_acceleration_x,modulated_acceleration_y,modulated_acceleration_z
1785407176.9041095,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,1,off,True,2,6.029272556304932,-0.006740525830537081,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,0.29106348253203895,-3.2423534450982068,3.1814084049231894,0.29106348253203895,-3.2423534450982068,3.1814084049231894,-0.0013246362853759433,-0.0015285742495788938,-0.00010092135610676436,-0.0013246362853759433,-0.0015285742495788938,-0.00010092135610676436
1785407176.9042087,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,2,off,True,3,2.881006956100464,-0.002479610498994589,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,3.008944978106413,2.139510624204944,3.205338239218827,3.008944978106413,2.139510624204944,3.205338239218827,-0.0026086660263717927,-0.001891720860878701,-0.00011596996524188047,-0.0026086660263717927,-0.001891720860878701,-0.00011596996524188047
1785407176.9045656,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,900012,3,off,True,2,2.881006956100464,-0.002479610498994589,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,4.625419150885104,4.493554684497612,2.995366001807003,4.625419150885104,4.493554684497612,2.995366001807003,-2.7755575615628914e-17,-1.1102230246251565e-16,-3.552713678800501e-15,-2.7755575615628914e-17,-1.1102230246251565e-16,-3.552713678800501e-15
1785407176.9047992,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,900012,4,off,True,2,5.8862833976745605,0.010301242582499981,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-2.840252600452109,1.968175182948821,3.0181726238886597,-2.840252600452109,1.968175182948821,3.0181726238886597,1.3877787807814457e-17,-1.1102230246251565e-16,3.552713678800501e-15,1.3877787807814457e-17,-1.1102230246251565e-16,3.552713678800501e-15
1785407176.9241302,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,1,off,True,2,6.029451847076416,-0.007374865002930164,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,0.29106278547426134,-3.2423542494734017,3.1814083518157688,0.29106278547426134,-3.2423542494734017,3.1814083518157688,-0.006842896220473428,-0.007896412827154147,-0.0005213464057207478,-0.006842896220473428,-0.007896412827154147,-0.0005213464057207478
1785407176.9242253,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,2,off,True,3,2.8810925483703613,-0.0023451228626072407,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,3.0089436146092323,2.139509635440559,3.2053381786036628,3.0089436146092323,2.139509635440559,3.2053381786036628,-0.013312065552438952,-0.009653482604654592,-0.0005917966362145409,-0.013312065552438952,-0.009653482604654592,-0.0005917966362145409
1785407176.9245868,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,900012,3,off,True,2,2.8810925483703613,-0.0023451228626072407,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,4.625419150885104,4.493554684497612,2.995366001807003,4.625419150885104,4.493554684497612,2.995366001807003,-2.7755575615628914e-17,-1.1102230246251565e-16,-3.552713678800501e-15,-2.7755575615628914e-17,-1.1102230246251565e-16,-3.552713678800501e-15
1785407176.9248164,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,900012,4,off,True,2,5.886210918426514,0.010609610006213188,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-2.840252600452109,1.968175182948821,3.0181726238886597,-2.840252600452109,1.968175182948821,3.0181726238886597,1.3877787807814457e-17,-1.1102230246251565e-16,3.552713678800501e-15,1.3877787807814457e-17,-1.1102230246251565e-16,3.552713678800501e-15
1785407176.94414,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,1,off,True,2,6.029638767242432,-0.007862410508096218,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,0.29105935280400486,-3.242358210629697,3.1814080902875737,0.29105935280400486,-3.242358210629697,3.1814080902875737,-0.01227989477208003,-0.014170479205023978,-0.0009355803150862333,-0.01227989477208003,-0.014170479205023978,-0.0009355803150862333
1785407176.9442437,s3_staggered_dynamic_crossing-P-t01-930815901d,s3_staggered_dynamic_crossing,P,1,9001,pilot,s3,135630877,2,off,True,3,2.8812267780303955,-0.002575861057266593,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,3.0089369330443665,2.1395047901842044,3.2053378815702986,3.0089369330443665,2.1395047901842044,3.2053378815702986,-0.02385487016213214,-0.017298786070373995,-0.0010604839544752656,-0.02385487016213214,-0.017298786070373995,-0.0010604839544752656
