bag_time_ns,arrival_time_error,elapsed_time,final_position_error,header_frame_id,header_stamp_nanosec,header_stamp_sec,integrated_squared_jerk,is_finished,is_hover_stable,max_acceleration,max_jerk,max_velocity,motion_style,path_length,requested_duration,safety_factor,start_pos_x,start_pos_y,start_pos_z,target_pos_x,target_pos_y,target_pos_z,trajectory_duration,uav_id
1785207308724304012,nan,0.09230708330869675,7.889204978942871,world,724244580,1785207308,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207308824277417,nan,0.19231191277503967,7.872791290283203,world,824247230,1785207308,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207308924286660,nan,0.29231342673301697,7.868847370147705,world,924248789,1785207308,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309024290472,nan,0.3923155665397644,7.8386921882629395,world,24251027,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309124344926,nan,0.4923332929611206,7.751140117645264,world,124270795,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309224290373,nan,0.5923113822937012,7.616425037384033,world,224247231,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309324315662,nan,0.6923039555549622,7.448235034942627,world,324239087,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309424303880,nan,0.7923083901405334,7.27030086517334,world,424243827,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309524328878,nan,0.8923380374908447,7.069293975830078,world,524275287,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309624320483,nan,0.9923204183578491,6.838451385498047,world,624257704,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
1785207309724319622,nan,1.0923233032226562,6.594756126403809,world,724260480,1785207309,185.46661376953125,False,False,5.075357437133789,17.581554412841797,4.944811820983887,aggressive,7.911699295043945,3.0,1.0,0.20762407779693604,2.9529239907860756,-0.38898390531539917,6.0,3.0,5.0,3.0,1
