family,endpoint,contrast,complete_blocks_N,scenario_stratum_counts,mean_block_contrast,median_block_contrast,sd_block_contrast,d_z,ci_low,ci_high,bootstrap_resamples,bootstrap_seed_uint64,availability_note
A,controller_near_limit_fraction,Delta_F,23,E3-A-01:14;E3-A-02:9,-0.00079827200558517028,0.0040625000000000001,0.025828037848826764,-0.030907187385178458,-0.010720383300481201,0.008198059428166345,10000,14016652549982263211,
A,controller_near_limit_fraction,Delta_PF,23,E3-A-01:14;E3-A-02:9,0.0015965440111703406,-0.0081250000000000003,0.051656075697653528,0.030907187385178458,-0.016050807146936682,0.021443761814744798,10000,6420597274970532580,
A,feedback_intervention_burden,Delta_P,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
A,feedback_intervention_burden,Delta_F,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
A,feedback_intervention_burden,Delta_PF,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
B,j_hard_pair_s,Delta_P,26,E3-B-01:14;E3-B-02:12,-0.044430929880875811,-0.012304484844207764,0.53441901037693784,-0.083138752585799044,-0.24806983356292431,0.15262187891281562,10000,12299544366344627935,
B,j_hard_pair_s,Delta_F,26,E3-B-01:14;E3-B-02:12,-1.2274958766423738,-1.1079777479171753,0.94266339657154541,-1.3021571444343341,-1.3889551714062691,-1.056209105023971,10000,2037804662643476154,
B,j_hard_pair_s,Delta_PF,26,E3-B-01:14;E3-B-02:12,0.25721921370579648,-0.0026062726974487305,1.0860697656684282,0.23683489020384374,-0.12947716483703026,0.67648762166500087,10000,3305274420036903094,
B,realized_min_separation_m,Delta_P,26,E3-B-01:14;E3-B-02:12,0.0099221479557260548,-0.0028424942861363101,0.057297657923742841,0.17316847346415784,-0.0077498350288656044,0.03375857133000245,10000,6504223363745456182,
B,realized_min_separation_m,Delta_F,26,E3-B-01:14;E3-B-02:12,0.049210307993208038,0.030854985254145262,0.066021518795540704,0.7453677057264525,0.024951875736957681,0.065647790266449235,10000,16512521393999116938,
B,realized_min_separation_m,Delta_PF,26,E3-B-01:14;E3-B-02:12,-0.035961684280697064,-0.0055976484345805488,0.13053034246709547,-0.27550440457752118,-0.089787515155656264,0.0039387453414061555,10000,4992960921158759262,
B,hard_risk_event_count,Delta_P,26,E3-B-01:14;E3-B-02:12,-0.15384615384615385,0,1.2943664919120146,-0.11885826372011155,-0.65384615384615385,0.32692307692307693,10000,13280873242990070181,
B,hard_risk_event_count,Delta_F,26,E3-B-01:14;E3-B-02:12,-0.76923076923076927,0,1.8880189047293421,-0.4074274718880756,-1.3846153846153846,-0.076923076923076927,10000,5939519058496346866,
B,hard_risk_event_count,Delta_PF,26,E3-B-01:14;E3-B-02:12,1.6153846153846154,0.5,3.1378581622109447,0.51480485473773308,0.61538461538461542,2.7307692307692308,10000,17338111972029458025,
B,predicted_min_separation_m,Delta_P,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,11925713986520809116,
B,predicted_min_separation_m,Delta_F,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,2806884741281987180,
B,predicted_min_separation_m,Delta_PF,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,15950180071429256470,
B,predicted_hard_conflict_count,Delta_P,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,3596885357540638852,
B,predicted_hard_conflict_count,Delta_F,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,10723250518929096603,
B,predicted_hard_conflict_count,Delta_PF,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,16018070621130291662,
B,controller_near_limit_fraction,Delta_P,26,E3-B-01:14;E3-B-02:12,0,0,0,,0,0,10000,18184163478788973533,
