scenario_id,scenario_family,seed,P0_F0_attempt_status,P0_F0_actual_d_min,P0_F0_predicted_d_min,P0_F0_hard_risk_event_count,P0_F0_hard_risk_exposure_duration,P0_F0_any_pair_hard_risk_duration,P0_F0_mission_success,P0_F0_iapf_activation_time,P0_F0_integral_delta_p,P0_F0_integral_delta_a,P0_F0_trajectory_deviation_integral,P0_F0_trajectory_deviation_rms,P0_F1_attempt_status,P0_F1_actual_d_min,P0_F1_predicted_d_min,P0_F1_hard_risk_event_count,P0_F1_hard_risk_exposure_duration,P0_F1_any_pair_hard_risk_duration,P0_F1_mission_success,P0_F1_iapf_activation_time,P0_F1_integral_delta_p,P0_F1_integral_delta_a,P0_F1_trajectory_deviation_integral,P0_F1_trajectory_deviation_rms,P1_F0_attempt_status,P1_F0_actual_d_min,P1_F0_predicted_d_min,P1_F0_hard_risk_event_count,P1_F0_hard_risk_exposure_duration,P1_F0_any_pair_hard_risk_duration,P1_F0_mission_success,P1_F0_iapf_activation_time,P1_F0_integral_delta_p,P1_F0_integral_delta_a,P1_F0_trajectory_deviation_integral,P1_F0_trajectory_deviation_rms,P1_F1_attempt_status,P1_F1_actual_d_min,P1_F1_predicted_d_min,P1_F1_hard_risk_event_count,P1_F1_hard_risk_exposure_duration,P1_F1_any_pair_hard_risk_duration,P1_F1_mission_success,P1_F1_iapf_activation_time,P1_F1_integral_delta_p,P1_F1_integral_delta_a,P1_F1_trajectory_deviation_integral,P1_F1_trajectory_deviation_rms
E3-A-01,A_predictable_structural_risk,53101,success,0.10266820534981437,0.42748229992745784,2.0,1.1375880241394043,0.8056690692901611,1.0,0.0,0.0,0.0,0.0,0.0,success,0.11786332456495749,0.42748229992745784,2.0,1.160111904144287,0.8089947700500488,1.0,6.439634084701538,0.6393761251028651,2.901402457526784,0.6393750824278639,0.08076734685405894,success,1.9456250640139088,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9347712896986444,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53102,success,0.15181876465810315,0.42748229992745784,2.0,1.0624685287475586,0.714515209197998,1.0,0.0,0.0,0.0,0.0,0.0,success,0.05605020896259126,0.42748229992745784,2.0,1.1875269412994385,0.8551521301269531,1.0,6.519723892211914,0.697390695032588,3.071878689836194,0.6973909319724724,0.08685685123473717,success,1.9382335709635727,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9406138729668039,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53103,success,0.16643333132840693,0.42748229992745784,2.0,1.1072371006011963,0.7591559886932373,1.0,0.0,0.0,0.0,0.0,0.0,success,0.37976119121379315,0.42748229992745784,4.0,1.3152921199798584,0.9916622638702393,1.0,8.899598598480225,0.7538772491533655,3.3843212614102467,0.7538779732978086,0.09151747285809855,success,1.9615470645730901,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.95177329300549,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53104,success,0.19086657173010796,0.42748229992745784,2.0,1.0803978443145752,0.7308261394500732,1.0,0.0,0.0,0.0,0.0,0.0,success,0.11033002752884592,0.42748229992745784,2.0,1.174515962600708,0.8249175548553467,1.0,6.479860782623291,0.7264774409871255,3.2187682823211965,0.7264777644294607,0.09063822020911118,success,1.9571624713924023,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.948980227958199,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53105,success,0.5855079713696578,0.42748229992745784,2.0,1.0917162895202637,0.7534153461456299,1.0,0.0,0.0,0.0,0.0,0.0,success,0.13887947918101856,0.42748229992745784,2.0,1.1574020385742188,0.8162751197814941,1.0,6.479820489883423,0.6862510344204191,3.0578718550518937,0.6862512887010648,0.08611375906099712,success,1.9543700179635084,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9437844633229084,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53106,success,0.38270492143322077,0.42748229992745784,2.0,1.1045939922332764,0.7704710960388184,1.0,0.0,0.0,0.0,0.0,0.0,success,0.121747705563721,0.42748229992745784,2.0,1.0998425483703613,0.7641496658325195,1.0,6.339762926101685,0.6199500487712516,2.775722220611037,0.6199498371504164,0.07993681175921971,success,1.950399790819114,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9600128070408225,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53107,success,0.18145835724816264,0.42748229992745784,2.0,1.0066909790039062,0.6523263454437256,1.0,0.0,0.0,0.0,0.0,0.0,success,0.11389464844521896,0.42748229992745784,2.0,1.1534333229064941,0.8228321075439453,1.0,6.459967613220215,0.6717880148347943,3.0132540315874516,0.6717866322825949,0.08439701588703125,success,1.9449968497930932,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.947812841782175,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53108,success,0.15500808111544756,0.42748229992745784,2.0,1.0107743740081787,0.6685240268707275,1.0,0.0,0.0,0.0,0.0,0.0,success,0.6859812917418535,0.42748229992745784,2.0,1.0145964622497559,0.6699068546295166,1.0,6.159812927246094,0.5546511467670449,2.5596078100731474,0.5546507373310794,0.07598828538788324,success,1.954451052641651,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9454043953570976,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53109,success,0.10552579339009838,0.42748229992745784,2.0,1.0779852867126465,0.7376513481140137,1.0,0.0,0.0,0.0,0.0,0.0,success,0.16692069712434082,0.42748229992745784,2.0,1.1384594440460205,0.7915878295898438,1.0,6.439931631088257,0.6662292611159806,2.982105280507146,0.6662291649044854,0.08404760693538796,success,1.9562636751509346,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9556558979131393,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E3-A-01,A_predictable_structural_risk,53110,success,0.11211636933110072,0.42748229992745784,2.0,1.1424269676208496,0.8034458160400391,1.0,0.0,0.0,0.0,0.0,0.0,success,0.13370267671963643,0.42748229992745784,2.0,1.1517705917358398,0.8154187202453613,1.0,6.519760847091675,0.696598224379587,3.083141150185848,0.6965975950248605,0.08776393813603552,success,1.9577142285702187,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,success,1.9557067302617448,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
