global_position,trial_id,scenario_id,scenario_family,condition,planning,feedback,seed,attempt_status,scientific_complete,analysis_status,canonical_result_sha256,actual_d_min,predicted_d_min,hard_risk_event_count,hard_risk_exposure_duration,any_pair_hard_risk_duration,mission_success,iapf_activation_time,integral_delta_p,integral_delta_a,trajectory_deviation_integral,trajectory_deviation_rms
183,E3-A-01__P1_F0__S53110,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53110,success,1,COMPLETE,2e1389ffd1536fbf703ca865b4e091deb7a8b0497cf487dc99e76e9508976b5c,1.9577142285702187,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
384,E3-A-01__P1_F0__S53111,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53111,success,1,COMPLETE,c04ca07b84a9fbabe8e820d142049395740b3b815c3819918b42c9e21cb92bfd,1.9507225917162472,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
407,E3-A-01__P1_F0__S53112,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53112,success,1,COMPLETE,7231069325d41c39ebf42ce457c04653cf1e8fa107c6078f7acf5fc5b0675012,1.9527777510774869,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
324,E3-A-01__P1_F0__S53113,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53113,success,1,COMPLETE,8e4bab8bd332d4eb9aeb2e52617871d1f1553f1855960989bada07c13d24ee69,1.9602644697873965,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
560,E3-A-01__P1_F0__S53114,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53114,success,1,COMPLETE,590045b8ec23b0ad783194b2a18524f5ce9b2a6ca062b195afe2b1d3e37c8650,1.9607121256974147,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
354,E3-A-01__P1_F0__S53115,E3-A-01,A_predictable_structural_risk,P1_F0,P1,F0,53115,success,1,COMPLETE,d6913d50e31c817c45de2bbc7ae3813cca59e5132daec973181b57f26ad2c9d2,1.9567680003029062,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
181,E3-A-01__P1_F1__S53101,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53101,success,1,COMPLETE,a8f19be77ad27b00f03ae123da5d593464871e2f2ed4ab2676552399efd2036c,1.9347712896986444,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
320,E3-A-01__P1_F1__S53102,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53102,success,1,COMPLETE,7ca703e4b9c761b08f1f6bef2b5b43c1dd9ce5db746c189ef8385cfa060af5c2,1.9406138729668039,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
227,E3-A-01__P1_F1__S53103,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53103,success,1,COMPLETE,f2cfd681beb1145807eaee591e7ee7c4a3b5f863ad3f9b29db617341c6959f34,1.95177329300549,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
395,E3-A-01__P1_F1__S53104,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53104,success,1,COMPLETE,3836a45a143b0c5807d52d2bd7de986a5726b8aecbd4b7f4718613c86562c91f,1.948980227958199,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
244,E3-A-01__P1_F1__S53105,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53105,success,1,COMPLETE,044f2ab3f08dc8f51e38dbd134dc57ef5684d7c9459c966ea1621e19cca35d53,1.9437844633229084,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
194,E3-A-01__P1_F1__S53106,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53106,success,1,COMPLETE,67de6b954f596433acd64de00022df43920b9f738c4eddb53027e5c06ca334cd,1.9600128070408225,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
271,E3-A-01__P1_F1__S53107,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53107,success,1,COMPLETE,8221874abb5140629bae055293926503de869119dd2ea45320b6935a01d5cb76,1.947812841782175,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,E3-A-01__P1_F1__S53108,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53108,success,1,COMPLETE,4fd40bdb0360975af68b7b179f4ded799ccb68fea6452c1239be3a57232ade9a,1.9454043953570976,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,E3-A-01__P1_F1__S53109,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53109,success,1,COMPLETE,5127e025c8f6cd27592756051ee3e551d894297035b808ba6ac7c45c3c249d11,1.9556558979131393,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,E3-A-01__P1_F1__S53110,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53110,success,1,COMPLETE,e8df81320e6b9e4e42ada434af7dd43a5ced1a5528a77591c66ee14bddba0d0e,1.9557067302617448,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
575,E3-A-01__P1_F1__S53111,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53111,success,1,COMPLETE,f4ee8f31aaa895eb12bc7156d08ee7b08693833691626bb6c657cd0ae491e452,1.940589500536437,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
255,E3-A-01__P1_F1__S53112,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53112,success,1,COMPLETE,8f5c33c0c7644a5cba56a594e8587d5b35a328fb79c3d571964353934985be96,1.9440363122518491,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,E3-A-01__P1_F1__S53113,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53113,success,1,COMPLETE,0fc5901a25a86b489ed725d5c71adb62d5524b03c126cc57a624e4087069fad3,1.9487512404127278,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
476,E3-A-01__P1_F1__S53114,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53114,success,1,COMPLETE,7d14d271abafaa9f94d31fe6260774f9c81a1e20562dfc6851f189a94414306e,1.9588062751009843,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,E3-A-01__P1_F1__S53115,E3-A-01,A_predictable_structural_risk,P1_F1,P1,F1,53115,success,1,COMPLETE,223c941b1d54b9b7b384e488ce480d352156d91a07bf969560c646839b1171c0,1.9464660815669725,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
319,E3-A-02__P0_F0__S53101,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53101,success,1,COMPLETE,63286c89c752fb00d6e8a0b59687146e66595de330ed7f7c6ae039fd3227b949,0.03569448496274956,0.0,2.0,7.874145269393921,7.184103965759277,1.0,0.0,0.0,0.0,0.0,0.0
594,E3-A-02__P0_F0__S53102,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53102,success,1,COMPLETE,88aeae035c476933828f1a1d9d2e621fb067f2c11d7433468e8ba7aa191c3736,0.09038460513695458,0.0,2.0,2.8940672874450684,2.191767692565918,1.0,0.0,0.0,0.0,0.0,0.0
550,E3-A-02__P0_F0__S53103,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53103,success,1,COMPLETE,d7b8357384f01872a6412d93dc530a55fd9c885a246f5936640cb04ace2261d3,0.008585773267756313,0.0,2.0,1.8868656158447266,1.1853883266448975,1.0,0.0,0.0,0.0,0.0,0.0
184,E3-A-02__P0_F0__S53104,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53104,success,1,COMPLETE,2b16cb6f15175c12f454eb15b1dababf837b0d195ecf343f944522114e731878,0.06055541068435112,0.0,2.0,1.7449088096618652,0.9607815742492676,1.0,0.0,0.0,0.0,0.0,0.0
381,E3-A-02__P0_F0__S53105,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53105,success,1,COMPLETE,51683b08ca25dce6de755ae5dfc1a6d108a3e856eabde863e6634c9df85734f5,0.11769697411399864,0.0,2.0,1.8790497779846191,1.1534080505371094,1.0,0.0,0.0,0.0,0.0,0.0
380,E3-A-02__P0_F0__S53106,E3-A-02,A_predictable_structural_risk,P0_F0,P0,F0,53106,success,1,COMPLETE,1b93fa66bebf2e316332ab8315d535b41a157f141ab6a627bff7904707bca75e,0.03982160616349296,0.0,2.0,2.099637031555176,1.329460859298706,1.0,0.0,0.0,0.0,0.0,0.0
