timestamp,experiment_id,scenario,method,trial,seed,phase,family,mission_id,uav_id,avoidance_mode,has_nearest_neighbor,nearest_neighbor_id,nearest_neighbor_distance,nearest_neighbor_closing_speed,iapf_active,hysteresis_active,active_neighbor_count,raw_repulsion_x,raw_repulsion_y,raw_repulsion_z,position_offset_x,position_offset_y,position_offset_z,acceleration_offset_x,acceleration_offset_y,acceleration_offset_z,position_saturated,acceleration_saturated,valid_neighbor_count,stale_neighbor_count,nominal_ref_x,nominal_ref_y,nominal_ref_z,modulated_ref_x,modulated_ref_y,modulated_ref_z,nominal_acceleration_x,nominal_acceleration_y,nominal_acceleration_z,modulated_acceleration_x,modulated_acceleration_y,modulated_acceleration_z
1785405883.831442,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,2,off,True,1,2.9753103256225586,0.010784386657178402,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.018920235336052273,5.977628478779974,-0.3162581314617931,-0.018920235336052273,5.977628478779974,-0.3162581314617931,-2.498429499136301e-07,-4.593037493371786e-07,0.001103950541441999,-2.498429499136301e-07,-4.593037493371786e-07,0.001103950541441999
1785405883.8317163,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,4,off,True,3,2.9990453720092773,0.005266688764095306,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.017346357927129154,11.981340399011351,-0.26954561224197615,-0.017346357927129154,11.981340399011351,-0.26954561224197615,-3.1366257750959323e-07,-4.81470452125304e-07,0.0019291075460137362,-3.1366257750959323e-07,-4.81470452125304e-07,0.0019291075460137362
1785405883.831992,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,3,off,True,4,2.9990453720092773,0.005266688764095306,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.0004911393624196565,8.982572766020237,-0.29334324341070644,-0.0004911393624196565,8.982572766020237,-0.29334324341070644,9.91555734802056e-08,-4.4471369177247034e-07,0.001740890515213196,9.91555734802056e-08,-4.4471369177247034e-07,0.001740890515213196
1785405883.8360589,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,1,off,True,2,2.975459337234497,0.01040685549378395,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.005846956265286556,3.0023615965565393,-0.3256396150426608,-0.005846956265286556,3.0023615965565393,-0.3256396150426608,1.7193901626683165e-06,-6.74345644582908e-07,0.002519272445852687,1.7193901626683165e-06,-6.74345644582908e-07,0.002519272445852687
1785405883.8513367,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,2,off,True,1,2.975745677947998,0.010294204577803612,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.018920235534578004,5.977628478415011,-0.31625725426038037,-0.018920235534578004,5.977628478415011,-0.31625725426038037,-2.3829256132376454e-06,-4.3806986305997685e-06,0.01052914249475163,-2.3829256132376454e-06,-4.3806986305997685e-06,0.01052914249475163
1785405883.8516977,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,4,off,True,3,2.999221086502075,0.004968786146491766,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.017346358148745477,11.981340398671172,-0.2695442492432006,-0.017346358148745477,11.981340398671172,-0.2695442492432006,-2.5578874286538737e-06,-3.92634411965178e-06,0.015731682050336215,-2.5578874286538737e-06,-3.92634411965178e-06,0.015731682050336215
1785405883.8519554,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,3,off,True,4,2.999221086502075,0.004968786146491766,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.0004911392953897677,8.982572765719608,-0.29334206655606,-0.0004911392953897677,8.982572765719608,-0.29334206655606,7.604733122465887e-07,-3.4107300509046263e-06,0.01335175351113409,7.604733122465887e-07,-3.4107300509046263e-06,0.01335175351113409
1785405883.8559647,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,1,off,True,2,2.9760208129882812,0.009858899749815464,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.0058469554743911184,3.0023615962463497,-0.32563845621255516,-0.0058469554743911184,3.0023615962463497,-0.32563845621255516,6.624912597940512e-06,-2.5982938911494943e-06,0.009706906626866338,6.624912597940512e-06,-2.5982938911494943e-06,0.009706906626866338
1785405883.8713996,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,2,off,True,1,2.9762351512908936,0.009822630323469639,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.01892023669101116,5.977628476289059,-0.316252144470372,-0.01892023669101116,5.977628476289059,-0.316252144470372,-4.494152961325632e-06,-8.26191535900944e-06,0.01985776503476967,-4.494152961325632e-06,-8.26191535900944e-06,0.01985776503476967
1785405883.8719268,s1_crossing_4-B0-t01-141f4c546b,s1_crossing_4,B0,1,9001,pilot,s1,900010,4,off,True,3,2.9994819164276123,0.00448265578597784,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,3,0,-0.017346359395142223,11.98134039675796,-0.2695365835745918,-0.017346359395142223,11.98134039675796,-0.2695365835745918,-4.775430739496076e-06,-7.330261759287907e-06,0.029370158047451748,-4.775430739496076e-06,-7.330261759287907e-06,0.029370158047451748
