stratum_type,stratum_value,endpoint,kind,unit,registered_n,available_n,numerator,denominator,proportion,wilson_95_low,wilson_95_high,mean,median,sample_sd,iqr,min,max
substudy,E5-v2A,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
substudy,E5-v2A,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
substudy,E5-v2A,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
substudy,E5-v2A,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
substudy,E5-v2A,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
substudy,E5-v2A,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
substudy,E5-v2A,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
substudy,E5-v2A,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
substudy,E5-v2A,actual_d_min,continuous,m,15,15,,,,,,1.944700702977105,1.7991435944891194,0.31719579059082087,0.6646077922610285,1.59337435716155,2.384608702245319
substudy,E5-v2A,tracking_rmse,continuous,m,15,15,,,,,,0.11959640798179273,0.12097813323241113,0.011644464053893988,0.024690773766412988,0.10332011699955865,0.1328497784415202
substudy,E5-v2A,final_error,continuous,m,15,15,,,,,,0.11613316449735178,0.10612954125794265,0.02978563772248305,0.05301895110001004,0.07983450344423754,0.16226873473327166
substudy,E5-v2A,completion_time,continuous,s,15,15,,,,,,6.610830561319987,6.626179456710815,0.844844627729771,1.9725642204284668,5.597596883773804,7.633249998092651
substudy,E5-v2A,T_LLM,continuous,s,15,15,,,,,,20.155225719666664,20.33420195,5.223560464355457,5.672095990500001,11.648662372,31.370025875
substudy,E5-v2A,T_mission_execution,continuous,s,15,15,,,,,,6.724244375333333,6.733819032,0.8378278417853136,1.9244887419999994,5.711893782,7.775876529
substudy,E5-v2B,scientific_completeness,binary,proportion,45,45,45,45,1.0,0.9213484012671117,1.0,,,,,,
substudy,E5-v2B,infrastructure_failure,binary,proportion,45,45,0,45,0.0,0.0,0.07865159873288836,,,,,,
substudy,E5-v2B,candidate_correctness,binary,proportion,45,45,45,45,1.0,0.9213484012671117,1.0,,,,,,
substudy,E5-v2B,resolver_success,binary,proportion,45,45,45,45,1.0,0.9213484012671117,1.0,,,,,,
substudy,E5-v2B,mission_completion,binary,proportion,45,45,45,45,1.0,0.9213484012671117,1.0,,,,,,
substudy,E5-v2B,mission_success,binary,proportion,45,45,45,45,1.0,0.9213484012671117,1.0,,,,,,
substudy,E5-v2B,failsafe,binary,proportion,45,45,0,45,0.0,0.0,0.07865159873288836,,,,,,
substudy,E5-v2B,hard_failure,binary,proportion,45,45,0,45,0.0,0.0,0.07865159873288836,,,,,,
substudy,E5-v2B,actual_d_min,continuous,m,45,45,,,,,,1.9490500024023636,1.8711539635677346,0.2052544893450082,0.2652441317994936,1.685346493168869,2.420401543892897
substudy,E5-v2B,tracking_rmse,continuous,m,45,45,,,,,,0.07316396242321573,0.053982103429227594,0.04416426458190855,0.08195880191746407,0.023299715225842708,0.14877491159806722
substudy,E5-v2B,final_error,continuous,m,45,45,,,,,,0.07486195574454071,0.05913349015395874,0.04729338742673775,0.07428050856591487,0.018969160507634215,0.1625295290568624
substudy,E5-v2B,completion_time,continuous,s,45,45,,,,,,12.64691294564141,15.033934593200684,3.573976288123216,4.809352397918701,5.860374927520752,15.040632009506226
substudy,E5-v2B,T_LLM,continuous,s,45,45,,,,,,18.844076354355554,14.537639757,12.778966443808308,10.365247295000001,8.089872474,84.644409658
substudy,E5-v2B,T_mission_execution,continuous,s,45,45,,,,,,13.695577949999999,15.094600552,3.75196724270611,2.605681157000001,5.949068423,18.615073944
