bag_time_ns,duration,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,safety_factor,target_pos_x,target_pos_y,target_pos_z,uav_id
1785139784101408724,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784201535192,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784301659125,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784401857058,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784501946266,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784602092141,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784702271579,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784802441419,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139784902643821,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
1785139785002784415,12.0,world,101006304,1785139786,401,normal,0.0,14.24264069,17.74264069,5.0,7
