uav_a,uav_b,minimum_distance,collision_event_count,violation_sample_count,violation_event_count,risk_exposure_time,near_miss_duration,risk_integral
1,2,2.1594886380731975,0,0,0,0.0,0.0,0.0
1,3,3.0827197188873265,0,0,0,0.0,0.0,0.0
1,4,4.663907096741441,0,0,0,0.0,0.0,0.0
1,5,4.059291414019271,0,0,0,0.0,0.0,0.0
1,6,2.3668807214576284,0,0,0,0.0,0.0,0.0
2,3,1.085280339905977,0,0,0,0.0,1.2999987602233887,0.0
2,4,3.9739332947373955,0,0,0,0.0,0.0,0.0
2,5,4.673678954264942,0,0,0,0.0,0.0,0.0
2,6,4.063322356845833,0,0,0,0.0,0.0,0.0
3,4,2.2975171939776313,0,0,0,0.0,0.0,0.0
3,5,4.047167796217211,0,0,0,0.0,0.0,0.0
3,6,4.311001008939939,0,0,0,0.0,0.0,0.0
4,5,2.3313880959817648,0,0,0,0.0,0.0,0.0
4,6,4.031103118909502,0,0,0,0.0,0.0,0.0
5,6,2.3256255364784644,0,0,0,0.0,0.0,0.0
