profile,trials,successful_trials,timeout_rate,synchronization_error_mean_s,synchronization_error_std_s,arrival_error_mean_s,arrival_error_std_s,final_position_error_mean_m,final_position_error_std_m,tracking_rmse_mean_m,tracking_rmse_std_m
step,3,3,0.0,4.193523804346721,0.3812221684759186,-0.026563040415445962,0.13246511823550913,0.23660472730795543,0.018798215197294577,5.166405151213402,0.02758102119014867
linear,3,3,0.0,2.385597348213196,0.06414725364949209,2.0710137367248533,0.003971320253251617,0.2556846330563227,0.0030630336717292275,1.5000738132171252,0.006489558790967844
trapezoidal,3,3,0.0,1.765332301457723,0.1527976093268547,1.2174044092496237,0.025820955390278972,0.23424755036830902,0.013197129952230784,1.6815173182847554,0.023333440542312338
minimum_jerk,3,3,0.0,1.6864064782857895,0.2526967673880453,0.629497837026914,0.04207986948498181,0.22321556607882181,0.0061065177987514605,1.849090999826867,0.0051904131749311785
