trial_id,profile,arrived_count,timeout_count,all_arrived,synchronization_error_s,mean_arrival_error_s,mean_final_position_error_m,max_final_position_error_m,mean_tracking_rmse_m
linear_r01,linear,5,0,True,2.3399258852005005,2.0672592401504515,0.25792852938175204,0.2763907313346863,1.5075567268729926
linear_r02,linear,5,0,True,2.4589351415634155,2.075171160697937,0.2569303572177887,0.27715003490448,1.4959875728113445
linear_r03,linear,5,0,True,2.3579310178756714,2.0706108093261717,0.2521950125694275,0.27840521931648254,1.4966771399670384
minimum_jerk_r01,minimum_jerk,5,0,True,1.5390728563070297,0.6011593997478485,0.2161947399377823,0.23108239471912384,1.8475827912685423
minimum_jerk_r02,minimum_jerk,5,0,True,1.541955754160881,0.6094849675893783,0.22729215919971466,0.2568835914134979,1.8548684863466065
minimum_jerk_r03,minimum_jerk,5,0,True,1.9781908243894577,0.677849143743515,0.2261597990989685,0.241882786154747,1.8448217218654521
step_r01,step,5,0,True,4.623732089996338,0.12579751014709473,0.2556921005249023,0.29379579424858093,5.197875901891335
step_r02,step,5,0,True,4.0591721534729,-0.09105124473571777,0.23601241111755372,0.2781546115875244,5.1549013971614785
step_r03,step,5,0,True,3.897667169570923,-0.11443538665771484,0.2181096702814102,0.2503735423088074,5.146438154587392
trapezoidal_r01,trapezoidal,5,0,True,1.656463086605072,1.2062840580940246,0.22136217653751372,0.23284417390823364,1.7083987379062102
trapezoidal_r02,trapezoidal,5,0,True,1.699526607990265,1.1990068078041076,0.24773577451705933,0.26336240768432617,1.6696550275860105
trapezoidal_r03,trapezoidal,5,0,True,1.940007209777832,1.2469223618507386,0.233644700050354,0.23979850113391876,1.6664981893620454
