task_type,trial_id,stage_id,first_command_dispatch_time,all_references_finished_time,trajectory_finish_spread,stage_end_time,stabilization_delay,stable_arrival_spread,stable_arrival_spread_status
task_a_simple,1,1,9.91752020199965,20.013268431001052,0.01515373900110717,20.932884351999746,0.9196159209986945,nan,not_recoverable_from_existing_logs
task_a_simple,2,1,8.90410613899985,19.00032999999894,0.06273325399888563,19.9231589409992,0.9228289410002617,nan,not_recoverable_from_existing_logs
task_a_simple,4,1,9.231630162999863,19.329958100999647,0.017991749999055173,20.24987093100026,0.9199128300006123,nan,not_recoverable_from_existing_logs
task_a_simple,5,1,9.083605817999342,19.18103495700052,0.01858010600153648,20.101283748999776,0.9202487919992564,nan,not_recoverable_from_existing_logs
task_b_sequential,1,1,15.662706889001129,25.758462978999887,0.015449694999915664,49.33772658000089,23.579263601001003,nan,not_recoverable_from_existing_logs
task_b_sequential,1,2,49.37440787000014,49.37623657599943,0.0020377149994601496,60.73079311800029,11.354556542000864,nan,not_recoverable_from_existing_logs
task_b_sequential,3,1,12.810992040000201,22.90774790099931,0.00910789699992165,48.79827867200038,25.890530771001067,nan,not_recoverable_from_existing_logs
task_b_sequential,3,2,48.862465354999586,56.95820978499978,8.095964131000073,59.441740352000124,2.4835305670003436,nan,not_recoverable_from_existing_logs
task_b_sequential,4,1,11.171638945001177,21.268509810000978,0.016900237000299967,24.62506528999984,3.3565554799988604,nan,not_recoverable_from_existing_logs
task_b_sequential,4,2,24.659192013999927,32.74846782200075,8.088209756999277,48.98236582700156,16.23389800500081,nan,not_recoverable_from_existing_logs
task_b_sequential,5,1,14.291698654000356,24.389457511999353,0.016288755999994464,48.61647574400013,24.227018232000773,nan,not_recoverable_from_existing_logs
task_b_sequential,5,2,48.68565879599919,56.76861297299911,8.083131076999052,60.19041007299893,3.4217970999998215,nan,not_recoverable_from_existing_logs
task_c_grouped,1,1,13.501580628000738,23.585282476999055,0.0046278079989861,24.505501335999725,0.9202188590006699,nan,not_recoverable_from_existing_logs
task_c_grouped,2,1,11.377674294000826,21.47537411399935,0.0973642179997114,22.397504118000143,0.9221300040007918,nan,not_recoverable_from_existing_logs
task_c_grouped,3,1,13.42367460999958,23.51236697999957,0.007766947999698459,48.9543892290003,25.44202224900073,nan,not_recoverable_from_existing_logs
task_c_grouped,4,1,11.914031629999954,22.012303299999985,0.017559495001478354,22.932499739999912,0.920196439999927,nan,not_recoverable_from_existing_logs
task_c_grouped,5,1,17.01206189000004,27.107749216998855,0.014255467000111821,49.849401609999404,22.74165239300055,nan,not_recoverable_from_existing_logs
task_d_dense,1,1,8.240770226000677,18.33165625699985,0.00804370699916035,19.253977616001066,0.9223213590012165,nan,not_recoverable_from_existing_logs
task_d_dense,2,1,19.392626066000958,29.483206558001257,0.007589273000121466,48.952535270000226,19.46932871199897,nan,not_recoverable_from_existing_logs
task_d_dense,3,1,9.935679116000756,20.02538095700038,0.006245316999411443,21.34431897200011,1.3189380149997305,nan,not_recoverable_from_existing_logs
task_d_dense,4,1,10.476471625999693,20.566627153999434,0.00632270599999174,23.525162052999804,2.9585348990003695,nan,not_recoverable_from_existing_logs
task_d_dense,5,1,9.765767529001096,19.8571064630014,0.007331734001127188,20.814446231001057,0.957339767999656,nan,not_recoverable_from_existing_logs
task_e_mixed,5,1,16.294613258000027,26.393334410000534,0.006162138999570743,49.250063532999775,22.85672912299924,nan,not_recoverable_from_existing_logs
task_e_mixed,5,2,49.26822049099974,59.35353499300072,10.086270191999574,63.09460437600137,3.7410693830006494,nan,not_recoverable_from_existing_logs
task_e_mixed,5,3,63.131435760000386,73.2305290380009,0.09917923800094286,75.43117460200119,2.200645564000297,nan,not_recoverable_from_existing_logs
