bag_time_ns,x,y,z
1785125972956107216,-0.013904327526688576,5.980026250705123,-0.2366587370634079
1785125973056139260,-0.015747928991913795,5.977898236364126,-0.24494165182113647
1785125973156109438,-0.015435946173965931,5.978126920759678,-0.243284210562706
1785125973256092801,-0.016000792384147644,5.977621218189597,-0.24578015506267548
1785125973356059273,-0.01740199141204357,5.976341977715492,-0.2520464360713959
1785125973456126943,-0.01948644407093525,5.974350130185485,-0.26088976860046387
1785125973556110166,-0.01795334368944168,5.975424090400338,-0.258039653301239
1785125973656067831,-0.017703646793961525,5.9756263718008995,-0.26017823815345764
1785125973756077423,-0.01840784214437008,5.975012639537454,-0.26567021012306213
1785125973856105239,-0.019977988675236702,5.973452450707555,-0.27460941672325134
1785125973956117015,-0.016991902142763138,5.976196987554431,-0.2721940279006958
1785125974056124503,-0.015638384968042374,5.977633049711585,-0.27417778968811035
1785125974156205608,-0.015423158183693886,5.978249825537205,-0.2808073163032532
1785125974256133880,-0.01623355783522129,5.9779705833643675,-0.28850680589675903
1785125974356174069,-0.013949569314718246,5.979712404310703,-0.2881487309932709
1785125974456175336,-0.012612800113856792,5.980793511494994,-0.28961747884750366
1785125974556179338,-0.012371920049190521,5.981311039999127,-0.2958467900753021
1785125974656150329,-0.013060228899121284,5.981172097846866,-0.3032357692718506
1785125974756107414,-0.011432725936174393,5.9836681969463825,-0.30226948857307434
1785125974856117217,-0.01087857037782669,5.985347398556769,-0.30432847142219543
1785125974956131468,-0.011396299116313457,5.98670029360801,-0.31149446964263916
1785125975056182237,-0.012557821348309517,5.9872275134548545,-0.3196452260017395
1785125975156127681,-0.013117886148393154,5.988829583860934,-0.31960156559944153
1785125975256188499,-0.013978230766952038,5.989656603895128,-0.32123854756355286
1785125975356099359,-0.015887722373008728,5.990094284527004,-0.3277490437030792
1785125975456161309,-0.017886046320199966,5.990124404430389,-0.33559998869895935
1785125975556111942,-0.01594122312963009,5.991305879317224,-0.3355490565299988
1785125975656127817,-0.015126166865229607,5.992041391320527,-0.33862337470054626
1785125975756233810,-0.015389100648462772,5.99256903398782,-0.3468294143676758
1785125975856121626,-0.016555113717913628,5.9927146313712,-0.3559780418872833
1785125975956106413,-0.015101821161806583,5.993576342705637,-0.3567381799221039
1785125976056077946,-0.014586454257369041,5.994057362899184,-0.3599795401096344
1785125976156104842,-0.015070099383592606,5.994434356223792,-0.36882466077804565
1785125976256066316,-0.016179103404283524,5.994674491230398,-0.3785364031791687
1785125976356065931,-0.01459302008152008,5.99540532194078,-0.3776952028274536
1785125976456081325,-0.013990087434649467,5.995794690679759,-0.3799724876880646
1785125976556065762,-0.014399257488548756,5.99618905945681,-0.3878415524959564
1785125976656072961,-0.015374258160591125,5.996583125786856,-0.39676666259765625
1785125976756052699,-0.014091459102928638,6.000083390274085,-0.39601945877075195
1785125976856066361,-0.013485051691532135,6.003012016415596,-0.39748358726501465
1785125976956055767,-0.013772027567029,6.006281539332122,-0.404458612203598
1785125977056060973,-0.014698704704642296,6.008483812212944,-0.4129522740840912
1785125977156048025,-0.01299830712378025,6.0092018861323595,-0.412205308675766
1785125977256072367,-0.012244013138115406,6.0097746616229415,-0.41503390669822693
1785125977356067965,-0.012407815083861351,6.0107914339751005,-0.42341846227645874
1785125977456049387,-0.013309622183442116,6.011595371179283,-0.43269941210746765
1785125977556044334,-0.012019917368888855,6.011853186413646,-0.4313095211982727
1785125977656057936,-0.011615169234573841,6.012339319102466,-0.43321290612220764
1785125977756072128,-0.011751512065529823,6.013051243498921,-0.44102996587753296
1785125977856070562,-0.011100300587713718,6.012562547810376,-0.45031070709228516
1785125977956059598,-0.004585247486829758,6.006141951307654,-0.4470909535884857
1785125978056050938,0.0031643661204725504,5.999205661937594,-0.44654175639152527
1785125978156046507,0.01684175245463848,5.989079246297479,-0.4473680257797241
1785125978256040172,0.032703571021556854,5.979586066678166,-0.4473966360092163
1785125978356029129,0.06297002732753754,5.964148383587599,-0.4302859306335449
1785125978456042471,0.09988546371459961,5.9522856548428535,-0.41808053851127625
1785125978556055863,0.16604198515415192,5.947535380721092,-0.3996769189834595
1785125978656038778,0.23362122476100922,5.955888848751783,-0.3690767288208008
1785125978756032143,0.3168718218803406,5.9667676873505116,-0.29994046688079834
1785125978856037520,0.38834255933761597,5.979807844385505,-0.23817865550518036
1785125978956042556,0.48662757873535156,6.001445744768716,-0.15799663960933685
1785125979056072379,0.5667513012886047,6.021634418517351,-0.09498268365859985
1785125979156032723,0.6761726140975952,6.048711352050304,-0.0007273246301338077
1785125979256027561,0.7614938616752625,6.072524085640907,0.07097557932138443
