bag_time_ns,average_speed,duration,gain_multiplier,header_frame_id,header_stamp_nanosec,header_stamp_sec,mission_id,motion_style,omega_c_x,omega_c_y,omega_c_z,omega_o_x,omega_o_y,omega_o_z,peak_acceleration,peak_velocity,settling_time,target_distance,tracking_rmse,uav_id
1785206939770702230,2.540184497833252,3.0,1.2925230264663696,world,770668515,1785206939,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,1.9418895244598389,0.35138213634490967,nan,7.620553016662598,0.0019948752596974373,1
1785206939870697324,2.540184497833252,3.0,1.2925230264663696,world,870667797,1785206939,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,3.84150767326355,0.35138213634490967,nan,7.620553016662598,0.007918758317828178,1
1785206939970707346,2.540184497833252,3.0,1.2925230264663696,world,970674103,1785206939,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,4.47553014755249,0.35138213634490967,nan,7.620553016662598,0.01953286863863468,1
1785206940070765505,2.540184497833252,3.0,1.2925230264663696,world,70684700,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,5.167961120605469,0.4372503459453583,nan,7.620553016662598,0.04152842238545418,1
1785206940170738527,2.540184497833252,3.0,1.2925230264663696,world,170681948,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,7.188350677490234,0.6062940359115601,nan,7.620553016662598,0.06094036251306534,1
1785206940270744622,2.540184497833252,3.0,1.2925230264663696,world,270686812,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,9.779215812683105,1.1138046979904175,nan,7.620553016662598,0.08665407449007034,1
1785206940370719137,2.540184497833252,3.0,1.2925230264663696,world,370670314,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,1.8003246784210205,nan,7.620553016662598,0.11650236696004868,1
1785206940470734521,2.540184497833252,3.0,1.2925230264663696,world,470673624,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.242709159851074,nan,7.620553016662598,0.1455671340227127,1
1785206940570742520,2.540184497833252,3.0,1.2925230264663696,world,570672055,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.2456324100494385,nan,7.620553016662598,0.17666034400463104,1
1785206940670763474,2.540184497833252,3.0,1.2925230264663696,world,670686617,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.421621799468994,nan,7.620553016662598,0.21690113842487335,1
1785206940770732308,2.540184497833252,3.0,1.2925230264663696,world,770708473,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.6307172775268555,nan,7.620553016662598,0.26597148180007935,1
1785206940870786526,2.540184497833252,3.0,1.2925230264663696,world,870702054,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.743619203567505,nan,7.620553016662598,0.32310768961906433,1
1785206940970781220,2.540184497833252,3.0,1.2925230264663696,world,970719993,1785206940,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.819204568862915,nan,7.620553016662598,0.387751966714859,1
1785206941070792108,2.540184497833252,3.0,1.2925230264663696,world,70719910,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.8753435611724854,nan,7.620553016662598,0.4602228105068207,1
1785206941170805448,2.540184497833252,3.0,1.2925230264663696,world,170725445,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,2.942497491836548,nan,7.620553016662598,0.5380995869636536,1
1785206941270789723,2.540184497833252,3.0,1.2925230264663696,world,270730158,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,3.009248733520508,nan,7.620553016662598,0.6194759011268616,1
1785206941370785319,2.540184497833252,3.0,1.2925230264663696,world,370733028,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,3.084221601486206,nan,7.620553016662598,0.7017620205879211,1
1785206941470789772,2.540184497833252,3.0,1.2925230264663696,world,470739094,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,3.1604673862457275,nan,7.620553016662598,0.7834088206291199,1
1785206941570797491,2.540184497833252,3.0,1.2925230264663696,world,570743688,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,3.245300054550171,nan,7.620553016662598,0.8610067963600159,1
1785206941670824978,2.540184497833252,3.0,1.2925230264663696,world,670747620,1785206941,1960128837,aggressive,3.8775691986083984,3.8775691986083984,4.523830890655518,12.925230026245117,12.925230026245117,19.387845993041992,10.144038200378418,3.3103461265563965,nan,7.620553016662598,0.9320105314254761,1
